"Total Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO/0021A6DPAG0.px/table/tableViewLayout1/?rxid=4bef55ae-6979-4e42-b91c-a09cdad01a99"
"""Geographic Location"";""Both Sexes All Ages"";""Both Sexes Below 5"";""Both Sexes 5-9"";""Both Sexes 10-14"";""Both Sexes 15-19"";""Both Sexes 20-24"";""Both Sexes 25-29"";""Both Sexes 30-34"";""Both Sexes 35-39"";""Both Sexes 40-44"";""Both Sexes 45-49"";""Both Sexes 50-54"";""Both Sexes 55-59"";""Both Sexes 60-64"";""Both Sexes 65-69"";""Both Sexes 70-74"";""Both Sexes 75-79"";""Both Sexes 80 years old and over"";""Male All Ages"";""Male Below 5"";""Male 5-9"";""Male 10-14"";""Male 15-19"";""Male 20-24"";""Male 25-29"";""Male 30-34"";""Male 35-39"";""Male 40-44"";""Male 45-49"";""Male 50-54"";""Male 55-59"";""Male 60-64"";""Male 65-69"";""Male 70-74"";""Male 75-79"";""Male 80 years old and over"";""Female All Ages"";""Female Below 5"";""Female 5-9"";""Female 10-14"";""Female 15-19"";""Female 20-24"";""Female 25-29"";""Female 30-34"";""Female 35-39"";""Female 40-44"";""Female 45-49"";""Female 50-54"";""Female 55-59"";""Female 60-64"";""Female 65-69"";""Female 70-74"";""Female 75-79"";""Female 80 years old and over"""
"  ""PHILIPPINES /a"";109033245;11069479;11270637;11091362;10482815;10024753;9229288;8171423;7221785;6528846;5598765;4964629;4137342;3375290;2398116;1578185;932231;958299;55306793;5714396;5842244;5721890;5360801;5115243;4715102;4218801;3713272;3358616;2866551;2505960;2059409;1633478;1114284;683843;366132;316771;53726452;5355083;5428393;5369472;5122014;4909510;4514186;3952622;3508513;3170230;2732214;2458669;2077933;1741812;1283832;894342;566099;641528"
"  ""..NATIONAL CAPITAL REGION (NCR)"";13484462;1279827;1237986;1177453;1118951;1284062;1298890;1174399;1017767;896189;749356;654711;532290;423765;281295;177144;88950;91427;6737870;660956;641893;608724;568734;645668;657512;602717;515328;450006;372182;317114;250731;193188;122647;72014;31870;26586;6746592;618871;596093;568729;550217;638394;641378;571682;502439;446183;377174;337597;281559;230577;158648;105130;57080;64841"
"  ""....City of Manila"";1846513;169275;166305;158577;157770;181027;178784;155850;133781;119221;101870;92711;76035;61103;40846;26818;12938;13602;918643;87422;86206;81657;79942;90893;90344;80241;67844;59753;50560;44618;35629;27505;17480;10563;4452;3534;927870;81853;80099;76920;77828;90134;88440;75609;65937;59468;51310;48093;40406;33598;23366;16255;8486;10068"
"  ""....City of Mandaluyong"";425758;38660;36697;34556;31490;43835;46209;39330;33001;28304;23716;20232;16390;12996;8772;5793;2942;2835;209013;19973;18721;17753;15862;21696;23171;19868;16365;14035;11568;9582;7342;5582;3595;2171;992;737;216745;18687;17976;16803;15628;22139;23038;19462;16636;14269;12148;10650;9048;7414;5177;3622;1950;2098"
"  ""....City of Marikina"";456059;42164;42327;41265;38423;40964;40636;36508;32401;29822;26360;23434;19148;15801;11171;7419;3789;4427;226189;21808;21934;21502;19605;20686;20303;18606;16059;14799;12710;11256;9045;7281;4816;3009;1357;1413;229870;20356;20393;19763;18818;20278;20333;17902;16342;15023;13650;12178;10103;8520;6355;4410;2432;3014"
"  ""....City of Pasig"";803159;81168;78038;71014;65702;72236;76678;71801;62525;54119;43985;37004;29271;23402;15962;10223;5029;5002;398811;41784;40420;36889;33289;35936;38111;36306;31552;26894;21675;17757;13618;10349;6676;4246;1774;1535;404348;39384;37618;34125;32413;36300;38567;35495;30973;27225;22310;19247;15653;13053;9286;5977;3255;3467"
"  ""....Quezon City"";2960048;291246;276602;258587;242000;275540;277852;253250;220352;195936;166339;146739;119890;94493;61637;37992;19925;21668;1471795;150043;143243;134265;122666;138255;140263;129117;110813;97025;81606;70154;55865;42848;26784;15431;7170;6247;1488253;141203;133359;124322;119334;137285;137589;124133;109539;98911;84733;76585;64025;51645;34853;22561;12755;15421"
"  ""....City of San Juan"";126347;10696;10059;9611;8966;11756;11645;10954;9772;8977;7741;6915;6040;4829;3376;2286;1237;1487;61222;5503;5200;5058;4573;5728;5711;5457;4795;4294;3716;3312;2693;2065;1360;960;383;414;65125;5193;4859;4553;4393;6028;5934;5497;4977;4683;4025;3603;3347;2764;2016;1326;854;1073"
"  ""....City of Caloocan"";1661584;167269;164484;156994;149975;158387;152889;135349;119025;105898;89491;79421;63983;49830;31335;18958;9481;8815;837899;87003;85680;80821;76925;79984;77689;69481;60490;53479;45097;39275;30718;23558;14057;7669;3390;2583;823685;80266;78804;76173;73050;78403;75200;65868;58535;52419;44394;40146;33265;26272;17278;11289;6091;6232"
"  ""....City of Malabon"";380522;35986;36534;35823;34493;36974;34532;30467;27037;24764;20969;18217;15027;11968;7821;5075;2414;2421;192566;18638;19033;18540;17742;18807;17782;15833;13719;12564;10628;9089;7353;5570;3518;2130;911;709;187956;17348;17501;17283;16751;18167;16750;14634;13318;12200;10341;9128;7674;6398;4303;2945;1503;1712"
"  ""....City of Navotas"";247543;25338;25716;24387;23157;23449;21495;19208;16910;15592;13222;11433;9450;7373;4933;3069;1513;1298;126440;13151;13545;12531;11896;12043;11072;10028;8650;8103;6853;5725;4756;3634;2284;1213;568;388;121103;12187;12171;11856;11261;11406;10423;9180;8260;7489;6369;5708;4694;3739;2649;1856;945;910"
"  ""....City of Valenzuela"";714978;66787;65224;65994;62772;69784;69004;62771;54810;48897;39502;32955;26238;20033;13676;8385;4151;3995;364119;34607;33947;34162;32037;35957;35875;32913;28303;25044;20122;16509;12794;9525;6119;3500;1528;1177;350859;32180;31277;31832;30735;33827;33129;29858;26507;23853;19380;16446;13444;10508;7557;4885;2623;2818"
"  ""....City of Las Pi�as"";606293;55383;55201;52619;50753;57951;56552;52003;46275;41640;34677;29343;23675;19277;13600;8859;4396;4089;301241;28615;28705;27229;25843;29278;28474;26393;22911;20462;17109;14011;10965;8654;5949;3709;1657;1277;305052;26768;26496;25390;24910;28673;28078;25610;23364;21178;17568;15332;12710;10623;7651;5150;2739;2812"
"  ""....City of Makati"";629616;52781;47946;45475;42940;56905;66246;64133;52730;43207;35790;32104;28022;24244;15978;9967;5041;6107;308003;26913;24778;23568;21772;27830;32979;32754;26255;21306;17190;14889;12718;10729;6783;3979;1766;1794;321613;25868;23168;21907;21168;29075;33267;31379;26475;21901;18600;17215;15304;13515;9195;5988;3275;4313"
"  ""....City of Muntinlupa"";543445;48136;46334;44074;44014;48654;50360;47913;44123;39589;33328;28463;22771;18459;12433;7664;3703;3427;279618;24980;23928;22638;22373;24787;26049;25334;23634;21177;17713;14923;11460;8879;5740;3415;1493;1095;263827;23156;22406;21436;21641;23867;24311;22579;20489;18412;15615;13540;11311;9580;6693;4249;2210;2332"
"  ""....City of Para�aque"";689992;65208;60708;57225;52358;62282;65648;63457;55756;48318;39928;34450;27640;22243;14763;9591;5081;5336;342331;33412;31415;29645;26641;31394;33419;32648;27868;24154;19334;16082;12549;9919;6361;3935;1864;1691;347661;31796;29293;27580;25717;30888;32229;30809;27888;24164;20594;18368;15091;12324;8402;5656;3217;3645"
"  ""....Pasay City"";440656;33053;34729;34458;34309;49923;52833;43251;35477;29598;23544;20439;16166;12573;8734;5729;2887;2953;219940;17056;17858;17643;17142;25108;26672;22233;18362;15038;11718;9971;7652;5596;3805;2274;956;856;220716;15997;16871;16815;17167;24815;26161;21018;17115;14560;11826;10468;8514;6977;4929;3455;1931;2097"
