"Annual Bonuses and Gratuities Per Employee in Establishments Employing 20 or More Workers by Industry Group and Sub-Cost Component, Philippines: 2013-2019"

"Major Industry Group";"Annual Bonuses and Gratuities per Employee";"2013";"2019"
"ALL INDUSTRIES";"Total";24132;28958
"ALL INDUSTRIES";"..Year End, Seasonal and Other One Time Bonuses";22499;26606
"ALL INDUSTRIES";"..Profit Sharing Bonuses";878;1222
"ALL INDUSTRIES";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";754;1130
"..Agriculture, Forestry, and Fishing";"Total";9520;23053
"..Agriculture, Forestry, and Fishing";"..Year End, Seasonal and Other One Time Bonuses";8403;22550
"..Agriculture, Forestry, and Fishing";"..Profit Sharing Bonuses";639;459
"..Agriculture, Forestry, and Fishing";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";477;a
"..Mining and Quarrying";"Total";18490;29727
"..Mining and Quarrying";"..Year End, Seasonal and Other One Time Bonuses";17966;28801
"..Mining and Quarrying";"..Profit Sharing Bonuses";163;a
"..Mining and Quarrying";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";362;882
"..Manufacturing";"Total";20474;26933
"..Manufacturing";"..Year End, Seasonal and Other One Time Bonuses";18440;23389
"..Manufacturing";"..Profit Sharing Bonuses";1233;1153
"..Manufacturing";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";801;2391
"..Electricity, Gas, Steam, and Air Conditioning Supply";"Total";70939;57720
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Year End, Seasonal and Other One Time Bonuses";68674;54797
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Profit Sharing Bonuses";311;1763
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";1954;1159
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total";30518;44578
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Year End, Seasonal and Other One Time Bonuses";29922;41375
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Profit Sharing Bonuses";0;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";595;3203
"..Construction";"Total";11696;14292
"..Construction";"..Year End, Seasonal and Other One Time Bonuses";11533;13934
"..Construction";"..Profit Sharing Bonuses";a;a
"..Construction";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";145;295
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total";19343;25056
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Year End, Seasonal and Other One Time Bonuses";18393;20276
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Profit Sharing Bonuses";434;3321
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";516;1459
"..Transportation and Storage";"Total";17121;17434
"..Transportation and Storage";"..Year End, Seasonal and Other One Time Bonuses";16298;17290
"..Transportation and Storage";"..Profit Sharing Bonuses";356;a
"..Transportation and Storage";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";467;a
"..Accommodation and Food Service Activities";"Total";12316;16573
"..Accommodation and Food Service Activities";"..Year End, Seasonal and Other One Time Bonuses";12065;15933
"..Accommodation and Food Service Activities";"..Profit Sharing Bonuses";a;125
"..Accommodation and Food Service Activities";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";232;516
"..Information and Communications";"Total";69186;41966
"..Information and Communications";"..Year End, Seasonal and Other One Time Bonuses";65432;37381
"..Information and Communications";"..Profit Sharing Bonuses";726;2037
"..Information and Communications";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";3029;2547
"..Financial and Insurance Activities";"Total";75000;65502
"..Financial and Insurance Activities";"..Year End, Seasonal and Other One Time Bonuses";66497;60336
"..Financial and Insurance Activities";"..Profit Sharing Bonuses";6426;3969
"..Financial and Insurance Activities";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";2078;1197
"..Real Estate Activities";"Total";41976;36881
"..Real Estate Activities";"..Year End, Seasonal and Other One Time Bonuses";41342;35901
"..Real Estate Activities";"..Profit Sharing Bonuses";285;0
"..Real Estate Activities";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";349;980
"..Professional, Scientific, and Technical Activities";"Total";50070;45599
"..Professional, Scientific, and Technical Activities";"..Year End, Seasonal and Other One Time Bonuses";46066;41038
"..Professional, Scientific, and Technical Activities";"..Profit Sharing Bonuses";3022;4179
"..Professional, Scientific, and Technical Activities";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";982;382
"..Administrative and Support Service Activities";"Total";18453;28875
"..Administrative and Support Service Activities";"..Year End, Seasonal and Other One Time Bonuses";17799;28271
"..Administrative and Support Service Activities";"..Profit Sharing Bonuses";244;256
"..Administrative and Support Service Activities";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";410;348
"..Education Except Public Education";"Total";18617;22425
"..Education Except Public Education";"..Year End, Seasonal and Other One Time Bonuses";17702;21270
"..Education Except Public Education";"..Profit Sharing Bonuses";0;a
"..Education Except Public Education";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";916;1072
"..Human Health and Social Work Activities";"Total";14690;23567
"..Human Health and Social Work Activities";"..Year End, Seasonal and Other One Time Bonuses";13692;22540
"..Human Health and Social Work Activities";"..Profit Sharing Bonuses";a;a
"..Human Health and Social Work Activities";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";916;977
"..Arts, Entertainment and Recreation";"Total";23637;42229
"..Arts, Entertainment and Recreation";"..Year End, Seasonal and Other One Time Bonuses";23128;42135
"..Arts, Entertainment and Recreation";"..Profit Sharing Bonuses";0;0
"..Arts, Entertainment and Recreation";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";508;a
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total";15788;34893
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Year End, Seasonal and Other One Time Bonuses";13364;34893
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Profit Sharing Bonuses";1155;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";1270;0
