"Annual Direct Wages and Salaries Per Employee in Establishments Employing 20 or More Workers by Industry Group and Sub-Cost Component, Philippines: 2013-2019"

"Major Industry Group";"Annual Direct Wages and Salaries per Employee";"2013";"2019"
"ALL INDUSTRIES";"Total";200936;236405
"ALL INDUSTRIES";"..Pay for Normal/Regular Working Time";173650;190512
"ALL INDUSTRIES";"..Commissions";2924;3793
"ALL INDUSTRIES";"..Overtime, Night Shift and Premium Pay";12164;14063
"ALL INDUSTRIES";"..Bonus, Productivity, Performance and Other Incentive Schemes";6177;22519
"ALL INDUSTRIES";"..Cost of Living Allowances and Other Regularly Paid Allowances";6021;5519
"..Agriculture, Forestry, and Fishing";"Total";103230;158121
"..Agriculture, Forestry, and Fishing";"..Pay for Normal/Regular Working Time";87964;140099
"..Agriculture, Forestry, and Fishing";"..Commissions";607;779
"..Agriculture, Forestry, and Fishing";"..Overtime, Night Shift and Premium Pay";6634;8564
"..Agriculture, Forestry, and Fishing";"..Bonus, Productivity, Performance and Other Incentive Schemes";5455;4865
"..Agriculture, Forestry, and Fishing";"..Cost of Living Allowances and Other Regularly Paid Allowances";2570;3814
"..Mining and Quarrying";"Total";207787;281114
"..Mining and Quarrying";"..Pay for Normal/Regular Working Time";172568;220713
"..Mining and Quarrying";"..Commissions";551;3458
"..Mining and Quarrying";"..Overtime, Night Shift and Premium Pay";22995;39303
"..Mining and Quarrying";"..Bonus, Productivity, Performance and Other Incentive Schemes";6193;10737
"..Mining and Quarrying";"..Cost of Living Allowances and Other Regularly Paid Allowances";5480;6902
"..Manufacturing";"Total";177165;214871
"..Manufacturing";"..Pay for Normal/Regular Working Time";153742;182013
"..Manufacturing";"..Commissions";576;1687
"..Manufacturing";"..Overtime, Night Shift and Premium Pay";16686;22226
"..Manufacturing";"..Bonus, Productivity, Performance and Other Incentive Schemes";3197;5617
"..Manufacturing";"..Cost of Living Allowances and Other Regularly Paid Allowances";2963;3327
"..Electricity, Gas, Steam, and Air Conditioning Supply";"Total";435386;361557
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Pay for Normal/Regular Working Time";334107;319740
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Commissions";0;551
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Overtime, Night Shift and Premium Pay";40490;15326
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Bonus, Productivity, Performance and Other Incentive Schemes";22647;12351
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Cost of Living Allowances and Other Regularly Paid Allowances";38143;13589
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total";218783;314895
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Pay for Normal/Regular Working Time";177680;255971
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Commissions";a;a
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Overtime, Night Shift and Premium Pay";9623;13219
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Bonus, Productivity, Performance and Other Incentive Schemes";15255;26942
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Cost of Living Allowances and Other Regularly Paid Allowances";16131;18762
"..Construction";"Total";155611;181925
"..Construction";"..Pay for Normal/Regular Working Time";130073;142701
"..Construction";"..Commissions";1778;6799
"..Construction";"..Overtime, Night Shift and Premium Pay";15838;26078
"..Construction";"..Bonus, Productivity, Performance and Other Incentive Schemes";5332;2117
"..Construction";"..Cost of Living Allowances and Other Regularly Paid Allowances";2591;4231
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total";168825;193690
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Pay for Normal/Regular Working Time";150614;172101
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Commissions";4704;6650
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Overtime, Night Shift and Premium Pay";3755;7840
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Bonus, Productivity, Performance and Other Incentive Schemes";4835;4736
