"Annual Cost of Workers’ Housing Shouldered by Employers Per Employee in Establishments Employing 20 or More Workers by Industry Group and Sub-Cost Component, Philippines: 2013-2019"

"Major Industry Group";"Annual Cost of Workers' Housing Shouldered by Employers per Employee";"2013";"2019"
"ALL INDUSTRIES";"Total";891;1317
"ALL INDUSTRIES";"..Cost for Establishment Owned Dwellings";501;489
"ALL INDUSTRIES";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";390;828
"..Agriculture, Forestry, and Fishing";"Total";2055;101
"..Agriculture, Forestry, and Fishing";"..Cost for Establishment Owned Dwellings";1445;98
"..Agriculture, Forestry, and Fishing";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";610;a
"..Mining and Quarrying";"Total";2159;1373
"..Mining and Quarrying";"..Cost for Establishment Owned Dwellings";1464;115
"..Mining and Quarrying";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";695;1259
"..Manufacturing";"Total";528;602
"..Manufacturing";"..Cost for Establishment Owned Dwellings";187;332
"..Manufacturing";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";342;269
"..Electricity, Gas, Steam, and Air Conditioning Supply";"Total";2226;a
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Cost for Establishment Owned Dwellings";895;a
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";1331;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total";2972;310
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Cost for Establishment Owned Dwellings";2846;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";126;310
"..Construction";"Total";1708;1957
"..Construction";"..Cost for Establishment Owned Dwellings";1589;1445
"..Construction";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";119;511
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total";1377;617
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Cost for Establishment Owned Dwellings";946;410
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";431;207
"..Transportation and Storage";"Total";2424;532
"..Transportation and Storage";"..Cost for Establishment Owned Dwellings";1937;130
"..Transportation and Storage";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";487;402
"..Accommodation and Food Service Activities";"Total";1206;3414
"..Accommodation and Food Service Activities";"..Cost for Establishment Owned Dwellings";489;1455
"..Accommodation and Food Service Activities";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";717;1959
"..Information and Communications";"Total";1125;1766
"..Information and Communications";"..Cost for Establishment Owned Dwellings";a;a
"..Information and Communications";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";1103;1699
"..Financial and Insurance Activities";"Total";590;6705
"..Financial and Insurance Activities";"..Cost for Establishment Owned Dwellings";145;802
"..Financial and Insurance Activities";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";445;5903
"..Real Estate Activities";"Total";2031;a
"..Real Estate Activities";"..Cost for Establishment Owned Dwellings";1879;0
"..Real Estate Activities";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";152;a
"..Professional, Scientific, and Technical Activities";"Total";907;2453
"..Professional, Scientific, and Technical Activities";"..Cost for Establishment Owned Dwellings";a;920
"..Professional, Scientific, and Technical Activities";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";844;1533
"..Administrative and Support Service Activities";"Total";159;536
"..Administrative and Support Service Activities";"..Cost for Establishment Owned Dwellings";a;a
"..Administrative and Support Service Activities";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";154;462
"..Education Except Public Education";"Total";592;1469
"..Education Except Public Education";"..Cost for Establishment Owned Dwellings";425;837
"..Education Except Public Education";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";166;631
"..Human Health and Social Work Activities";"Total";a;1907
"..Human Health and Social Work Activities";"..Cost for Establishment Owned Dwellings";a;1893
"..Human Health and Social Work Activities";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";a;a
"..Arts, Entertainment and Recreation";"Total";1938;103
"..Arts, Entertainment and Recreation";"..Cost for Establishment Owned Dwellings";724;0
"..Arts, Entertainment and Recreation";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";1215;103
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total";993;909
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Cost for Establishment Owned Dwellings";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";993;909
