"Annual Labor Cost Per Employee in Establishments Employing 20 or More Workers by Industry Group and Major Cost Component, Philippines: 2013-2019"

"Major Industry Group";"Annual Labor Cost Per Employee";"2013";"2019"
"ALL INDUSTRIES";"Total";255398;304691
"ALL INDUSTRIES";"..Direct Wages and Salaries";200936;236405
"ALL INDUSTRIES";"..Remuneration for Time Not Worked";1896;1893
"ALL INDUSTRIES";"..Bonuses and Gratuities";24132;28958
"ALL INDUSTRIES";"..Payments in Kind";392;404
"ALL INDUSTRIES";"..Housing";891;1317
"ALL INDUSTRIES";"..Social Security Expenditures";22153;32327
"ALL INDUSTRIES";"..Cost of Training";1520;939
"ALL INDUSTRIES";"..Cost of Welfare Services";820;803
"ALL INDUSTRIES";"..Other Labor Costs";2659;1645
"..Agriculture, Forestry, and Fishing";"Total";138800;209497
"..Agriculture, Forestry, and Fishing";"..Direct Wages and Salaries";103230;158121
"..Agriculture, Forestry, and Fishing";"..Remuneration for Time Not Worked";2404;334
"..Agriculture, Forestry, and Fishing";"..Bonuses and Gratuities";9520;23053
"..Agriculture, Forestry, and Fishing";"..Payments in Kind";810;665
"..Agriculture, Forestry, and Fishing";"..Housing";2055;101
"..Agriculture, Forestry, and Fishing";"..Social Security Expenditures";14458;26577
"..Agriculture, Forestry, and Fishing";"..Cost of Training";685;408
"..Agriculture, Forestry, and Fishing";"..Cost of Welfare Services";899;a
"..Agriculture, Forestry, and Fishing";"..Other Labor Costs";4737;227
"..Mining and Quarrying";"Total";259514;365921
"..Mining and Quarrying";"..Direct Wages and Salaries";207787;281114
"..Mining and Quarrying";"..Remuneration for Time Not Worked";4034;2676
"..Mining and Quarrying";"..Bonuses and Gratuities";18490;29727
"..Mining and Quarrying";"..Payments in Kind";1356;488
"..Mining and Quarrying";"..Housing";2159;1373
"..Mining and Quarrying";"..Social Security Expenditures";21205;38679
"..Mining and Quarrying";"..Cost of Training";1084;2034
"..Mining and Quarrying";"..Cost of Welfare Services";392;798
"..Mining and Quarrying";"..Other Labor Costs";3008;9032
"..Manufacturing";"Total";223135;274396
"..Manufacturing";"..Direct Wages and Salaries";177165;214871
"..Manufacturing";"..Remuneration for Time Not Worked";1913;4340
"..Manufacturing";"..Bonuses and Gratuities";20474;26933
"..Manufacturing";"..Payments in Kind";239;550
"..Manufacturing";"..Housing";528;602
"..Manufacturing";"..Social Security Expenditures";17987;23157
"..Manufacturing";"..Cost of Training";781;729
"..Manufacturing";"..Cost of Welfare Services";1701;1165
"..Manufacturing";"..Other Labor Costs";2347;2049
"..Electricity, Gas, Steam, and Air Conditioning Supply";"Total";596914;526401
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Direct Wages and Salaries";435386;361557
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Remuneration for Time Not Worked";6856;2440
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Bonuses and Gratuities";70939;57720
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Payments in Kind";3885;1752
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Housing";2226;a
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Social Security Expenditures";64341;86086
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Cost of Training";6985;10135
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Cost of Welfare Services";1029;577
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Other Labor Costs";5266;6133
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total";288549;435467
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Direct Wages and Salaries";218783;314895
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Remuneration for Time Not Worked";1905;5821
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Bonuses and Gratuities";30518;44578
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Payments in Kind";1291;1155
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Housing";2972;310
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Social Security Expenditures";26091;28129
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Cost of Training";3481;6627
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Cost of Welfare Services";405;32643
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Other Labor Costs";3102;1309
"..Construction";"Total";185507;215810
"..Construction";"..Direct Wages and Salaries";155611;181925
"..Construction";"..Remuneration for Time Not Worked";293;222
"..Construction";"..Bonuses and Gratuities";11696;14292
"..Construction";"..Payments in Kind";a;a
"..Construction";"..Housing";1708;1957
"..Construction";"..Social Security Expenditures";12266;14718
"..Construction";"..Cost of Training";236;326
"..Construction";"..Cost of Welfare Services";a;a
"..Construction";"..Other Labor Costs";3653;2290
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total";210475;240257
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Direct Wages and Salaries";168825;193690
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Remuneration for Time Not Worked";586;439
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Bonuses and Gratuities";19343;25056
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Payments in Kind";199;199
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Housing";1377;617
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Social Security Expenditures";17029;17937
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Cost of Training";746;546
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Cost of Welfare Services";533;746
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Other Labor Costs";1836;1027
"..Transportation and Storage";"Total";224279;197588
"..Transportation and Storage";"..Direct Wages and Salaries";183298;161124
"..Transportation and Storage";"..Remuneration for Time Not Worked";3427;629
"..Transportation and Storage";"..Bonuses and Gratuities";17121;17434
"..Transportation and Storage";"..Payments in Kind";336;130
"..Transportation and Storage";"..Housing";2424;532
"..Transportation and Storage";"..Social Security Expenditures";16079;15215
"..Transportation and Storage";"..Cost of Training";677;589
"..Transportation and Storage";"..Cost of Welfare Services";203;a
"..Transportation and Storage";"..Other Labor Costs";713;1845
"..Accommodation and Food Service Activities";"Total";159495;225759
"..Accommodation and Food Service Activities";"..Direct Wages and Salaries";132042;172939
"..Accommodation and Food Service Activities";"..Remuneration for Time Not Worked";196;1226
"..Accommodation and Food Service Activities";"..Bonuses and Gratuities";12316;16573
"..Accommodation and Food Service Activities";"..Payments in Kind";456;388
"..Accommodation and Food Service Activities";"..Housing";1206;3414
"..Accommodation and Food Service Activities";"..Social Security Expenditures";11378;27886
"..Accommodation and Food Service Activities";"..Cost of Training";407;1191
"..Accommodation and Food Service Activities";"..Cost of Welfare Services";373;1178
"..Accommodation and Food Service Activities";"..Other Labor Costs";1121;964
"..Information and Communications";"Total";575721;410285
"..Information and Communications";"..Direct Wages and Salaries";436664;320301
"..Information and Communications";"..Remuneration for Time Not Worked";11734;4500
"..Information and Communications";"..Bonuses and Gratuities";69186;41966
"..Information and Communications";"..Payments in Kind";511;762
"..Information and Communications";"..Housing";1125;1766
"..Information and Communications";"..Social Security Expenditures";49255;37843
"..Information and Communications";"..Cost of Training";3186;1620
"..Information and Communications";"..Cost of Welfare Services";3042;440
"..Information and Communications";"..Other Labor Costs";1018;1087
"..Financial and Insurance Activities";"Total";452923;763591
"..Financial and Insurance Activities";"..Direct Wages and Salaries";331618;513571
"..Financial and Insurance Activities";"..Remuneration for Time Not Worked";2212;1353
"..Financial and Insurance Activities";"..Bonuses and Gratuities";75000;65502
"..Financial and Insurance Activities";"..Payments in Kind";1450;821
"..Financial and Insurance Activities";"..Housing";590;6705
"..Financial and Insurance Activities";"..Social Security Expenditures";30057;171382
"..Financial and Insurance Activities";"..Cost of Training";2271;1921
"..Financial and Insurance Activities";"..Cost of Welfare Services";468;157
"..Financial and Insurance Activities";"..Other Labor Costs";9257;2177
"..Real Estate Activities";"Total";317344;356230
"..Real Estate Activities";"..Direct Wages and Salaries";244162;285234
"..Real Estate Activities";"..Remuneration for Time Not Worked";889;3521
"..Real Estate Activities";"..Bonuses and Gratuities";41976;36881
"..Real Estate Activities";"..Payments in Kind";660;1287
"..Real Estate Activities";"..Housing";2031;a
"..Real Estate Activities";"..Social Security Expenditures";26067;26436
"..Real Estate Activities";"..Cost of Training";495;2069
"..Real Estate Activities";"..Cost of Welfare Services";0;a
"..Real Estate Activities";"..Other Labor Costs";1064;762
"..Professional, Scientific, and Technical Activities";"Total";491383;382458
"..Professional, Scientific, and Technical Activities";"..Direct Wages and Salaries";396057;298923
"..Professional, Scientific, and Technical Activities";"..Remuneration for Time Not Worked";4057;3896
"..Professional, Scientific, and Technical Activities";"..Bonuses and Gratuities";50070;45599
"..Professional, Scientific, and Technical Activities";"..Payments in Kind";141;521
"..Professional, Scientific, and Technical Activities";"..Housing";907;2453
"..Professional, Scientific, and Technical Activities";"..Social Security Expenditures";33450;26643
"..Professional, Scientific, and Technical Activities";"..Cost of Training";2474;1337
"..Professional, Scientific, and Technical Activities";"..Cost of Welfare Services";717;531
"..Professional, Scientific, and Technical Activities";"..Other Labor Costs";3511;2555
"..Administrative and Support Service Activities";"Total";243282;288348
"..Administrative and Support Service Activities";"..Direct Wages and Salaries";201814;232215
"..Administrative and Support Service Activities";"..Remuneration for Time Not Worked";1373;1412
"..Administrative and Support Service Activities";"..Bonuses and Gratuities";18453;28875
"..Administrative and Support Service Activities";"..Payments in Kind";a;132
"..Administrative and Support Service Activities";"..Housing";159;536
"..Administrative and Support Service Activities";"..Social Security Expenditures";15818;22946
"..Administrative and Support Service Activities";"..Cost of Training";2496;299
"..Administrative and Support Service Activities";"..Cost of Welfare Services";123;453
"..Administrative and Support Service Activities";"..Other Labor Costs";2981;1481
"..Education Except Public Education";"Total";273002;266062
"..Education Except Public Education";"..Direct Wages and Salaries";186982;215432
"..Education Except Public Education";"..Remuneration for Time Not Worked";1031;1348
"..Education Except Public Education";"..Bonuses and Gratuities";18617;22425
"..Education Except Public Education";"..Payments in Kind";299;406
"..Education Except Public Education";"..Housing";592;1469
"..Education Except Public Education";"..Social Security Expenditures";60773;21613
"..Education Except Public Education";"..Cost of Training";3084;1952
"..Education Except Public Education";"..Cost of Welfare Services";959;905
"..Education Except Public Education";"..Other Labor Costs";664;513
"..Human Health and Social Work Activities";"Total";217758;265175
"..Human Health and Social Work Activities";"..Direct Wages and Salaries";184890;211552
"..Human Health and Social Work Activities";"..Remuneration for Time Not Worked";434;716
"..Human Health and Social Work Activities";"..Bonuses and Gratuities";14690;23567
"..Human Health and Social Work Activities";"..Payments in Kind";446;1194
"..Human Health and Social Work Activities";"..Housing";a;1907
"..Human Health and Social Work Activities";"..Social Security Expenditures";15802;22285
"..Human Health and Social Work Activities";"..Cost of Training";761;1437
"..Human Health and Social Work Activities";"..Cost of Welfare Services";406;353
"..Human Health and Social Work Activities";"..Other Labor Costs";314;2163
"..Arts, Entertainment and Recreation";"Total";251224;393639
"..Arts, Entertainment and Recreation";"..Direct Wages and Salaries";195755;320449
"..Arts, Entertainment and Recreation";"..Remuneration for Time Not Worked";3926;401
"..Arts, Entertainment and Recreation";"..Bonuses and Gratuities";23637;42229
"..Arts, Entertainment and Recreation";"..Payments in Kind";1567;147
"..Arts, Entertainment and Recreation";"..Housing";1938;103
"..Arts, Entertainment and Recreation";"..Social Security Expenditures";19976;28217
"..Arts, Entertainment and Recreation";"..Cost of Training";365;792
"..Arts, Entertainment and Recreation";"..Cost of Welfare Services";2930;a
"..Arts, Entertainment and Recreation";"..Other Labor Costs";1130;1220
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total";197553;407027
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Direct Wages and Salaries";162740;348825
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Remuneration for Time Not Worked";a;307
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Bonuses and Gratuities";15788;34893
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Payments in Kind";a;565
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Housing";993;909
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Social Security Expenditures";15598;20063
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Cost of Training";349;709
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Cost of Welfare Services";187;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Other Labor Costs";1741;755
