"Annual Other Labor Costs Per Employee in Establishments Employing 20 or More Workers by Industry Group and Sub-Cost Component, Philippines: 2013-2019"

"Major Industry Group";"Annual Other Labor Costs per Employee";"2013";"2019"
"ALL INDUSTRIES";"Total";2659;1645
"ALL INDUSTRIES";"..Cost of Work Clothes/Protective Gear";551;603
"ALL INDUSTRIES";"..Transport of Workers to and from Work Undertaken  by Employers";1312;602
"ALL INDUSTRIES";"..Recruitment Cost";734;440
"ALL INDUSTRIES";"..Others";a;0
"..Agriculture, Forestry, and Fishing";"Total";4737;227
"..Agriculture, Forestry, and Fishing";"..Cost of Work Clothes/Protective Gear";783;107
"..Agriculture, Forestry, and Fishing";"..Transport of Workers to and from Work Undertaken  by Employers";3928;118
"..Agriculture, Forestry, and Fishing";"..Recruitment Cost";a;a
"..Agriculture, Forestry, and Fishing";"..Others";0;0
"..Mining and Quarrying";"Total";3008;9032
"..Mining and Quarrying";"..Cost of Work Clothes/Protective Gear";1313;905
"..Mining and Quarrying";"..Transport of Workers to and from Work Undertaken  by Employers";1448;3098
"..Mining and Quarrying";"..Recruitment Cost";247;5029
"..Mining and Quarrying";"..Others";0;0
"..Manufacturing";"Total";2347;2049
"..Manufacturing";"..Cost of Work Clothes/Protective Gear";633;564
"..Manufacturing";"..Transport of Workers to and from Work Undertaken  by Employers";1531;1181
"..Manufacturing";"..Recruitment Cost";137;304
"..Manufacturing";"..Others";a;0
"..Electricity, Gas, Steam, and Air Conditioning Supply";"Total";5266;6133
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Cost of Work Clothes/Protective Gear";2264;1944
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Transport of Workers to and from Work Undertaken  by Employers";1573;3415
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Recruitment Cost";600;774
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Others";829;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total";3102;1309
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Cost of Work Clothes/Protective Gear";951;565
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Transport of Workers to and from Work Undertaken  by Employers";1430;742
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Recruitment Cost";a;a
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Others";704;0
"..Construction";"Total";3653;2290
"..Construction";"..Cost of Work Clothes/Protective Gear";3078;1861
"..Construction";"..Transport of Workers to and from Work Undertaken  by Employers";545;416
"..Construction";"..Recruitment Cost";a;a
"..Construction";"..Others";0;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total";1836;1027
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Cost of Work Clothes/Protective Gear";224;446
