"Annual Training Cost by Type of Workers and Major Industry Group, Philippines: 2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__TOW/7001B3GT110.px/table/tableViewLayout1/?rxid=e4678445-bf07-4a64-9700-2756983b560d"
"Major Industry Group";"2021 Total number of Employees Trained";"2021 Annual Training Cost";"2021 ..Total number of Managers Trained";"2021 ..Training Cost of Managers";"2021 ..Total number of Supervisors Trained";"2021 ..Training Cost of Supervisors";"2021 ..Total number of Rank and File Trained";"2021 ..Training Cost of Rank and File"
"ALL INDUSTRIES";1559377;5476.50;132393;558.32;247606;598.32;1179377;4319.86
"..Agriculture, Forestry and Fishing";35535;36.69;1423;12.89;4789;5.46;29324;18.34
"..Mining and Quarrying";7760;15.99;541;2.14;2310;4.19;4909;9.66
"..Manufacturing";260587;258.06;13022;43.09;36695;63.71;210870;151.26
"..Electricity, Gas, Steam and Air Conditioning Supply";29570;57.41;2313;11.35;6046;16.47;21212;29.60
"..Water Supply; Sewerage, Waste Management and Remediation Activities";15305;27.05;1324;5.75;2234;7.10;11747;14.20
"..Construction";35756;35.79;2497;10.91;4004;6.88;29255;18.00
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";307976;1335.97;35811;26.24;21907;48.56;250258;1261.16
"..Transportation and Storage";35701;75.42;2533;46.48;6778;8.30;26390;20.64
"..Accommodation and Food Service Activities";38474;166.58;3411;36.46;4285;91.74;30778;38.38
"..Information and Communication";33973;81.38;2944;12.34;9012;20.30;22016;48.75
"..Financial and Insurance Activities";291082;406.05;39392;98.38;63624;101.30;188066;206.37
"..Real Estate Activities";10986;26.19;1731;9.05;2962;6.79;6293;10.35
"..Professional, Scientific and Technical Activities";36559;91.25;4050;15.60;4974;11.14;27535;64.51
"..Administrative and Support Services Activities";254263;2695.05;10210;199.32;41523;176.89;202531;2318.85
"..Education except Public Education";87397;89.99;6184;15.55;8857;17.38;72356;57.07
"..Human Health and Social Work Activities except Public Health Activities";72457;70.97;4355;11.54;26516;10.46;41586;48.97
"..Arts, Entertainment and Recreation";4919;5.73;548;0.88;963;1.48;3409;3.37
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";.;.;.;.;.;.;.;.
"..Other Service Activities except Activities of Membership Organizations";1076;0.91;105;0.34;128;0.19;843;0.38
