"Annual Training Cost Incurred by Establishments Providing Job-Related Trainings  by Type of Workers and Major Industry Group, Philippines: 2021  (In PhP Million except Percent Share)"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__TOW/5001B3GT070.px/table/tableViewLayout1/?rxid=43793737-3c10-4c84-9e75-516366d4be48"
"Major Industry Group";"2013 Percent Share";"2013 Total";"2013 ..Managers/ Executives";"2013 ..Supervisors/ Foremen";"2013 ..Rank and File";"2015 Percent Share";"2015 Total";"2015 ..Managers/ Executives";"2015 ..Supervisors/ Foremen";"2015 ..Rank and File";"2017 Percent Share";"2017 Total";"2017 ..Managers/ Executives";"2017 ..Supervisors/ Foremen";"2017 ..Rank and File";"2019 Percent Share";"2019 Total";"2019 ..Managers/ Executives";"2019 ..Supervisors/ Foremen";"2019 ..Rank and File";"2021 Percent Share";"2021 Total";"2021 ..Managers/ Executives";"2021 ..Supervisors/ Foremen";"2021 ..Rank and File"
"ALL INDUSTRIES";100.0;6180;1271;1389;3520;100.0;5630;1111;947;3572;100.0;6899;1909;1540;3450;100.0;13899;2445;2841;8613;100.0;5476;558;598;4320
"..Agriculture, Forestry and Fishing";0.9;57;15;14;28;0.5;27;4;7;16;0.8;53;7;17;29;0.3;38;13;7;17;0.7;37;13;5;18
"..Mining and Quarrying";0.7;46;11;23;12;0.8;44;12;14;17;0.5;36;10;17;9;0.5;69;16;31;23;0.3;16;2;4;10
"..Manufacturing";9.1;562;146;194;221;13.2;741;271;159;311;15.2;1049;504;193;352;32.6;4534;1289;1293;1952;4.7;258;43;64;151
"..Electricity, Gas, Steam and Air Conditioning Supply";8.1;503;185;140;178;22.5;1266;50;57;1159;12.3;848;205;311;333;1.8;253;30;101;123;1.0;57;11;16;30
"..Water Supply; Sewerage, Waste Management and Remediation Activities";1.0;63;26;11;26;1.2;67;21;11;34;2.1;148;72;27;48;0.7;92;28;19;45;0.5;27;6;7;14
"..Construction";0.4;23;7;6;9;1.1;62;14;17;31;3.1;214;80;64;69;0.5;69;15;15;39;0.7;36;11;7;18
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";6.6;407;88;202;117;6.3;354;86;80;189;7.2;499;96;112;291;17.6;2450;69;95;2287;24.4;1336;26;49;1261
"..Transportation and Storage";1.5;92;49;24;19;1.6;89;30;20;39;3.7;256;101;66;89;7.9;1094;47;76;972;1.4;75;46;8;21
"..Accommodation and Food Service Activities";1.6;99;30;22;47;2.4;136;56;24;56;4.6;318;64;171;84;2.5;348;92;144;112;3.0;167;36;92;38
"..Information and Communication";6.7;413;56;203;155;5.5;312;57;109;146;4.2;291;40;164;86;3.1;425;81;38;306;1.5;81;12;20;49
"..Financial and Insurance Activities";6.6;408;123;98;186;14.4;808;174;180;455;27.6;1905;485;204;1217;11.4;1583;283;203;1097;7.4;406;98;101;206
"..Real Estate Activities";0.4;28;15;4;9;1.0;55;25;13;17;0.3;24;7;5;11;1.1;159;43;55;60;0.5;26;9;7;10
"..Professional, Scientific and Technical Activities";4.0;245;69;61;115;3.3;187;62;33;92;2.5;172;72;40;60;2.5;341;81;93;168;1.7;91;16;11;65
"..Administrative and Support Services Activities";39.4;2434;146;136;2153;16.4;922;136;134;653;7.5;519;47;56;417;10.6;1471;225;380;865;49.2;2695;199;177;2319
"..Education except Public Education";11.6;716;282;234;200;7.0;393;80;53;259;4.5;309;61;45;203;5.1;712;92;220;401;1.6;90;16;17;57
"..Human Health and Social Work Activities except Public Health Activities";1.1;70;19;14;37;1.9;110;25;24;61;3.1;211;46;43;123;1.6;229;33;64;132;1.3;71;12;10;49
"..Arts, Entertainment and Recreation";a;3;1;0;2;0.9;49;6;9;34;0.5;37;11;3;23;0.2;28;9;7;11;0.1;6;1;1;3
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";0.2;10;1;2;6;0.1;7;2;1;4;0.1;8;2;2;4;a;4;1;1;2;.;.;.;.;.
"..Other Service Activities except Activities of Membership Organizations";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;a;1;0;0;0
