"Annual Employer’s Social Security Expenditures Per Employee in Establishments Employing 20 or More Workers by Industry Group and Sub-Cost Component, Philippines: 2013-2019"

"Major Industry Group";"Annual Employer’s Social Security Expenditures Per Employee";"2013";"2019"
"ALL INDUSTRIES";"Total";22153;32327
"ALL INDUSTRIES";"..Compulsory Social Security Expenditures";13989;22851
"ALL INDUSTRIES";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";2214;2425
"ALL INDUSTRIES";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";368;529
"ALL INDUSTRIES";"..Cost of Medical Care and Health Services";1688;2644
"ALL INDUSTRIES";"..Retirement and Termination/ Separation Pay";3893;3877
"..Agriculture, Forestry, and Fishing";"Total";14458;26577
"..Agriculture, Forestry, and Fishing";"..Compulsory Social Security Expenditures";8743;11788
"..Agriculture, Forestry, and Fishing";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";996;847
"..Agriculture, Forestry, and Fishing";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";a;a
"..Agriculture, Forestry, and Fishing";"..Cost of Medical Care and Health Services";1490;655
"..Agriculture, Forestry, and Fishing";"..Retirement and Termination/ Separation Pay";3150;13256
"..Mining and Quarrying";"Total";21205;38679
"..Mining and Quarrying";"..Compulsory Social Security Expenditures";8717;19089
"..Mining and Quarrying";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";551;4310
"..Mining and Quarrying";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";1229;442
"..Mining and Quarrying";"..Cost of Medical Care and Health Services";5886;7054
"..Mining and Quarrying";"..Retirement and Termination/ Separation Pay";4821;7784
"..Manufacturing";"Total";17987;23157
"..Manufacturing";"..Compulsory Social Security Expenditures";10284;13317
"..Manufacturing";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";1785;4174
"..Manufacturing";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";345;946
"..Manufacturing";"..Cost of Medical Care and Health Services";1442;1323
"..Manufacturing";"..Retirement and Termination/ Separation Pay";4131;3397
"..Electricity, Gas, Steam, and Air Conditioning Supply";"Total";64341;86086
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Compulsory Social Security Expenditures";17414;15174
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";5056;3535
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";370;644
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Cost of Medical Care and Health Services";8977;15662
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Retirement and Termination/ Separation Pay";32525;51070
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total";26091;28129
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Compulsory Social Security Expenditures";20002;13395
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";906;717
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";643;a
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Cost of Medical Care and Health Services";1679;1894
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Retirement and Termination/ Separation Pay";2861;12070
"..Construction";"Total";12266;14718
"..Construction";"..Compulsory Social Security Expenditures";10541;12426
"..Construction";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";472;402
"..Construction";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";256;125
"..Construction";"..Cost of Medical Care and Health Services";470;534
"..Construction";"..Retirement and Termination/ Separation Pay";527;1231
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total";17029;17937
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Compulsory Social Security Expenditures";10628;13423
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";2530;1029
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";493;286
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Cost of Medical Care and Health Services";1226;1847
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Retirement and Termination/ Separation Pay";2153;1352
"..Transportation and Storage";"Total";16079;15215
"..Transportation and Storage";"..Compulsory Social Security Expenditures";11685;12016
"..Transportation and Storage";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";824;1323
"..Transportation and Storage";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";a;163
"..Transportation and Storage";"..Cost of Medical Care and Health Services";673;785
"..Transportation and Storage";"..Retirement and Termination/ Separation Pay";2860;929
"..Accommodation and Food Service Activities";"Total";11378;27886
"..Accommodation and Food Service Activities";"..Compulsory Social Security Expenditures";8729;12298
"..Accommodation and Food Service Activities";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";188;1881
"..Accommodation and Food Service Activities";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";228;375
"..Accommodation and Food Service Activities";"..Cost of Medical Care and Health Services";893;12370
"..Accommodation and Food Service Activities";"..Retirement and Termination/ Separation Pay";1341;962
"..Information and Communications";"Total";49255;37843
"..Information and Communications";"..Compulsory Social Security Expenditures";15532;13224
"..Information and Communications";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";15615;2544
"..Information and Communications";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";267;1664
"..Information and Communications";"..Cost of Medical Care and Health Services";3915;6078
"..Information and Communications";"..Retirement and Termination/ Separation Pay";13927;14333
"..Financial and Insurance Activities";"Total";30057;171382
"..Financial and Insurance Activities";"..Compulsory Social Security Expenditures";14314;153284
"..Financial and Insurance Activities";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";2661;5093
"..Financial and Insurance Activities";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";259;714
"..Financial and Insurance Activities";"..Cost of Medical Care and Health Services";4334;4403
"..Financial and Insurance Activities";"..Retirement and Termination/ Separation Pay";8489;7888
"..Real Estate Activities";"Total";26067;26436
"..Real Estate Activities";"..Compulsory Social Security Expenditures";13623;17277
"..Real Estate Activities";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";237;1165
"..Real Estate Activities";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";135;693
"..Real Estate Activities";"..Cost of Medical Care and Health Services";6008;2378
"..Real Estate Activities";"..Retirement and Termination/ Separation Pay";6064;4923
"..Professional, Scientific, and Technical Activities";"Total";33450;26643
"..Professional, Scientific, and Technical Activities";"..Compulsory Social Security Expenditures";14249;14922
"..Professional, Scientific, and Technical Activities";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";4967;2144
"..Professional, Scientific, and Technical Activities";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";307;181
"..Professional, Scientific, and Technical Activities";"..Cost of Medical Care and Health Services";3400;3529
"..Professional, Scientific, and Technical Activities";"..Retirement and Termination/ Separation Pay";10526;5867
