"Annual Training Cost by Major Industry Group and Training Provider, Philippines: June 2013"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__TOW/6001B3GT090.px/table/tableViewLayout1/?rxid=6a9cb705-87c9-4612-89e3-796d8f8f5bed"
"Major Industry Group";"2013 Total";"2013 Percent Share";"2013 Local Private Training Institution";"2013 Government Training Institution";"2013 In-house";"2013 Foreign Training Institution";"2013 Others"
"ALL INDUSTRIES";6179.6;100.0;1444.0;179.5;3843.6;711.0;1.6
"..Agriculture, Forestry and Fishing";57.3;0.9;20.2;12.8;20.4;3.9;0.0
"..Mining and Quarrying";46.1;0.7;37.2;1.7;5.3;1.9;0.0
"..Manufacturing";561.7;9.1;239.2;28.8;184.2;109.5;0.1
"..Electricity, Gas, Steam and Air Conditioning Supply";503.2;8.1;78.0;24.5;221.0;179.7;0.0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";62.8;1.0;9.6;33.8;17.3;2.0;0.1
"..Construction";22.6;0.4;11.5;8.1;2.7;0.3;0.0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";406.8;6.6;132.6;3.2;222.2;48.4;0.5
"..Transportation and Storage";92.3;1.5;15.6;3.5;18.3;54.9;0.0
"..Accommodation and Food Service Activities";99.4;1.6;21.3;1.6;72.3;4.2;0.0
"..Information and Communication";413.3;6.7;125.6;0.3;222.4;64.4;0.6
"..Financial and Insurance Activities";407.7;6.6;157.3;9.8;209.2;31.4;0.0
"..Real Estate Activities";27.6;0.4;10.5;0.4;15.9;0.8;0.0
"..Professional, Scientific and Technical Activities";245.1;4.0;67.7;1.5;150.8;25.0;0.1
"..Administrative and Support Service Activities";2434.3;39.4;93.6;3.9;2334.4;2.3;0.1
"..Education except Public Education";716.3;11.6;389.0;30.7;117.4;179.1;0.1
"..Human Health and Social Work Activities except Public Health Activities";70.1;1.1;29.1;13.9;23.9;3.2;0.1
"..Arts, Entertainment and Recreation";3.1;a;1.9;0.3;0.9;0.0;0.0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";9.9;0.2;4.2;0.7;5.0;0.0;0.0
