"Average Real Daily Basic Pay by Category of Employees"

"Indicator";"Category of Employee";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Average real daily basic pay by category of employee, in 2012 PhP";"TOTAL";..;..;..;..;..;..;357.92;354.86;352.70;342.38;336.69;340.73;337.00;325.85;325.90;331.09;327.42;333.82;340.31;345.58;353.88;369.88;372.35;377.64
"Average real daily basic pay by category of employee, in 2012 PhP";"..Private Household";..;..;..;..;..;..;183.82;178.86;176.07;163.27;147.79;148.53;155.89;144.05;141.08;143.87;143.36;146.75;151.92;151.82;158.73;168.84;180.13;185.69
"Average real daily basic pay by category of employee, in 2012 PhP";"..Private Establishment";..;..;..;..;..;..;331.63;325.90;328.50;319.10;316.14;326.39;323.93;314.79;314.14;317.76;308.52;312.51;317.88;322.94;332.06;350.65;352.67;357.83
"Average real daily basic pay by category of employee, in 2012 PhP";"..Worked for Government/Government Corporation";..;..;..;..;..;..;594.82;617.96;603.99;586.66;576.40;563.50;550.17;523.48;530.88;543.03;575.46;611.21;627.68;639.48;638.33;654.11;625.56;627.83
"Average real daily basic pay by category of employee, in 2012 PhP";"..With Pay in Own Family-Operated Farm or Business";..;..;..;..;..;..;337.39;298.04;304.29;265.29;265.14;259.68;286.76;244.62;281.13;240.95;252.99;248.41;217.99;248.34;260.79;246.08;249.53;288.01
"Average daily basic pay by category of employees (PhP)";"TOTAL";..;..;..;..;..;..;222.29;226.39;230.12;234.09;245.38;261.90;266.65;278.93;290.73;306.53;317.44;333.82;349.16;367.35;378.65;400.95;415.17;442.97
"Average daily basic pay by category of employees (PhP)";"..Private Household";..;..;..;..;..;..;114.16;114.11;114.88;111.63;107.71;114.16;123.35;123.30;125.85;133.20;138.99;146.75;155.87;161.38;169.84;183.02;200.84;217.82
"Average daily basic pay by category of employees (PhP)";"..Private Establishment";..;..;..;..;..;..;205.96;207.91;214.33;218.17;230.40;250.88;256.31;269.47;280.23;294.19;299.11;312.51;326.14;343.29;355.30;380.11;393.23;419.73
"Average daily basic pay by category of employees (PhP)";"..Worked for Government/Government Corporation";..;..;..;..;..;..;369.42;394.24;394.07;401.10;420.08;433.13;435.32;448.10;473.58;502.75;557.91;611.21;644.00;679.77;683.01;709.05;697.50;736.44
"Average daily basic pay by category of employees (PhP)";"..With Pay in Own Family-Operated Farm or Business";..;..;..;..;..;..;209.54;190.14;198.53;181.38;193.23;199.60;226.90;209.40;250.79;223.08;245.28;248.41;223.66;263.99;279.04;266.75;278.23;337.83
