"Average Real Daily Basic Pay by Sex and Major Occupation Group (Based on 2002 PSOC)"

"Indicator";"Sex";"Major Occupation";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Average real daily basic pay by major occupation group, in 2012 PhP";"TOTAL";"TOTAL";..;..;..;..;..;..;357.92;354.86;352.70;342.38;336.69;340.73;337.00;325.85;325.90;331.09;327.42;333.82;340.31;345.58;353.88
"Average real daily basic pay by major occupation group, in 2012 PhP";"TOTAL";"..Officials of Government and Special Interest-Organizations, Corporate Executives, Managers, Managing Proprietors and Supervisors";..;..;..;..;..;..;786.96;799.80;817.02;818.39;796.83;819.34;814.24;787.12;770.95;782.23;772.22;802.67;821.80;806.77;809.99
"Average real daily basic pay by major occupation group, in 2012 PhP";"TOTAL";"..Professionals";..;..;..;..;..;..;771.52;769.13;754.38;746.45;692.08;674.26;675.32;652.11;660.28;683.01;700.16;721.06;743.62;744.82;755.50
"Average real daily basic pay by major occupation group, in 2012 PhP";"TOTAL";"..Technicians & Associate Professionals";..;..;..;..;..;..;518.10;543.60;522.66;503.24;494.10;541.06;494.95;480.59;486.72;480.45;475.81;463.86;493.70;485.23;486.03
"Average real daily basic pay by major occupation group, in 2012 PhP";"TOTAL";"..Clerks";..;..;..;..;..;..;414.65;412.50;410.87;399.85;403.88;430.32;426.81;414.06;415.25;426.60;424.41;425.54;434.45;429.85;443.03
"Average real daily basic pay by major occupation group, in 2012 PhP";"TOTAL";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;313.17;314.11;313.93;307.79;291.27;286.92;289.66;278.51;280.87;282.45;275.82;271.58;276.60;279.08;284.06
"Average real daily basic pay by major occupation group, in 2012 PhP";"TOTAL";"..Farmers, Forestry Workers & Fishermen";..;..;..;..;..;..;183.77;181.45;178.08;189.20;186.16;209.23;224.63;200.17;196.76;198.93;201.97;327.59;285.39;272.45;286.35
"Average real daily basic pay by major occupation group, in 2012 PhP";"TOTAL";"..Trades and Related Workers";..;..;..;..;..;..;319.74;319.70;324.24;319.00;314.05;323.34;318.62;307.72;305.69;304.02;300.68;304.62;304.20;305.99;315.70
"Average real daily basic pay by major occupation group, in 2012 PhP";"TOTAL";"..Plant & Machine Operators & Assemblers";..;..;..;..;..;..;356.91;346.10;350.40;341.19;341.14;343.42;351.47;334.70;332.66;335.02;331.69;336.33;339.00;338.67;346.00
"Average real daily basic pay by major occupation group, in 2012 PhP";"TOTAL";"..Laborers and Unskilled Workers";..;..;..;..;..;..;194.60;192.97;194.25;191.53;187.16;190.35;188.18;180.89;180.20;183.33;181.99;185.66;189.89;196.11;203.90
"Average real daily basic pay by major occupation group, in 2012 PhP";"TOTAL";"..Special Occupations";..;..;..;..;..;..;515.18;546.78;592.48;567.23;595.86;596.22;629.60;569.47;588.88;554.59;598.76;722.44;742.85;793.75;769.91
"Average real daily basic pay by major occupation group, in 2012 PhP";"Men";"TOTAL";..;..;..;..;..;..;352.67;350.13;350.42;339.33;337.29;344.45;339.70;326.13;325.80;329.08;323.28;327.80;333.00;338.21;346.53
"Average real daily basic pay by major occupation group, in 2012 PhP";"Men";"..Officials of Government and Special Interest-Organizations, Corporate Executives, Managers, Managing Proprietors and Supervisors";..;..;..;..;..;..;780.25;792.15;829.32;821.70;798.30;832.13;820.41;777.91;755.42;787.46;762.01;791.14;820.20;783.92;798.72
"Average real daily basic pay by major occupation group, in 2012 PhP";"Men";"..Professionals";..;..;..;..;..;..;834.07;832.31;829.48;810.10;762.57;738.21;765.71;731.08;727.91;746.75;755.44;763.66;791.41;783.54;801.57
"Average real daily basic pay by major occupation group, in 2012 PhP";"Men";"..Technicians & Associate Professionals";..;..;..;..;..;..;533.62;563.88;542.86;528.30;523.64;579.31;528.10;508.52;528.56;517.21;504.68;479.59;520.10;514.70;513.91
"Average real daily basic pay by major occupation group, in 2012 PhP";"Men";"..Clerks";..;..;..;..;..;..;428.65;418.20;421.75;405.16;406.75;421.48;433.43;424.42;428.70;436.86;440.04;432.57;436.14;436.54;453.53
"Average real daily basic pay by major occupation group, in 2012 PhP";"Men";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;367.53;373.31;371.92;361.82;343.39;342.54;342.36;328.63;329.63;334.39;324.34;321.58;325.61;324.69;329.39
"Average real daily basic pay by major occupation group, in 2012 PhP";"Men";"..Farmers, Forestry Workers & Fishermen";..;..;..;..;..;..;187.24;183.06;180.05;190.10;190.60;212.53;231.42;203.70;200.80;202.52;203.60;323.33;287.38;276.48;278.15
"Average real daily basic pay by major occupation group, in 2012 PhP";"Men";"..Trades and Related Workers";..;..;..;..;..;..;332.75;332.27;336.10;331.11;325.07;337.91;330.68;318.15;315.33;314.11;311.88;315.79;314.99;317.16;326.94
"Average real daily basic pay by major occupation group, in 2012 PhP";"Men";"..Plant & Machine Operators & Assemblers";..;..;..;..;..;..;357.13;344.69;348.38;338.95;339.57;343.59;351.57;332.87;329.42;333.21;330.97;336.59;341.20;341.50;350.29
"Average real daily basic pay by major occupation group, in 2012 PhP";"Men";"..Laborers and Unskilled Workers";..;..;..;..;..;..;211.72;209.46;211.96;208.95;208.85;216.42;209.04;202.05;201.55;203.75;201.95;204.94;208.47;216.55;224.23
"Average real daily basic pay by major occupation group, in 2012 PhP";"Men";"..Special Occupations";..;..;..;..;..;..;539.48;562.20;609.28;590.72;623.35;613.49;657.21;584.63;612.78;580.49;627.36;729.05;748.64;796.77;772.59
"Average real daily basic pay by major occupation group, in 2012 PhP";"Women";"TOTAL";..;..;..;..;..;..;366.34;362.26;356.38;347.42;335.77;335.14;332.92;325.42;326.07;334.10;333.70;343.04;351.56;356.86;365.12
"Average real daily basic pay by major occupation group, in 2012 PhP";"Women";"..Officials of Government and Special Interest-Organizations, Corporate Executives, Managers, Managing Proprietors and Supervisors";..;..;..;..;..;..;798.42;813.22;797.05;813.07;794.57;800.04;804.79;800.60;793.77;774.86;786.53;818.64;823.95;836.81;825.20
"Average real daily basic pay by major occupation group, in 2012 PhP";"Women";"..Professionals";..;..;..;..;..;..;744.39;741.79;722.43;719.27;661.95;647.38;637.71;618.07;631.00;655.55;675.72;701.85;721.44;725.88;733.27
"Average real daily basic pay by major occupation group, in 2012 PhP";"Women";"..Technicians & Associate Professionals";..;..;..;..;..;..;502.09;520.73;501.08;475.76;462.93;500.57;461.00;451.02;442.52;441.14;444.61;444.78;463.06;454.61;456.07
