"Average Monthly Wage Rates of Benchmark Occupations by Industry: 2014 to 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__OWS/0031B3E1030.px/table/tableViewLayout1/?rxid=d59b8c8a-ad5d-40c6-b7a2-5d9c9b20b37f"
"Industries";"Benchmark Occupations";"2014";"2016";"2018";"2020";"2022"
"All Industries";"..Accounting and Bookkeeping Clerks";13994;14663;16482;18008;19676
"All Industries";"..Unskilled Workers except Janitors, Messengers and Freight Handlers";9652;10164;11189;11587;.
"All Industries";"..Elementary Occupations (Unskilled Workers)";.;.;.;.;12276
"Agriculture, Forestry and Fishing";"..Accounting and Bookkeeping Clerks";11909;11162;13246;16943;16801
"Agriculture, Forestry and Fishing";"..Unskilled Workers except Janitors, Messengers and Freight Handlers";9105;7836;9568;9591;.
"Agriculture, Forestry and Fishing";"..Elementary Occupations (Unskilled Workers)";.;.;.;.;10871
"Crop and Animal Production, Hunting and Related Service Activities; Forestry and Logging";"..Accounting and Bookkeeping Clerks";12064;11044;13244;17203;16718
"Crop and Animal Production, Hunting and Related Service Activities; Forestry and Logging";"..Unskilled Workers except Janitors, Messengers and Freight Handlers";9666;7739;9559;9628;.
"Crop and Animal Production, Hunting and Related Service Activities; Forestry and Logging";"..Elementary Occupations (Unskilled Workers)";.;.;.;.;10862
"Fishing and Aquaculture";"..Accounting and Bookkeeping Clerks";11169;12070;13255;15390;17135
"Fishing and Aquaculture";"..Unskilled Workers except Janitors, Messengers and Freight Handlers";6599;10971;9732;8595;.
"Fishing and Aquaculture";"..Elementary Occupations (Unskilled Workers)";.;.;.;.;10991
"Mining and Quarrying";"..Accounting and Bookkeeping Clerks";14669;16068;16994;20629;20879
"Mining and Quarrying";"..Unskilled Workers except Janitors, Messengers and Freight Handlers";7961;7541;9098;10554;.
"Mining and Quarrying";"..Elementary Occupations (Unskilled Workers)";.;.;.;.;14634
"Mining of Coal and Lignite; Extraction of Crude Petroleum and Natural Gas; and Other Mining and Quarrying";"..Accounting and Bookkeeping Clerks";14165;13348;13357;15999;16035
"Mining of Coal and Lignite; Extraction of Crude Petroleum and Natural Gas; and Other Mining and Quarrying";"..Unskilled Workers except Janitors, Messengers and Freight Handlers";7841;6920;9194;9118;.
"Mining of Coal and Lignite; Extraction of Crude Petroleum and Natural Gas; and Other Mining and Quarrying";"..Elementary Occupations (Unskilled Workers)";.;.;.;.;10464
"Mining of Metal Ores";"..Accounting and Bookkeeping Clerks";14540;17439;19764;21207;22772
"Mining of Metal Ores";"..Unskilled Workers except Janitors, Messengers and Freight Handlers";7967;7574;8779;11246;.
"Mining of Metal Ores";"..Elementary Occupations (Unskilled Workers)";.;.;.;.;15295
