"Average Monthly Pensions"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Average Monthly Pensions, SSS (PhP)";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Average Monthly Pensions, SSS (PhP)";"..Social Security";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Average Monthly Pensions, SSS (PhP)";"....Retirement";1745;1781;1919;2222;2470;2843;2934;2953;2929;2993;2967;3011;3440;3623;3572;3524;3520;3707;3577;3792;3779;4425;5106;4984
"Average Monthly Pensions, SSS (PhP)";"....Disability";5286;3030;3213;3561;3613;3762;3748;3845;4066;4324;4073;3987;4108;4074;4085;4082;4189;4329;4153;4517;4623;4623;4667;8039
"Average Monthly Pensions, SSS (PhP)";"....Death (Survivorship)";1527;1568;1676;1846;1981;2171;2317;2331;2318;2603;2395;2392;2705;2897;2852;2839;2852;3144;2920;3021;3689;3466;4451;4368
"Average Monthly Pensions, SSS (PhP)";"..Employees Compensation";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Average Monthly Pensions, SSS (PhP)";".... Death (Survivorship)";3042;2567;2778;2936;3381;3328;3553;3547;3550;3990;3658;3593;3539;3635;3587;3589;3602;4017;3684;4151;4818;4277;4203;6653
"Average Monthly Pensions, SSS (PhP)";"....Social Security, Retirement";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Average Monthly Pensions, SSS (PhP)";"....Social Security, Death (Survivorship)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Pension Disbursements (PhP Million)";"TOTAL";11803;12884;14704;17562;20153;24053;27220;29607;31653;33578;35020;38025;46449;52332;55396;59075;63624;66296;69494;77705;84439;102774;134068;141009
"Pension Disbursements (PhP Million)";"..Social Security";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Pension Disbursements (PhP Million)";"....Retirement";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Pension Disbursements (PhP Million)";"....Disability";123;73;78;80;79;86;95;107;107;99;93;92;91;88;87;87;85;80;75;80;75;77;85;153
"Pension Disbursements (PhP Million)";"....Death (Survivorship)";404;371;430;481;592;609;678;709;729;737;722;732;734;754;758;769;777;747;732;832;785;796;785;1247
"Pension Disbursements (PhP Million)";"..Employees Compensation";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Pension Disbursements (PhP Million)";".... Death (Survivorship)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Pension Disbursements (PhP Million)";"....Social Security, Retirement";5210;5785;6744;8473;9899;12241;13650;14845;15946;17066;18069;19886;24638;27952;29910;32023;34804;37079;40245;45566;50804;64978;82425;87246
"Pension Disbursements (PhP Million)";"....Social Security, Death (Survivorship)";4286;4808;5577;6697;7774;9219;10694;11727;12682;13538;14083;15279;18686;21201;22320;23810;25462;25886;26056;28643;30034;33773;46286;47519
"Pensioners";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Pensioners";"..Social Security";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Pensioners";"....Retirement";248847;270618;292852;317799;333945;358826;387756;418936;453701;475220;507542;550374;596798;642843;697805;757317;824009;833528;937616;1001446;1120174;1223682;1345287;1458847
"Pensioners";"....Disability";1939;2008;2023;1872;1822;1905;2112;2319;2193;1908;1903;1923;1846;1800;1775;1776;1691;1540;1505;1476;1352;1388;1526;1586
"Pensioners";"....Death (Survivorship)";11069;12042;12899;13654;14592;15248;15902;16656;17115;15394;16447;16979;17286;17287;17611;17856;17974;15495;16557;16703;13577;15510;15573;15619
"Pensioners";"..Employees Compensation";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Pensioners";".... Death (Survivorship)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Pensioners";"....Social Security, Retirement";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Pensioners";"....Social Security, Death (Survivorship)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
