"Average monthly pensions"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E10/0883K3E1007.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Average Monthly Pensions, GSIS (PhP)";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Average Monthly Pensions, GSIS (PhP)";"..Social Security";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Average Monthly Pensions, GSIS (PhP)";"....Retirement";..;..;..;..;..;9955;10754;12158;14208;13418;14413;13556;13851;13602;13499;13589;..;17908;21526;18427;18682;17231;..;13379
"Average Monthly Pensions, GSIS (PhP)";"....Disability";..;..;..;..;..;8994;11230;4316;2237;2764;1580;2168;2150;1044;3327;3730;..;..;..;3934;7115;4630;..;10755
"Average Monthly Pensions, GSIS (PhP)";"....Death (Survivorship)";..;..;..;..;..;2211;3382;3005;2767;2680;2753;2805;3650;2748;3031;3508;..;3061;3664;3765;2908;4030;..;3520
"Average Monthly Pensions, GSIS (PhP)";"....Cash Gift";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Average Monthly Pensions, GSIS (PhP)";"..Employees Compensation";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1023;685;..;984;2551;..;1532
"Pension Disbursements (PhP Million)";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Pension Disbursements (PhP Million)";"..Social Security";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Pension Disbursements (PhP Million)";"....Retirement";..;..;..;..;..;12530;13950;17401;20478;21014;22134;22723;24810;29192;30532;32304;..;50985;62289;62375;63339;65307;71387;80700
"Pension Disbursements (PhP Million)";"....Disability";..;..;..;..;..;181;278;137;75;100;58;81;79;42;120;146;..;..;..;172;196;233;231;242
"Pension Disbursements (PhP Million)";"....Death (Survivorship)";..;..;..;..;..;1476;2493;2478;2348;2529;2733;2757;2834;2685;3183;3869;..;4129;4952;5658;5988;6630;7013;7570
"Pension Disbursements (PhP Million)";"....Cash Gift";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1905;2600;2089;2265;2455
"Pension Disbursements (PhP Million)";"..Employees Compensation";..;..;..;..;..;729;768;763;532;556;560;174;66;47;65;31;..;19;39;160;177;223;221;435
"Pensioners";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Pensioners";"..Social Security";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Pensioners";"....Retirement";..;..;..;..;..;104884;108098;119268;120105;130507;127973;139681;149271;178851;188485;198106;..;237255;241143;282074;282525;315845;321127;335779
"Pensioners";"....Disability";..;..;..;..;..;1677;2063;2645;2794;3015;3060;3114;3062;3354;3006;3262;..;..;..;3635;3685;4194;3915;4020
"Pensioners";"....Death (Survivorship)";..;..;..;..;..;55639;61435;68720;70702;78646;82717;81897;64700;81418;87520;91921;..;112430;112614;125227;130362;137091;148548;131406
"Pensioners";"....Cash Gift";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Pensioners";"..Employees Compensation";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1583;4724;..;11669;7286;7539;7826
