"Average Real Daily Basic Pay of Short-term, Seasonal or Casual workers by Sex, by Branch of Economic Activity and by Category of Employees (Household survey data)"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E7/0623K3F7040.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Average real daily basic pay of short-term, seasonal or casual workers, in 2012 PhP";"TOTAL";..;..;..;..;..;..;252.28;248.69;248.85;244.67;243.26;248.49;242.83;232.82;229.58;232.00;232.85;238.01;241.15;245.55;255.56;260.53;281.33;280.49
"Average real daily basic pay of short-term, seasonal or casual workers, in 2012 PhP";"..Men";..;..;..;..;..;..;259.15;254.73;257.12;252.70;254.69;259.42;254.39;243.56;239.80;242.44;241.29;248.35;250.94;255.79;264.38;270.63;290.08;292.37
"Average real daily basic pay of short-term, seasonal or casual workers, in 2012 PhP";"..Women";..;..;..;..;..;..;239.22;237.30;232.95;229.43;222.96;229.52;222.86;214.19;211.64;213.55;218.23;219.48;223.35;227.55;239.74;241.66;264.51;256.51
"Average real daily basic pay of short-term, seasonal or casual workers, in 2012 PhP";"..Agriculture";..;..;..;..;..;..;166.18;164.29;158.30;156.76;155.15;159.88;155.99;150.03;151.28;153.38;152.84;162.51;161.96;164.44;175.43;166.01;181.17;194.90
"Average real daily basic pay of short-term, seasonal or casual workers, in 2012 PhP";"..Industry";..;..;..;..;..;..;285.67;285.31;290.48;285.43;282.68;302.33;279.17;271.88;269.86;271.30;271.74;275.64;274.49;274.34;282.79;291.44;319.45;311.44
"Average real daily basic pay of short-term, seasonal or casual workers, in 2012 PhP";"..Services";..;..;..;..;..;..;275.45;271.81;272.91;265.76;254.95;253.03;259.70;245.97;242.84;245.22;248.54;248.21;254.00;258.49;269.36;277.26;278.88;283.58
"Average real daily basic pay of short-term, seasonal or casual workers, in 2012 PhP";"..Private Household";..;..;..;..;..;..;185.42;177.52;175.74;157.17;137.60;130.23;155.35;127.98;128.62;128.69;130.45;135.59;139.45;137.55;144.01;148.58;164.89;173.05
"Average real daily basic pay of short-term, seasonal or casual workers, in 2012 PhP";"..Private Establishment";..;..;..;..;..;..;252.50;249.57;250.03;245.63;247.45;257.04;248.81;241.89;236.84;240.00;240.10;244.98;247.65;252.74;261.99;268.09;291.16;287.38
"Average real daily basic pay of short-term, seasonal or casual workers, in 2012 PhP";"..Worked for Government/Government Corporation";..;..;..;..;..;..;352.78;350.16;349.13;330.05;331.09;324.21;311.65;276.26;287.99;282.14;286.95;298.40;303.01;315.76;321.33;317.78;308.32;320.71
"Average real daily basic pay of short-term, seasonal or casual workers, in 2012 PhP";"..With Pay in Own Family-Operated Farm or Business";..;..;..;..;..;..;218.35;216.55;189.32;195.42;191.18;180.93;160.78;185.45;196.27;174.60;184.56;161.87;161.99;165.83;174.63;156.79;204.47;232.03
"Average daily basic pay of short-term, seasonal or casual workers (PhP)";"TOTAL";..;..;..;..;..;..;156.68;158.66;162.36;167.28;177.29;191.00;192.14;199.30;204.80;214.79;225.75;238.01;247.42;261.02;273.45;282.41;313.68;329.01
"Average daily basic pay of short-term, seasonal or casual workers (PhP)";"..Men";..;..;..;..;..;..;160.95;162.51;167.76;172.77;185.62;199.40;201.29;208.49;213.92;224.46;233.93;248.35;257.46;271.91;282.89;293.36;323.44;342.94
"Average daily basic pay of short-term, seasonal or casual workers (PhP)";"..Women";..;..;..;..;..;..;148.57;151.39;151.99;156.86;162.49;176.42;176.34;183.35;188.80;197.71;211.58;219.48;229.16;241.89;256.52;261.96;294.93;300.89
"Average daily basic pay of short-term, seasonal or casual workers (PhP)";"..Agriculture";..;..;..;..;..;..;103.21;104.81;103.28;107.18;113.07;122.89;123.43;128.43;134.95;142.00;148.18;162.51;166.17;174.80;187.71;179.96;202.00;228.62
"Average daily basic pay of short-term, seasonal or casual workers (PhP)";"..Industry";..;..;..;..;..;..;177.42;182.02;189.52;195.15;206.02;232.38;220.89;232.73;240.73;251.18;263.45;275.64;281.63;291.62;302.58;315.92;356.19;365.31
"Average daily basic pay of short-term, seasonal or casual workers (PhP)";"..Services";..;..;..;..;..;..;171.07;173.41;178.06;181.70;185.81;194.49;205.49;210.55;216.63;227.03;240.96;248.21;260.60;274.77;288.21;300.55;310.95;332.64
"Average daily basic pay of short-term, seasonal or casual workers (PhP)";"..Private Household";..;..;..;..;..;..;115.16;113.25;114.66;107.46;100.28;100.10;122.92;109.55;114.74;119.14;126.47;135.59;143.08;146.22;154.09;161.06;183.85;202.98
"Average daily basic pay of short-term, seasonal or casual workers (PhP)";"..Private Establishment";..;..;..;..;..;..;156.82;159.22;163.13;167.94;180.34;197.57;196.87;207.06;211.28;222.20;232.78;244.98;254.09;268.66;280.33;290.61;324.64;337.09
"Average daily basic pay of short-term, seasonal or casual workers (PhP)";"..Worked for Government/Government Corporation";..;..;..;..;..;..;219.10;223.39;227.79;225.66;241.30;249.20;246.59;236.48;256.91;261.21;278.20;298.40;310.89;335.65;343.82;344.47;343.78;376.19
"Average daily basic pay of short-term, seasonal or casual workers (PhP)";"..With Pay in Own Family-Operated Farm or Business";..;..;..;..;..;..;135.61;138.15;123.52;133.61;139.33;139.07;127.22;158.75;175.09;161.65;178.93;161.87;166.20;176.28;186.85;169.96;227.98;272.17
