"Average Days Lost Due to Temporary Incapacity Cases"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Average Days Lost Due to Temporary Incapacity Cases";"TOTAL";..;..;..;..;..;7.8;..;15.1;6.8;..;..;..;6.9;..;7.0;..;8.4;..;5.4;..;6.5;..;..
"Average Days Lost Due to Temporary Incapacity Cases";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;5.4;..;4.7;..;5.8;..;..
"Average Days Lost Due to Temporary Incapacity Cases";"..Industry";..;..;..;..;..;7.5;..;17.0;6.3;..;..;..;7.3;..;7.3;..;8.7;..;5.3;..;6.5;..;..
"Average Days Lost Due to Temporary Incapacity Cases";"..Services";..;..;..;..;..;8.8;..;9.1;8.1;..;..;..;6.0;..;6.3;..;8.8;..;5.9;..;6.7;..;..
"Total Days Lost of Temporary Incapacity Cases";"TOTAL";..;..;..;..;..;202902;..;318532;156019;..;..;..;139191;..;121683;..;168830;..;109761;..;112564;..;..
"Total Days Lost of Temporary Incapacity Cases";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;13431;..;12776;..;9971;..;..
"Total Days Lost of Temporary Incapacity Cases";"..Industry";..;..;..;..;..;153406;..;270621;101805;..;..;..;101489;..;82052;..;100656;..;59965;..;63435;..;..
"Total Days Lost of Temporary Incapacity Cases";"..Services";..;..;..;..;..;49496;..;47911;54213;..;..;..;37702;..;39632;..;54746;..;37020;..;39157;..;..
"Total Cases of Temporary Incapacity";"TOTAL";..;..;..;..;..;26110;..;21156;22964;..;..;..;20109;..;17447;..;20185;..;20257;..;17346;..;..
"Total Cases of Temporary Incapacity";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2467;..;2741;..;1731;..;..
"Total Cases of Temporary Incapacity";"..Industry";..;..;..;..;..;20478;..;15899;16242;..;..;..;13870;..;11167;..;11511;..;11213;..;9764;..;..
"Total Cases of Temporary Incapacity";"..Services";..;..;..;..;..;5629;..;5256;6723;..;..;..;6237;..;6279;..;6208;..;6303;..;5851;..;..
