"Average Weekly Hours Actually Worked per Employed Person by Sex, Branch of Economic Activity and Class of Worker"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E4/0473K3E4070.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Average weekly hours actually worked in all jobs per employed person by sex, branch of economic activity and class of worker";"TOTAL";..;..;..;..;..;..;..;..;..;..;42.80;42.20;42.50;42.90;42.30;42.80;42.20;42.20;42.70;41.80;42.00;43.20;42.20;42.91
"Average weekly hours actually worked in all jobs per employed person by sex, branch of economic activity and class of worker";"..Men";..;..;..;..;..;..;..;..;..;..;42.80;42.10;42.40;42.70;42.10;42.60;42.20;42.20;42.70;41.80;42.00;43.30;42.00;43.03
"Average weekly hours actually worked in all jobs per employed person by sex, branch of economic activity and class of worker";"..Women";..;..;..;..;..;..;..;..;..;..;42.80;42.40;42.70;43.10;42.60;43.00;42.40;42.30;42.80;41.90;41.90;43.00;42.40;42.73
"Average weekly hours actually worked in all jobs per employed person by sex, branch of economic activity and class of worker";"..Agriculture";..;..;..;..;..;..;..;..;..;..;34.70;33.80;34.20;34.20;33.40;33.80;33.30;33.50;33.60;32.30;32.40;33.70;31.90;33.54
"Average weekly hours actually worked in all jobs per employed person by sex, branch of economic activity and class of worker";"..Industry";..;..;..;..;..;..;..;..;..;..;44.60;43.80;44.10;44.70;43.80;44.70;44.30;43.90;44.90;44.00;44.00;45.50;44.30;45.23
"Average weekly hours actually worked in all jobs per employed person by sex, branch of economic activity and class of worker";"..Services";..;..;..;..;..;..;..;..;..;..;48.20;47.90;47.90;48.50;47.80;47.90;47.30;47.10;47.40;46.60;46.40;47.10;46.10;46.15
"Average weekly hours actually worked in all jobs per employed person by sex, branch of economic activity and class of worker";"..Wage and Salary Workers";..;..;..;..;..;..;..;..;..;..;45.70;45.00;45.10;45.40;44.90;45.10;44.70;44.30;44.70;44.00;44.00;44.90;43.90;44.36
"Average weekly hours actually worked in all jobs per employed person by sex, branch of economic activity and class of worker";"..Employers";..;..;..;..;..;..;..;..;..;..;42.20;41.40;42.10;41.20;41.20;41.40;41.20;40.90;41.00;39.30;39.40;41.00;39.60;39.60
"Average weekly hours actually worked in all jobs per employed person by sex, branch of economic activity and class of worker";"..Self-Employed";..;..;..;..;..;..;..;..;..;..;42.10;41.70;42.20;42.90;42.20;42.70;42.10;42.40;42.80;41.90;41.80;42.90;41.40;42.71
"Average weekly hours actually worked in all jobs per employed person by sex, branch of economic activity and class of worker";"..Unpaid Family Workers";..;..;..;..;..;..;..;..;..;..;32.80;32.20;32.20;32.60;31.70;32.40;31.10;31.90;32.10;30.70;31.00;32.10;29.00;29.60
