"Total Employment of Establishments with 20 or More Workers by Basis of Payment and Region: August 2022"

"REGION";"2022 Time-rated Workers";"2022 ..Full-time Workers";"2022 ....Full-time_Hourly";"2022 ....Full-time_Daily";"2022 ....Full-time_Monthly";"2022 ..Part-time Workers";"2022 Commission Workers";"2022 Output-rated Workers"
"PHILIPPINES";5275491;5198177;228172;1972792;2997213;77314;15813;54949
"..National Capital Region";2272625;2252128;64474;667203;1520451;20497;3613;5535
"..Cordillera Administrative Region";79847;75718;5345;26013;44360;4129;181;716
"..Region I - Ilocos Region";86896;83627;3372;26486;53768;3269;115;1004
"..Region II - Cagayan Valley";65196;64025;385;15232;48407;1172;577;2363
"..Region III - Central Luzon";437862;429449;17909;192165;219375;8413;654;3482
"..Region IV-A - CALABARZON";592928;585515;30164;298406;256945;7413;1600;2648
"..MIMAROPA Region";45672;45047;1318;16160;27568;626;12;719
"..Region V - Bicol Region";85537;82066;5104;30999;45964;3471;268;1581
"..Region VI - Western Visayas";227253;219114;19975;79215;119924;8140;1204;12544
"..Region VII - Central Visayas";579557;573292;40672;232204;300416;6266;1093;2346
"..Region VIII - Eastern Visayas";66014;64342;1100;34124;29119;1672;846;1966
"..Region IX - Zamboanga Peninsula";75614;73028;2368;30146;40514;2586;1649;519
"..Region X - Northern Mindanao";173149;170359;6371;82896;81092;2790;580;2317
"..Region XI - Davao Region";242459;239579;15731;120611;103237;2880;1987;5901
"..Region XII - SOCCSKSARGEN";151461;149760;11456;76317;61987;1701;868;7622
"..Region XIII - CARAGA";78692;76665;2310;41341;33014;2028;443;3685
"..Bangsamoro Autonomous Region in Muslim Mindanao";14727;14464;118;3274;11072;263;122;0
