"Total Employment of Establishments with 20 or More Workers by Basis of Payment, Sex and Major Industry Group, Philippines: June 2014 to August 2022"

"Sex";"Major Industry Group";"2014 Time-rated Workers";"2014 ..Full-time Workers";"2014 ....Full-time_Hourly";"2014 ....Full-time_Daily";"2014 ....Full-time_Monthly";"2014 ..Part-time Workers";"2014 Commission Workers";"2014 Output-rated Workers";"2016 Time-rated Workers";"2016 ..Full-time Workers";"2016 ....Full-time_Hourly";"2016 ....Full-time_Daily";"2016 ....Full-time_Monthly";"2016 ..Part-time Workers";"2016 Commission Workers";"2016 Output-rated Workers";"2018 Time-rated Workers";"2018 ..Full-time Workers";"2018 ....Full-time_Hourly";"2018 ....Full-time_Daily";"2018 ....Full-time_Monthly";"2018 ..Part-time Workers";"2018 Commission Workers";"2018 Output-rated Workers";"2020 Time-rated Workers";"2020 ..Full-time Workers";"2020 ....Full-time_Hourly";"2020 ....Full-time_Daily";"2020 ....Full-time_Monthly";"2020 ..Part-time Workers";"2020 Commission Workers";"2020 Output-rated Workers";"2022 Time-rated Workers";"2022 ..Full-time Workers";"2022 ....Full-time_Hourly";"2022 ....Full-time_Daily";"2022 ....Full-time_Monthly";"2022 ..Part-time Workers";"2022 Commission Workers";"2022 Output-rated Workers"
"Both Sexes";"ALL INDUSTRIES";4212609;4103971;154325;1857439;2092207;108639;235882;146457;4250612;4156272;163808;1763552;2228912;94340;67670;96650;4982010;4908609;235511;1887119;2785979;73400;12122;65971;5226151;5184508;233592;2031433;2919483;41643;5963;59798;5275491;5198177;228172;1972792;2997213;77314;15813;54949
"Both Sexes";"..Agriculture, Forestry and Fishing";167988;159731;2259;109346;48126;8257;11393;59103;123733;121362;3296;84430;33636;2371;1328;29592;128013;123976;5158;77717;41101;4037;1606;23908;137863;136616;4206;93043;39366;1247;522;14918;125606;123485;3129;79213;41143;2121;2067;10473
"Both Sexes";"..Mining and Quarrying";37674;37588;1418;23811;12359;86;531;2236;29969;29921;0;17765;12155;49;162;534;33168;32905;412;19815;12678;263;0;342;41367;41367;1258;18207;21902;0;0;41;35191;34896;226;16826;17843;294;21;64
"Both Sexes";"..Manufacturing";941279;935359;18128;619676;297555;5920;15381;50262;951011;930257;24725;598068;307464;20754;8117;37668;1054001;1050431;35155;651302;363973;3571;596;22537;981228;980505;26106;608965;345433;724;1671;23727;1029606;1022791;46694;586397;389700;6815;2163;22349
"Both Sexes";"..Electricity, Gas, Steam and Air Conditioning Supply";68146;68030;477;5666;61887;117;649;291;40514;40347;45;3241;37061;167;4;814;61734;61622;597;2967;58057;112;6;299;44799;44755;72;4696;39987;44;90;272;52589;52272;157;3620;48496;316;78;416
"Both Sexes";"..Water Supply; Sewerage, Waste Management and Remediation Activities";30163;29525;663;8329;20533;638;64;750;29845;28888;42;6773;22073;957;53;681;32460;32268;662;8561;23046;192;110;659;30519;30445;778;8181;21485;74;226;341;34559;34373;398;9447;24527;185;0;472
"Both Sexes";"..Construction";182051;181514;6795;121453;53267;537;345;5493;239317;237488;5190;172031;60266;1829;352;3352;281463;279029;6200;164438;108392;2434;681;1963;280659;279682;3841;185476;90365;977;5;3162;263131;258915;8497;168037;82380;4217;305;2621
"Both Sexes";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";563732;562260;25652;298641;237967;1473;32955;4388;548924;545751;4954;280138;260659;3173;27991;3901;592685;590612;13229;256131;321251;2074;1406;2935;753219;751308;13026;385019;353263;1911;1021;5538;636478;632477;12749;290419;329308;4002;2321;3768
"Both Sexes";"..Transportation and Storage";120492;119736;1294;45867;72575;756;22291;10444;151210;148864;737;56832;91296;2346;10225;5875;154275;153643;1853;47319;104471;633;4020;2121;147212;146351;760;56478;89113;861;1322;2711;169589;168722;1733;53927;113062;867;3007;2633
"Both Sexes";"..Accommodation and Food Service Activities";246262;207712;28228;94253;85231;38550;4022;172;211993;196785;39086;85541;72158;15208;2335;476;237267;220865;35210;80069;105587;16402;196;323;184844;172063;30425;65541;76098;12781;22;444;209563;185894;36848;67630;81416;23670;202;481
"Both Sexes";"..Information and Communication";134636;134018;1082;15433;117503;618;2405;777;115088;113237;2992;18988;91257;1851;2398;940;141576;139274;2994;16473;119808;2302;32;246;139204;138884;4815;20003;114066;320;0;866;138508;136995;787;16502;119706;1513;1228;310
"Both Sexes";"..Financial and Insurance Activities";225338;224207;0;17093;207114;1131;47333;2518;239813;239444;42;11056;228345;369;5439;2623;298151;297771;735;26439;270598;380;5;2878;373810;373479;786;35313;337380;331;227;26;378665;377723;299;87844;289580;943;1677;491
"Both Sexes";"..Real Estate Activities";38549;38513;1316;5530;31668;36;3971;272;42354;42106;0;4735;37371;248;1924;2232;52583;52035;0;7808;44227;548;70;0;59687;59687;344;14759;44584;0;20;12;65031;64137;460;8876;54801;894;368;0
"Both Sexes";"..Professional, Scientific and Technical Activities";90577;90047;233;18663;71150;530;7237;2558;106281;105350;452;21659;83239;930;1508;1698;97977;97861;1695;15720;80447;116;0;2214;103639;103276;305;22449;80522;363;0;115;97032;95169;1115;12930;81124;1863;0;126
"Both Sexes";"..Administrative and Support Services Activities";907228;897830;49823;386079;461929;9398;82452;6651;961011;957592;69750;329666;558176;3419;2604;5489;1306570;1298415;116287;446593;735535;8155;2325;5223;1440923;1438433;133856;437013;867564;2490;549;6588;1542942;1540336;103050;497609;939677;2605;1547;8864
"Both Sexes";"..Education except Public Education";300052;261326;15476;37336;208513;38726;620;346;266877;229866;11472;15662;202732;37012;830;289;290435;260950;12513;13189;235248;29485;92;167;274587;257517;10459;18755;228303;17070;288;384;265213;240423;8451;14873;217099;24790;196;1134
"Both Sexes";"..Human Health and Social Work Activities except Public Health Activities";105826;104242;1473;30871;71898;1584;180;29;133074;130220;1016;40329;88876;2854;601;265;156075;154034;2318;37745;113972;2041;76;28;175917;174575;1713;42299;130563;1342;0;78;182173;180215;2962;46325;130928;1958;132;532
"Both Sexes";"..Arts, Entertainment and Recreation";30776;30668;7;9042;21619;108;35;0;46493;45918;10;11190;34718;575;110;78;48820;48295;207;9857;38231;525;0;0;44985;44092;841;9321;33930;893;0;236;38179;38031;502;6772;30757;148;6;78
"Both Sexes";"..Other Service Activities except Activities of Membership Organizations";21838;21665;0;10351;11314;173;4017;166;13105;12877;0;5449;7428;228;1687;143;14755;14622;288;4975;9359;133;899;127;11688;11474;0;5915;5558;214;0;336;11437;11324;115;5543;5666;113;495;138
"Female";"ALL INDUSTRIES";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2284311;2264414;102688;770031;1391695;19897;1094;21108;2252651;2218788;107595;695319;1415875;33863;4042;19170
"Female";"..Agriculture, Forestry and Fishing";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;26253;25616;498;15152;9965;636;11;5552;25375;25051;789;14703;9559;324;335;3009
"Female";"..Mining and Quarrying";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5291;5291;29;946;4316;0;0;0;4439;4396;25;1116;3255;42;11;0
"Female";"..Manufacturing";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;452513;452190;11027;291840;149323;324;209;11767;463715;461368;21737;280205;159426;2347;177;9092
"Female";"..Electricity, Gas, Steam and Air Conditioning Supply";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;10107;10098;13;822;9263;9;0;31;11310;11305;48;556;10702;5;28;68
"Female";"..Water Supply; Sewerage, Waste Management and Remediation Activities";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;7564;7564;104;1388;6073;0;89;7;8048;8039;25;1148;6867;9;0;24
"Female";"..Construction";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;24286;24279;260;7238;16781;7;0;121;26267;25752;481;6747;18524;516;0;136
"Female";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;375618;374709;6696;212403;155610;909;362;743;266162;264745;5252;116798;142694;1417;852;911
"Female";"..Transportation and Storage";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;29667;29665;81;8318;21267;1;12;83;43739;43698;300;8757;34641;40;48;314
"Female";"..Accommodation and Food Service Activities";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;77664;70615;14302;22580;33732;7049;22;147;93036;80705;17610;28762;34333;12331;64;290
"Female";"..Information and Communication";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;62524;62445;2259;8050;52136;80;0;357;53538;52904;388;6031;46484;634;617;99
"Female";"..Financial and Insurance Activities";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;210092;209910;67;14553;195290;182;22;0;216407;215916;110;41246;174559;492;829;296
"Female";"..Real Estate Activities";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;27095;27095;207;3337;23551;0;0;0;28717;28659;201;2560;25898;58;143;0
"Female";"..Professional, Scientific and Technical Activities";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;49733;49733;160;8191;41383;0;0;25;47330;46041;419;3884;41738;1290;0;0
"Female";"..Administrative and Support Services Activities";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;618512;617228;60112;132971;424145;1284;271;1759;662860;662028;53081;137694;471253;832;480;3816
"Female";"..Education except Public Education";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;168427;160160;5347;11035;143779;8266;97;295;160074;147736;4913;8704;134118;12339;122;734
"Female";"..Human Health and Social Work Activities except Public Health Activities";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;115035;114263;1158;26517;86589;772;0;42;120806;119709;2056;31133;86521;1097;87;273
"Female";"..Arts, Entertainment and Recreation";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;19006;18628;368;2776;15484;378;0;26;16105;16053;93;2607;13353;52;0;33
"Female";"..Other Service Activities except Activities of Membership Organizations";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4924;4924;0;1915;3009;0;0;153;4723;4685;67;2669;1948;39;250;76
