"Number of Live Births by Place of Occurrence, Month of Occurrence and Sex: 2016"

"Place of Occurrence";"Total Male";"Total Female";"Jan Male";"Jan Female";"Feb Male";"Feb Female";"Mar Male";"Mar Female";"Apr Male";"Apr Female";"May Male";"May Female";"Jun Male";"Jun Female";"Jul Male";"Jul Female";"Aug Male";"Aug Female";"Sep Male";"Sep Female";"Oct Male";"Oct Female";"Nov Male";"Nov Female";"Dec Male";"Dec Female"
"PHILIPPINES";903694;827595;79070;72333;64046;59330;67299;61278;70852;64376;73806;67643;70612;64549;73767;67729;77306;70539;85975;78063;84120;77460;80018;73507;76823;70788
"National Capital Region (NCR)";125512;115549;10581;9872;8367;7812;8962;8264;9469;8745;10068;9349;9591;8766;10269;9475;11162;10323;12538;11358;12013;11143;11608;10455;10884;9987
"..City of Manila";30844;28216;2621;2420;2108;1853;2214;2039;2390;2135;2367;2228;2268;2188;2446;2368;2769;2510;3151;2808;2898;2722;2887;2574;2725;2371
"..City of Mandaluyong";2980;2629;239;252;194;176;212;183;205;197;219;215;247;212;274;227;271;229;290;250;309;246;280;221;240;221
"..City of Marikina";5143;4740;464;437;377;339;349;348;366;376;345;325;347;314;437;389;458;406;559;463;528;461;471;438;442;444
"..City of Pasig";8978;8167;803;693;548;530;616;612;700;640;732;701;656;586;748;654;835;761;875;816;850;792;830;686;785;696
"..Quezon City";30615;28108;2536;2325;2021;1965;2213;2027;2317;2087;2577;2277;2376;2249;2469;2238;2729;2611;3014;2733;2848;2612;2797;2541;2718;2443
"..City of San Juan";1226;1130;121;109;74;68;91;84;86;102;98;94;98;92;105;85;108;116;131;102;99;101;101;89;114;88
"..Caloocan City";11122;10076;951;877;692;712;828;735;823;758;900;791;920;733;992;841;833;747;1064;1012;1120;1037;1029;942;970;891
"..City of Malabon";1892;1729;156;147;113;107;132;107;145;139;136;134;152;121;174;170;174;161;205;157;202;198;165;162;138;126
"..City of Navotas";1558;1441;117;125;74;73;98;112;111;109;130;108;128;113;95;113;145;118;168;142;168;138;182;150;142;140
"..City of Valenzuela";4472;4266;363;330;292;267;331;286;353;323;364;382;352;335;363;344;448;409;465;438;431;399;399;422;311;331
"..City of Las Piñas";5013;4721;445;429;346;310;344;340;373;354;432;416;367;336;424;358;462;405;468;479;473;455;482;421;397;418
"..City of Makati";3638;3308;259;251;317;285;266;246;283;253;342;297;277;255;290;267;283;276;311;307;338;293;342;275;330;303
"..City of Muntinlupa";3995;3707;343;321;300;280;273;268;327;290;324;295;281;254;305;334;389;313;411;363;372;341;358;317;312;331
"..City of Parañaque";4007;3812;327;339;255;247;271;221;277;282;351;263;309;289;336;325;323;347;425;360;391;422;378;371;364;346
"..Pasay City";3219;3017;287;256;201;206;244;236;225;237;232;267;279;212;266;237;301;305;301;274;323;262;286;277;274;248
"..Pateros";442;456;24;24;22;20;29;32;23;32;24;28;30;35;35;36;49;63;58;49;56;49;48;40;44;48
"..Taguig City";6368;6026;525;537;433;374;451;388;465;431;495;528;504;442;510;489;585;546;642;605;607;615;573;529;578;542
"Cordillera Administrative Region (Car)";16435;15344;1450;1297;1178;1172;1286;1241;1352;1196;1323;1185;1296;1248;1420;1291;1443;1338;1588;1474;1472;1375;1468;1434;1159;1093
"..Abra";2514;2300;176;151;146;125;165;196;215;171;177;165;219;212;240;175;202;204;237;197;232;243;248;229;257;232
"..Benguet";7563;7109;683;613;562;580;663;589;634;601;679;571;613;576;649;640;658;624;706;684;699;620;680;690;337;321
"..Ifugao";1539;1507;135;146;108;132;113;121;129;97;122;106;104;129;122;114;146;128;151;149;135;124;137;134;137;127
"..Kalinga";1884;1739;189;148;129;137;125;142;149;116;122;125;124;98;158;133;173;170;214;181;166;178;170;148;165;163
"..Mountain Province";1697;1520;141;115;143;111;124;130;125;134;129;131;134;137;145;125;173;125;168;147;130;112;118;113;167;140
"..Apayao";1238;1169;126;124;90;87;96;63;100;77;94;87;102;96;106;104;91;87;112;116;110;98;115;120;96;110
"Region I (Ilocos Region)";42427;38735;3539;3345;2849;2679;2920;2667;3007;2748;3150;3001;3179;2803;3339;2988;3998;3415;4402;4058;4116;3848;3986;3523;3942;3660
"..Ilocos Norte";4067;3910;305;321;310;264;270;259;275;266;320;299;281;296;339;300;410;354;401;426;393;381;407;354;356;390
"..Ilocos Sur";5006;4555;461;394;344;316;343;304;361;326;373;367;392;346;380;333;471;402;485;460;472;462;444;419;480;426
