"Live Births Which Occurred Abroad by Nationality of Father and Nationality of Mother: 2016"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__VS__BI/2111A1BVBB0.PX/table/tableViewLayout1/?rxid=dff4ec13-2b60-4784-8315-808f2bb277b3"
"Nationality of Father";"Total";"Filipino";"American";"Chinese";"Japanese";"Indonesian";"Australian";"Spaniard";"Korean";"Thai";"Others";"Not Stated"
"Total";16866;16711;22;22;20;9;9;7;7;6;52;1
"Filipino";13747;13604;22;22;15;9;9;6;7;5;47;1
"American";354;349;0;0;5;0;0;0;0;0;0;0
"Indian";193;193;0;0;0;0;0;0;0;0;0;0
"Japanese";155;155;0;0;0;0;0;0;0;0;0;0
"Korean";153;152;0;0;0;0;0;1;0;0;0;0
"British";126;125;0;0;0;0;0;0;0;1;0;0
"Pakistani";124;124;0;0;0;0;0;0;0;0;0;0
"Egyptian";116;116;0;0;0;0;0;0;0;0;0;0
"Syrian";90;89;0;0;0;0;0;0;0;0;1;0
"Not Applicable";648;647;0;0;0;0;0;0;0;0;1;0
"Not Stated";4;4;0;0;0;0;0;0;0;0;0;0
"Others";1156;1153;0;0;0;0;0;0;0;0;3;0
