"Live Births Which Occurred Abroad to Filipino Mother by Age Group of Mother and Live Birth Order: 2016"

"Age Group of Mother";"Total";"1st";"2nd";"3rd";"4th";"5th";"6th";"7th";"8th";"9th";"10th & Over"
"Total";16866;7871;5871;2303;589;160;48;14;7;1;2
"Under 20";83;74;8;0;1;0;0;0;0;0;0
"20-24";658;463;167;24;4;0;0;0;0;0;0
"25-29";3693;2415;1000;222;47;4;4;0;0;0;1
"30-34";6809;3281;2525;796;167;28;10;2;0;0;0
"35-39";4478;1331;1816;964;259;80;17;4;5;1;1
"40-44";1032;270;327;267;100;42;16;8;2;0;0
"45-49";71;15;20;19;11;5;1;0;0;0;0
"50 and Over";15;5;2;7;0;1;0;0;0;0;0
"Not Stated";27;17;6;4;0;0;0;0;0;0;0
