"Cases of Occupational Diseases in Establishments Employing 20 or more Workers by Region and Type of Disease, Philippines:2021"

"Region";"2021 Total";"2021 ..Occupational Dermatitis";"2021 ..Occupational Asthma";"2021 ..Occupational Kidney Disease Caused by Heavy Metals or Organic Solvents";"2021 ..Other Diseases Caused by Chemicals";"2021 ..Heat Stroke, Cramps, Exhaustion";"2021 ..Chilblain, Frostbite, Freezing";"2021 ..Deafness";"2021 ..Tuberculosis";"2021 ..Work-Related COVID-19 infection";"2021 ..Occupational Lung Diseases";"2021 ..Other Infections";"2021 ..Cataract";"2021 ..Cardiovascular Diseases";"2021 ..Carpal Tunnel Syndrome";"2021 ..Shoulder tendinitis";"2021 ..Neck-shoulder Pain";"2021 ..Back Pain";"2021 ..Other Work-Related Musculoskeletal Diseases";"2021 ..Work-Related Mental Health Condition";"2021 ..Other Diseases"
"PHILIPPINES";132710;3319;1121;103;222;327;101;106;2185;79620;910;1118;90;2511;3126;2232;6967;25439;780;1598;834
"..National Capital Region";69716;1226;236;33;17;65;9;26;900;46173;624;434;41;1963;1070;300;1673;13450;14;1408;54
"..Cordillera Administrative Region";2324;25;4;0;0;3;0;16;32;1808;0;60;0;1;7;20;55;163;78;51;0
"..Region I - Ilocos Region";1321;0;4;2;2;0;0;0;3;875;1;0;1;0;2;2;114;314;0;0;0
"..Region II - Cagayan Valley";1446;2;4;0;0;0;0;0;1;1290;0;5;4;3;19;0;38;72;6;0;0
"..Region III - Central Luzon";9906;206;175;3;7;24;7;1;139;7243;4;21;15;136;144;172;317;1186;37;9;58
"..Region IV-A - CALABARZON";19796;406;183;2;2;40;3;10;298;10034;13;10;0;67;792;768;2023;4453;642;10;39
"..MIMAROPA Region";3412;3;0;3;0;6;0;0;1;876;0;0;0;15;79;97;960;1373;0;0;0
"..Region V - Bicol";1931;40;32;0;0;4;0;0;44;427;0;0;0;63;358;26;152;563;0;0;222
"..Region VI - Western Visayas";4510;626;105;2;0;19;6;7;425;2299;72;10;1;66;52;69;327;354;0;5;64
"..Region VII - Central Visayas";3568;138;101;15;125;59;44;0;69;1461;12;437;3;82;237;134;105;325;0;30;189
"..Region VIII - Eastern Visayas";715;12;5;0;0;0;0;0;9;486;0;1;0;1;0;6;31;158;0;5;0
"..Region IX - Zamboanga Peninsula";1793;18;87;18;6;41;31;6;28;1053;17;43;7;0;10;79;132;188;0;27;0
"..Region X - Northern Mindanao";4909;115;78;9;33;27;0;15;62;2243;14;3;5;32;300;332;381;1215;2;43;1
"..Region XI - Davao Region";3461;83;23;0;0;26;0;1;70;1335;7;10;3;30;14;190;594;1071;1;3;0
"..Region XII - SOCCSKSARGEN";2626;415;76;15;28;12;1;25;86;1214;145;49;10;52;7;12;30;444;0;3;0
"..Region XIII - Caraga";1205;2;8;0;1;1;0;0;16;728;2;34;0;0;33;25;35;110;0;3;206
"..Bangsamoro Autonomous Region in Muslim Mindanao";73;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0
