"Cases of Occupational Diseases in Establishments Employing 20 or more Workers by Industry Group and Type of Disease, Philippines: 2013-2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OID/5501B3GI100.px/table/tableViewLayout1/?rxid=6c884b7d-8541-43da-b80e-9f99195fb610"
"Major Industry Group";"2013 Total";"2013 ..Occupational Dermatitis";"2013 ..Occupational Asthma";"2013 ..Acute Poisonings";"2013 ..Occupational Kidney Disease Caused by Heavy Metals or Organic Solvents";"2013 ..Other Diseases Caused by Chemicals";"2013 ..Heat Stroke, Cramps, Exhaustion";"2013 ..Chilblain, Frostbite, Freezing";"2013 ..Deafness";"2013 ..Tuberculosis";"2013 ..Work-Related COVID-19 infection";"2013 ..Occupational Lung Diseases";"2013 ..Other Infections";"2013 ..Cataract";"2013 ..Cardio-vascular Diseases";"2013 ..Essential hypertension";"2013 ..Peptic Ulcer";"2013 ..Carpal Tunnel Syndrome";"2013 ..Shoulder tendinitis";"2013 ..Neck-shoulder Pain";"2013 ..Back Pain";"2013 ..Other Work-Related Musculoskeletal Diseases";"2013 ..Work-Related Mental Health Condition";"2013 ..Other Diseases";"2015 Total";"2015 ..Occupational Dermatitis";"2015 ..Occupational Asthma";"2015 ..Acute Poisonings";"2015 ..Occupational Kidney Disease Caused by Heavy Metals or Organic Solvents";"2015 ..Other Diseases Caused by Chemicals";"2015 ..Heat Stroke, Cramps, Exhaustion";"2015 ..Chilblain, Frostbite, Freezing";"2015 ..Deafness";"2015 ..Tuberculosis";"2015 ..Work-Related COVID-19 infection";"2015 ..Occupational Lung Diseases";"2015 ..Other Infections";"2015 ..Cataract";"2015 ..Cardio-vascular Diseases";"2015 ..Essential hypertension";"2015 ..Peptic Ulcer";"2015 ..Carpal Tunnel Syndrome";"2015 ..Shoulder tendinitis";"2015 ..Neck-shoulder Pain";"2015 ..Back Pain";"2015 ..Other Work-Related Musculoskeletal Diseases";"2015 ..Work-Related Mental Health Condition";"2015 ..Other Diseases";"2017 Total";"2017 ..Occupational Dermatitis";"2017 ..Occupational Asthma";"2017 ..Acute Poisonings";"2017 ..Occupational Kidney Disease Caused by Heavy Metals or Organic Solvents";"2017 ..Other Diseases Caused by Chemicals";"2017 ..Heat Stroke, Cramps, Exhaustion";"2017 ..Chilblain, Frostbite, Freezing";"2017 ..Deafness";"2017 ..Tuberculosis";"2017 ..Work-Related COVID-19 infection";"2017 ..Occupational Lung Diseases";"2017 ..Other Infections";"2017 ..Cataract";"2017 ..Cardio-vascular Diseases";"2017 ..Essential hypertension";"2017 ..Peptic Ulcer";"2017 ..Carpal Tunnel Syndrome";"2017 ..Shoulder tendinitis";"2017 ..Neck-shoulder Pain";"2017 ..Back Pain";"2017 ..Other Work-Related Musculoskeletal Diseases";"2017 ..Work-Related Mental Health Condition";"2017 ..Other Diseases";"2019 Total";"2019 ..Occupational Dermatitis";"2019 ..Occupational Asthma";"2019 ..Acute Poisonings";"2019 ..Occupational Kidney Disease Caused by Heavy Metals or Organic Solvents";"2019 ..Other Diseases Caused by Chemicals";"2019 ..Heat Stroke, Cramps, Exhaustion";"2019 ..Chilblain, Frostbite, Freezing";"2019 ..Deafness";"2019 ..Tuberculosis";"2019 ..Work-Related COVID-19 infection";"2019 ..Occupational Lung Diseases";"2019 ..Other Infections";"2019 ..Cataract";"2019 ..Cardio-vascular Diseases";"2019 ..Essential hypertension";"2019 ..Peptic Ulcer";"2019 ..Carpal Tunnel Syndrome";"2019 ..Shoulder tendinitis";"2019 ..Neck-shoulder Pain";"2019 ..Back Pain";"2019 ..Other Work-Related Musculoskeletal Diseases";"2019 ..Work-Related Mental Health Condition";"2019 ..Other Diseases";"2021 Total";"2021 ..Occupational Dermatitis";"2021 ..Occupational Asthma";"2021 ..Acute Poisonings";"2021 ..Occupational Kidney Disease Caused by Heavy Metals or Organic Solvents";"2021 ..Other Diseases Caused by Chemicals";"2021 ..Heat Stroke, Cramps, Exhaustion";"2021 ..Chilblain, Frostbite, Freezing";"2021 ..Deafness";"2021 ..Tuberculosis";"2021 ..Work-Related COVID-19 infection";"2021 ..Occupational Lung Diseases";"2021 ..Other Infections";"2021 ..Cataract";"2021 ..Cardio-vascular Diseases";"2021 ..Essential hypertension";"2021 ..Peptic Ulcer";"2021 ..Carpal Tunnel Syndrome";"2021 ..Shoulder tendinitis";"2021 ..Neck-shoulder Pain";"2021 ..Back Pain";"2021 ..Other Work-Related Musculoskeletal Diseases";"2021 ..Work-Related Mental Health Condition";"2021 ..Other Diseases"
"ALL INDUSTRIES";171787;9381;8914;125;.;.;1792;268;296;3670;.;.;6395;218;1679;19382;19434;6098;4758;18255;54244;6099;.;10779;125973;6196;8363;.;190;666;1078;321;309;3320;.;6602;3559;309;1567;14539;.;7020;6305;14392;41335;9664;.;239;101851;5349;5506;.;351;2570;1309;253;596;3466;.;1309;5394;313;987;15806;.;1982;3244;11576;31903;5188;.;4748;54551;5112;3080;.;214;131;773;55;211;2477;.;821;1805;113;1486;.;.;1637;3195;6621;21264;4372;.;1185;132710;3319;1121;.;103;222;327;101;106;2185;79620;910;1118;90;2511;.;.;3126;2232;6967;25439;780;1598;834
"..Agriculture, Forestry and Fishing";4803;427;211;0;.;.;84;0;23;103;.;.;459;7;229;746;305;25;36;585;1375;12;.;176;5145;146;75;.;2;11;160;0;6;200;.;4;191;35;34;485;.;48;668;620;2440;20;.;0;2066;127;96;.;10;20;19;4;0;203;.;42;153;29;31;324;.;77;127;250;539;0;.;18;784;31;76;.;0;0;8;0;0;46;.;10;5;2;4;.;.;3;2;9;587;0;.;0;2351;192;53;.;10;37;5;1;3;60;1040;11;27;7;27;.;.;138;120;160;449;2;9;0
"..Mining and Quarrying";9255;390;284;4;.;.;54;0;4;177;.;.;688;0;2;1887;93;5;98;394;539;3;.;4633;1735;272;97;.;0;364;31;0;0;31;.;0;75;0;5;15;.;12;148;190;458;33;.;5;1660;10;22;.;1;0;96;0;4;3;.;11;8;0;136;685;.;71;165;41;399;8;.;0;1508;430;62;.;0;7;7;0;12;20;.;7;26;5;5;.;.;18;2;12;894;0;.;0;3417;25;9;.;2;2;0;0;17;27;708;0;0;0;0;.;.;2;2;724;1692;6;8;191
"..Manufacturing";51110;4635;2070;105;.;.;378;200;122;1498;.;.;1398;67;423;5430;3442;2684;1400;6965;15762;2577;.;1954;39143;3546;1655;.;32;139;150;45;108;1316;.;535;1036;64;506;6178;.;857;1196;3900;14185;3650;.;46;29458;2152;1400;.;243;2505;361;167;146;1049;.;421;504;74;270;3795;.;576;1289;2712;9456;2185;.;154;17372;1319;1058;.;116;63;151;20;134;797;.;274;587;22;304;.;.;281;1648;2001;7616;547;.;432;28947;1621;449;.;21;139;87;41;30;872;13000;74;537;28;293;.;.;1032;1000;2534;6317;689;55;130
"..Electricity, Gas, Steam and Air Conditioning Supply";4108;2;64;0;.;.;235;0;0;20;.;.;0;2;2;22;10;553;1140;1347;630;13;.;68;1086;63;30;.;0;6;10;0;24;35;.;14;78;3;19;257;.;14;95;88;302;49;.;0;894;18;38;.;3;4;45;1;106;20;.;4;5;5;11;15;.;97;65;125;332;0;.;0;2094;165;22;.;0;1;9;0;1;128;.;4;0;1;64;.;.;43;36;83;1173;364;.;0;2495;11;14;.;0;0;13;0;0;33;2038;4;1;5;5;.;.;9;5;65;290;0;3;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";266;6;26;2;.;.;2;1;0;34;.;.;23;0;4;23;32;25;16;18;54;0;.;0;451;25;18;.;2;55;5;36;0;34;.;21;15;3;14;34;.;12;47;20;109;0;.;0;366;24;13;.;0;0;14;0;5;21;.;2;3;2;4;46;.;18;3;50;152;8;.;0;25;0;2;.;0;0;4;0;0;14;.;0;0;0;1;.;.;0;0;0;5;0;.;0;619;1;3;.;3;0;3;0;0;8;487;0;0;0;9;.;.;6;6;1;88;0;3;0
"..Construction";4175;203;62;1;.;.;73;4;4;172;.;.;49;18;3;185;154;27;7;121;234;2610;.;248;2468;231;35;.;27;5;58;0;47;68;.;68;6;38;13;236;.;104;173;406;781;173;.;0;2886;94;57;.;11;1;158;0;7;123;.;139;60;51;7;946;.;38;127;418;649;0;.;0;2043;72;27;.;2;37;80;2;2;69;.;69;51;5;134;.;.;6;61;227;438;756;.;5;4425;93;22;.;6;0;23;0;9;24;2887;80;74;0;81;.;.;362;95;297;368;0;2;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";10816;490;872;0;.;.;271;7;39;439;.;.;67;52;23;737;969;241;654;1370;4283;70;.;232;9392;125;380;.;35;16;93;2;21;346;.;101;143;30;112;605;.;272;523;1482;4668;362;.;76;9733;298;214;.;25;22;189;31;28;377;.;64;158;47;75;606;.;215;480;1401;3941;1562;.;0;2395;70;105;.;0;3;20;0;7;98;.;16;23;2;11;.;.;58;193;414;1335;40;.;0;11810;289;62;.;2;2;25;0;1;147;6869;48;174;17;165;.;.;436;101;978;2071;77;159;186
"..Transportation and Storage";3429;156;437;1;.;.;82;50;8;271;.;.;86;6;33;425;131;142;152;379;935;116;.;19;4011;229;251;.;8;17;114;15;62;274;.;338;298;33;54;328;.;200;167;269;1324;33;.;0;2379;128;92;.;9;6;70;21;55;103;.;73;57;32;29;372;.;28;82;279;917;26;.;0;2963;83;62;.;47;3;251;0;9;93;.;88;39;5;437;.;.;26;24;655;813;326;.;3;3930;83;83;.;11;0;15;0;0;145;2797;30;4;8;18;.;.;129;41;124;296;1;121;24
"..Accommodation and Food Service Activities";3712;227;210;5;.;.;427;0;32;54;.;.;116;2;41;235;120;26;165;428;1400;43;.;181;3519;161;93;.;0;18;46;194;0;55;.;30;19;4;30;254;.;62;209;691;1322;331;.;0;2388;183;67;.;0;0;73;0;0;62;.;16;35;6;51;100;.;54;214;481;1031;15;.;0;1763;473;20;.;2;7;18;0;0;3;.;13;244;2;91;.;.;77;80;172;447;106;.;8;4191;52;38;.;13;0;26;7;0;55;3161;0;0;0;16;.;.;104;91;235;340;0;53;0
