"Cases of Occupational Injuries With Workdays Lost in Establishments Employing 20 or More Workers by Region and Part of the Body Injured, Philippines: 2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OID/7401B3GI180.px/table/tableViewLayout1/?rxid=6c884b7d-8541-43da-b80e-9f99195fb610"
"Region";"2021 TOTAL";"2021 ..Head";"2021 ..Neck";"2021 ..Trunk";"2021 ..Abdomen, Lower Back, Lumbar Spine, Pelvis";"2021 ..Shoulder and Upper Arm";"2021 ..Elbow and Forearm";"2021 ..Wrist and Hand";"2021 ..Hip and Thigh";"2021 ..Lower Extremities";"2021 ..Whole Body or Multiple Sites Equally Injured"
"PHILIPPINES";12076;1443;182;114;535;1040;1067;4800;515;1851;529
"..National Capital Region";3018;454;71;38;178;302;258;921;207;490;99
"..Cordillera Administrative Region";127;12;0;1;2;17;15;34;0;35;10
"..Region I - Ilocos Region";51;2;0;0;1;6;5;29;2;4;1
"..Region II - Cagayan Valley";29;5;1;1;0;1;0;1;1;17;2
"..Region III - Central Luzon";1729;253;9;15;71;138;115;825;68;200;35
"..Region IV-A - CALABARZON";1276;175;20;2;20;65;114;639;70;158;13
"..MIMAROPA Region";146;5;0;1;27;24;15;54;4;16;0
"..Region V - Bicol";247;32;6;3;13;47;23;36;5;76;5
"..Region VI - Western Visayas";408;50;24;12;27;64;26;89;15;86;14
"..Region VII - Central Visayas";672;117;18;13;28;42;93;246;11;83;21
"..Region VIII - Eastern Visayas";470;37;0;11;11;53;61;175;38;56;27
"..Region IX - Zamboanga Peninsula";535;27;0;2;8;22;25;171;1;39;241
"..Region X - Northern Mindanao";794;71;12;5;40;74;106;262;28;179;16
"..Region XI - Davao Region";1294;111;4;7;52;63;110;640;26;249;32
"..Region XII - SOCCSKSARGEN";847;70;1;0;15;29;53;586;7;84;1
"..Region XIII - Caraga";433;22;16;2;42;92;47;92;30;78;12
"..Bangsamoro Autonomous Region in Muslim Mindanao";0;0;0;0;0;0;0;0;0;0;0
