"Cases of Occupational Injuries With Workdays Lost in Establishments Employing 20 or More Workers by Region and Type of Injury, Philippines: 2021"

"Region";"2021 TOTAL";"2021 ..Superficial Injuries";"2021 ..Open Wounds";"2021 ..Fractures";"2021 ..Dislocations, Sprains and Strains";"2021 ..Injury of Nerve/s of Part of Body Injured";"2021 ..Injury of Blood Vessel/s of Part of Body Injured";"2021 ..Injury of Muscles and Tendons";"2021 ..Crushing Injury";"2021 ..Traumatic Amputations";"2021 ..Foreign Body Entering Through Natural Opening (Eyes, Ears, Respiratory Tract, GIT, GUT)";"2021 ..Burns and Corrosions";"2021 ..Toxic Effect of Substances (Non-Medicinal)";"2021 ..Others"
"PHILIPPINES";12076;2289;4813;969;1092;194;202;524;377;148;653;675;100;40
"..National Capital Region";3018;716;858;302;353;72;33;64;98;54;228;215;24;1
"..Cordillera Administrative Region";127;17;30;30;7;3;0;6;2;0;3;25;2;1
"..Region I - Ilocos Region";51;2;40;3;2;1;0;0;0;0;0;2;0;0
"..Region II - Cagayan Valley";29;4;6;13;0;0;0;0;1;0;0;5;0;0
"..Region III - Central Luzon";1729;251;689;92;133;29;99;120;69;20;99;117;7;2
"..Region IV-A - CALABARZON";1276;192;472;132;133;17;21;52;52;18;93;68;13;14
".. MIMAROPA Region";146;48;39;24;13;4;1;5;11;1;0;0;0;0
"..Region V - Bicol";247;49;85;27;16;7;0;17;6;2;13;18;3;2
"..Region VI - Western Visayas";408;111;131;39;46;1;6;9;4;1;34;24;0;1
"..Region VII -Central Visayas";672;152;256;36;65;10;6;14;35;5;50;27;16;0
"..Region VIII -Eastern Visayas";470;84;167;31;90;2;1;14;9;1;22;48;0;0
"..Region IX - Zambaonga Peninsula";535;93;254;35;106;7;0;7;9;2;12;4;4;0
"..Region X -Northern Mindanao";794;190;371;57;34;17;3;21;29;6;36;24;6;0
"..Region XI -Davao Region";1294;147;728;70;43;9;24;97;35;33;39;40;15;12
"..Region XII -SOCCSKSARGEN";847;152;545;25;33;3;9;36;4;3;7;23;5;2
"..Region XIII -Caraga";433;79;142;51;17;11;0;62;12;1;16;35;3;5
"..Bangsamoro Autonomous Region in Muslim Mindanao";0;0;0;0;0;0;0;0;0;0;0;0;0;0
