"Cases of Occupational Injuries With Workdays Lost in Establishments Employing 20 or More Workers by Region and Major Occupation Group, Philippines: 2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OID/7001B3GI160.px/table/tableViewLayout1/?rxid=6c884b7d-8541-43da-b80e-9f99195fb610"
"Region";"2021 Total";"2021 ..Managers";"2021 ..Professionals";"2021 ..Technicians and Associate Professionals";"2021 ..Clerical Support Workers";"2021 ..Service and Sales Workers";"2021 ..Skilled Agricultural, Forestry and Fishery Workers";"2021 ..Craft and Related Trades Workers";"2021 ..Plant and Machine Operators and Assemblers";"2021 ..Elementary Occupations"
"PHILIPPINES";12076;155;266;860;342;1721;1251;980;3509;2991
"..National Capital Region";3018;51;70;289;107;659;198;349;816;477
"..Cordillera Administrative Region";127;9;11;6;6;40;0;10;28;17
"..Region I - Ilocos Region";51;0;0;3;0;12;2;0;7;26
"..Region II - Cagayan Valley";29;0;5;8;2;3;3;8;0;0
"..Region III - Central Luzon";1729;11;7;76;37;159;127;147;790;374
"..Region IV-A - CALABARZON";1276;8;48;144;22;122;40;95;691;107
"..MIMAROPA Region";146;0;0;13;1;45;0;6;14;68
"..Region V - Bicol";247;5;14;33;18;32;5;7;76;55
"..Region VI - Western Visayas";408;7;31;40;28;27;10;83;105;77
"..Region VII - Central Visayas";672;14;17;78;24;66;31;88;218;136
"..Region VIII - Eastern Visayas";470;10;10;37;36;152;18;73;13;120
"..Region IX - Zamboanga Peninsula";535;10;4;17;6;198;26;0;115;160
"..Region X - Northern Mindanao";794;2;18;31;11;67;119;60;160;326
"..Region XI - Davao Region";1294;24;23;35;34;46;346;18;349;419
"..Region XII - SOCCSKSARGEN";847;1;6;20;1;82;125;35;82;495
"..Region XIII - Caraga";433;2;2;29;10;10;201;0;44;136
"..Bangsamoro Autonomous Region in Muslim Mindanao";0;0;0;0;0;0;0;0;0;0
