"Cases of Occupational Injuries in Establishments Employing 20 or More Workers by Region and Incapacity for Work, Philippines: 2021"

"Region";"2021 TOTAL";"2021 ..With Workdays Lost";"2021 ....Fatal";"2021 ....Non-Fatal";"2021 ......Permanent Incapacity";"2021 ......Temporary Incapacity";"2021 ..Without Workdays Lost"
"PHILIPPINES";27636;12076;169;11907;194;11713;15560
"..National Capital Region";6691;3018;18;3000;95;2905;3673
"..Cordillera Administrative Region";475;127;9;118;1;117;348
"..Region I - Ilocos Region";157;51;2;49;4;45;106
"..Region II - Cagayan Valley";133;29;9;20;0;20;104
"..Region III - Central Luzon";5581;1729;61;1668;14;1655;3852
"..Region IV-A - CALABARZON";3964;1276;18;1258;41;1217;2688
"..MIMAROPA Region";457;146;1;145;12;133;311
"..Region V - Bicol";538;247;8;238;7;231;292
"..Region VI - Western Visayas";959;408;1;407;0;407;551
"..Region VII - Central Visayas";1576;672;1;671;1;670;904
"..Region VIII - Eastern Visayas";853;470;0;470;2;467;383
"..Region IX - Zamboanga Peninsula";770;535;0;535;0;535;235
"..Region X - Northern Mindanao";1617;794;1;793;13;779;823
"..Region XI - Davao Region";2044;1294;19;1275;2;1273;750
"..Region XII - SOCCSKSARGEN";1117;847;2;845;0;845;270
"..Region XIII - Caraga";701;433;18;415;1;413;268
"..Bangsamoro Autonomous Region in Muslim Mindanao";1;0;0;0;0;0;1
