"Collective Bargaining Coverage Rate by Sex and Branch of Economic Activity"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Collective bargaining coverage rate";"TOTAL";..;..;..;..;..;..;..;..;19.7;17.3;..;..;..;13.1;..;10.9;..;10.3;..;8.1;..;7.2;..;..
"Collective bargaining coverage rate";"..Men";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;10.8;..;8.8;..;8.0;..;..
"Collective bargaining coverage rate";"..Women";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;9.5;..;7.1;..;6.1;..;..
"Collective bargaining coverage rate";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;23.1;..;14.1;..;19.5;..;..
"Collective bargaining coverage rate";"..Industry";..;..;..;..;..;..;..;..;23.2;21.1;..;..;..;17.4;..;15.9;..;13.5;..;12.4;..;9.9;..;..
"Collective bargaining coverage rate";"..Services";..;..;..;..;..;..;..;..;16.7;14.5;..;..;..;10.5;..;8.3;..;7.6;..;5.7;..;5.3;..;..
"Total employees covered by CBAs (000)";"TOTAL";..;..;..;..;552;..;..;..;508;415;..;423;..;391;..;330;..;383;..;360;..;313;..;..
"Total employees covered by CBAs (000)";"..Men";..;..;..;..;353;..;..;..;..;..;..;272;..;244;..;203;..;242;..;236;..;200;..;..
"Total employees covered by CBAs (000)";"..Women";..;..;..;..;199;..;..;..;..;..;..;151;..;147;..;128;..;141;..;123;..;114;..;..
"Total employees covered by CBAs (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;39;..;34;..;30;..;..
"Total employees covered by CBAs (000)";"..Industry";..;..;..;..;332;..;..;..;270;220;..;234;..;196;..;168;..;167;..;161;..;132;..;..
"Total employees covered by CBAs (000)";"..Services";..;..;..;..;220;..;..;..;237;195;..;189;..;195;..;162;..;177;..;165;..;151;..;..
"Total employees (000)";"TOTAL";2270;..;..;..;..;..;..;..;2582;2393;..;..;..;2991;..;3020;..;3739;..;4437;..;4365;..;..
"Total employees (000)";"..Men";1447;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2249;..;2695;..;2502;..;..
"Total employees (000)";"..Women";823;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1490;..;1741;..;1863;..;..
"Total employees (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;169;..;237;..;154;..;..
"Total employees (000)";"..Industry";1032;..;..;..;..;..;..;..;1165;1044;..;..;..;1126;..;1059;..;1235;..;1327;..;1336;..;..
"Total employees (000)";"..Services";1238;..;..;..;..;..;..;..;1417;1349;..;..;..;1865;..;1961;..;2335;..;2872;..;2875;..;..
