"Number of Registered Death by Usual Residence and Sex"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__VS__DE/1001A1BDEA1.px/table/tableViewLayout1/?rxid=ca21cbaf-bd6d-4c52-8604-d3999ce4decc"
"Region, Province, City/Municipality";"2013 Both Sexes";"2013 Male";"2013 Female";"2014 Both Sexes";"2014 Male";"2014 Female";"2015 Both Sexes";"2015 Male";"2015 Female";"2016 Both Sexes";"2016 Male";"2016 Female";"2017 Both Sexes";"2017 Male";"2017 Female";"2018 Both Sexes";"2018 Male";"2018 Female";"2019 Both Sexes";"2019 Male";"2019 Female";"2020 Both Sexes";"2020 Male";"2020 Female";"2021 Both Sexes";"2021 Male";"2021 Female";"2022 Both Sexes";"2022 Male";"2022 Female"
"TOTAL";531280;304516;226764;551716;316544;235172;560605;321624;238981;582183;334678;247505;579237;332517;246720;590709;337789;252920;620414;354486;265928;613936;351426;262510;879429;491053;388376;679766;384256;295510
"NATIONAL CAPITAL REGION (NCR)";71050;40711;30339;73454;42325;31129;74530;42603;31927;76839;44455;32384;75187;43100;32087;74934;41864;33070;78599;44104;34495;84355;48100;36255;105178;58883;46295;78917;43940;34977
"......City of Caloocan";7827;4602;3225;8368;4859;3509;8384;4870;3514;9235;5535;3700;9055;5271;3784;8536;4843;3693;9185;5175;4010;10176;5889;4287;12766;7278;5488;9583;5433;4150
"......City of Las Piñas";3335;1829;1506;3412;1931;1481;3529;1988;1541;3614;2080;1534;3488;1954;1534;3512;1908;1604;3768;2063;1705;4155;2325;1830;5104;2816;2288;3741;2089;1652
"......City of Makati";2970;1670;1300;3108;1684;1424;3218;1771;1447;3363;1873;1490;3109;1745;1364;3033;1693;1340;3182;1725;1457;3544;1992;1552;4450;2422;2028;3091;1642;1449
"......City of Malabon";2313;1339;974;2395;1378;1017;2398;1391;1007;2389;1373;1016;2403;1370;1033;2414;1367;1047;2435;1376;1059;2458;1403;1055;3225;1810;1415;2499;1403;1096
"......City of Mandaluyong";2086;1178;908;2158;1201;957;2230;1252;978;2326;1340;986;2273;1306;967;2162;1207;955;2235;1214;1021;2219;1231;988;2886;1643;1243;2220;1227;993
"......City of Manila";12713;7439;5274;12552;7240;5312;12625;7316;5309;12573;7324;5249;12182;6966;5216;12056;6737;5319;12425;7029;5396;12808;7395;5413;15718;8835;6883;12052;6705;5347
"......City of Marikina";2802;1609;1193;2994;1676;1318;2975;1648;1327;3171;1790;1381;3009;1728;1281;3046;1691;1355;3355;1893;1462;3666;2075;1591;4331;2380;1951;3238;1788;1450
"......City of Muntinlupa";2431;1364;1067;2698;1589;1109;2712;1555;1157;2767;1565;1202;2855;1626;1229;2964;1602;1362;3063;1719;1344;3316;1918;1398;3871;2213;1658;3135;1783;1352
"......City of Navotas";1608;949;659;1722;1061;661;1732;1025;707;1783;1054;729;1642;968;674;1632;906;726;1701;989;712;1563;925;638;2034;1134;900;1801;1004;797
"......City of Parañaque";3439;1910;1529;3645;2088;1557;3640;2018;1622;3638;2082;1556;3621;2012;1609;3706;2062;1644;3897;2175;1722;4324;2495;1829;5312;3020;2292;3998;2195;1803
"......Pasay City";2431;1389;1042;2462;1428;1034;2412;1385;1027;2543;1500;1043;2319;1335;984;2371;1366;1005;2460;1419;1041;2729;1572;1157;3068;1745;1323;2418;1362;1056
"......City of Pasig";3952;2283;1669;3938;2264;1674;3982;2278;1704;4220;2414;1806;4202;2439;1763;4118;2239;1879;4349;2449;1900;4887;2771;2116;6241;3442;2799;4485;2483;2002
"......Quezon City";15348;8586;6762;15770;9147;6623;16073;9146;6927;16460;9442;7018;16385;9329;7056;16724;9312;7412;17317;9692;7625;18455;10347;8108;23480;12969;10511;17253;9587;7666
"......City of San Juan";771;406;365;801;442;359;837;432;405;810;415;395;792;431;361;750;400;350;784;399;385;928;516;412;1114;607;507;819;426;393
"......City of Taguig";3356;2004;1352;3548;2093;1455;3632;2156;1476;3697;2173;1524;3735;2193;1542;3836;2242;1594;4096;2346;1750;4349;2503;1846;5522;3116;2406;4169;2335;1834
"......City of Valenzuela";3257;1922;1335;3498;2035;1463;3700;2109;1591;3769;2208;1561;3711;2191;1520;3677;2077;1600;3941;2227;1714;4321;2482;1839;5470;3116;2354;3979;2233;1746
"......Pateros";411;232;179;385;209;176;451;263;188;481;287;194;404;235;169;397;212;185;406;214;192;457;261;196;586;337;249;436;245;191
"CORDILLERA ADMINISTRATIVE REGION (CAR)";7349;4256;3093;7967;4570;3397;7909;4611;3298;8329;4875;3454;8176;4748;3428;8576;4949;3627;9155;5313;3842;8540;4885;3655;13241;7439;5802;9749;5543;4206
"….ABRA";1565;894;671;1666;927;739;1551;860;691;1684;960;724;1598;927;671;1640;935;705;1815;1056;759;1660;931;729;2238;1227;1011;1808;1003;805
"….APAYAO";404;258;146;498;305;193;461;281;180;531;320;211;541;339;202;558;332;226;592;355;237;533;311;222;894;498;396;694;404;290
"….BENGUET";1683;976;707;1916;1098;818;1892;1123;769;1909;1124;785;1752;1043;709;1944;1099;845;2126;1248;878;2036;1189;847;3326;1896;1430;2356;1371;985
"….IFUGAO";710;408;302;795;442;353;737;437;300;836;511;325;822;442;380;879;508;371;878;517;361;772;434;338;1284;740;544;905;523;382
"….KALINGA";710;432;278;773;472;301;831;487;344;930;542;388;930;562;368;937;574;363;986;574;412;943;562;381;1559;887;672;1079;635;444
"….MOUNTAIN PROVINCE";824;445;379;817;452;365;864;497;367;853;490;363;815;451;364;925;532;393;930;504;426;855;483;372;1270;683;587;977;545;432
"..CITY OF BAGUIO";1453;843;610;1502;874;628;1573;926;647;1586;928;658;1718;984;734;1693;969;724;1828;1059;769;1741;975;766;2670;1508;1162;1930;1062;868
"REGION I (ILOCOS REGION)";32983;18405;14578;34740;19298;15442;34190;18851;15339;35666;19819;15847;34427;19244;15183;35627;19905;15722;35398;19790;15608;34848;19347;15501;53951;29154;24797;38843;21408;17435
"….ILOCOS NORTE";4212;2401;1811;4566;2633;1933;4322;2401;1921;4474;2490;1984;4468;2540;1928;4389;2479;1910;4779;2677;2102;4126;2285;1841;6042;3341;2701;4894;2745;2149
"….ILOCOS SUR";4889;2717;2172;5101;2807;2294;4909;2703;2206;4990;2805;2185;4549;2483;2066;4909;2742;2167;4967;2735;2232;4668;2503;2165;7189;3887;3302;5442;2986;2456
"….LA UNION";4954;2816;2138;5124;2848;2276;5135;2801;2334;5354;2947;2407;5225;2863;2362;5375;3013;2362;5559;3069;2490;5324;3006;2318;8040;4374;3666;5789;3227;2562
"….PANGASINAN";18928;10471;8457;19949;11010;8939;19824;10946;8878;20848;11577;9271;20185;11358;8827;20954;11671;9283;20093;11309;8784;20730;11553;9177;32680;17552;15128;22718;12450;10268
"REGION II (CAGAYAN VALLEY)";19374;11350;8024;19920;11645;8275;20212;11849;8363;20952;12292;8660;21115;12398;8717;21516;12521;8995;22462;13201;9261;20352;11822;8530;32597;18350;14247;23785;13847;9938
"….BATANES";134;84;50;139;78;61;125;67;58;139;79;60;146;81;65;119;79;40;180;97;83;189;115;74;215;125;90;189;103;86
