"Number of Registered Deaths by Age and Sex, Philippines: 2016"

"AGE";"Total";"Male";"Female"
"Total";582183;334678;247505
"….Under 1";21874;12566;9308
"….1-4";9130;4905;4225
"….5-9";5395;2944;2451
"….10-14";4637;2708;1929
"….15-19";7922;5121;2801
"….20-24";11583;8043;3540
"….25-29";13641;9765;3876
"….30-34";15659;10957;4702
"….35-39";19439;13190;6249
"….40-44";23348;15500;7848
"….45-49";31066;20549;10517
"….50-54";38786;25329;13457
"….55-59";45860;29879;15981
"….60-64";53206;34113;19093
"….65-69";57687;35595;22092
"….70-74";55132;31660;23472
"….75-79";56419;29107;27312
"….80-84";50596;22055;28541
"….85-89";34942;12913;22029
"….90-94";18077;5453;12624
"….95 and over";7495;2127;5368
"….Not Stated";289;199;90
