"Deaths : Number of Registered Deaths by Usual Residence and Place of Occurrence and Attendance at Death, (Region,Province and City/Municipality) Philippines: 2016"

"Geolocation";"Usual Residence Total";"Usual Residence Medically Attended";"Usual Residence Not Attended";"Usual Residence Not Stated";"Place of Occurrence Total";"Place of Occurrence Medically Attended";"Place of Occurrence Not Attended";"Place of Occurrence Not Stated"
"PHILIPPINES";582183;236027;342705;2574;582183;236027;342705;2574
"..NATIONAL CAPITAL REGION";76839;41871;34669;125;88088;52722;35057;134
"....City of Manila";12573;6934;5624;11;19733;13992;5724;14
"....City of Mandaluyong";2326;1291;1033;2;2111;1098;1012;1
"....City of San Juan";810;583;223;..;1021;804;213;..
"....Quezon City";16460;9474;6917;29;22340;15285;6970;40
"....City of Marikina";3171;2116;1029;22;4340;3274;1042;23
"....City of Makati";3363;2358;1004;1;3218;2215;1003;..
"....City of Pasig";4220;2520;1700;..;5107;3378;1728;1
"....Pateros";481;236;245;..;328;93;235;..
"....Taguig City";3697;1956;1738;2;3217;1481;1734;..
"....Caloocan City";9235;4191;5017;23;7737;2612;5102;22
"....City of Malabon";2389;957;1430;2;1577;158;1418;1
"....City of Navotas";1783;719;1051;..;1244;189;1042;..
"....City of Valenzuela";3769;1832;1929;4;3237;1340;1890;2
"....City of Las Piñas";3614;2022;1588;3;3997;2245;1750;2
"....City of Muntinlupa";2767;1524;1235;7;3374;2127;1239;8
"....City of Parañaque";3638;1781;1756;16;2944;1069;1773;18
"....Pasay City";2543;1377;1150;3;2563;1362;1182;2
"..CORDILLERA ADMINISTRATIVE REGION";8329;3240;5035;19;8603;3538;5009;19
"....Abra";1684;607;1068;7;1565;517;1038;7
"....Benguet";3495;1613;1870;..;4000;2094;1894;..
"....Ifugao";836;303;527;5;734;213;514;5
"....Kalinga";930;290;623;5;868;232;619;5
"....Mountain Province";853;230;617;1;806;193;607;1
"....Apayao";531;197;330;1;630;289;337;1
"..REGION I- ILOCOS";35666;12665;22911;43;35293;12237;22970;40
"....Ilocos Norte";4474;1819;2633;17;4474;1813;2639;17
"....Ilocos Sur";4990;1897;3067;1;4810;1702;3082;1
"....La Union";5354;2151;3200;3;5606;2385;3218;3
"....Pangasinan";20848;6798;14011;22;20403;6337;14031;19
"..REGION II- CAGAYAN VALLEY";20952;7528;13373;48;20758;7357;13352;47
"....Batanes";139;78;61;..;123;70;53;..
"....Cagayan";7975;2797;5155;22;8161;2993;5145;22
"....Isabela";9415;3257;6136;22;9052;2905;6126;21
"....Nueva Vizcaya";2487;1047;1436;2;2531;1077;1451;2
"....Quirino";936;349;585;2;891;312;577;2
"..REGION III- CENTRAL LUZON";68757;25767;42832;121;66952;23845;42953;117
"....Bataan";4838;2141;2697;..;4683;1993;2690;..
"....Bulacan";19856;8070;11771;10;18523;6695;11812;11
"....Nueva Ecija";13255;3600;9634;3;13177;3510;9649;..
"....Pampanga";14882;6003;8787;90;14900;5946;8862;90
"....Tarlac";9228;2951;6264;4;8992;2760;6220;3
"....Zambales";5543;2613;2917;10;5622;2656;2953;10
"....Aurora";1155;389;762;4;1055;285;767;3
"..REGION IV-A- CALABARZON";82764;34090;48507;71;75942;27234;48541;68
"....Batangas";15970;6928;9003;..;16667;7594;9031;..
