"Number of Registered Deaths by Causes of Death and Sex, Philippines: 2016"

"Cause of Death";"Total";"Male";"Female"
"Total";582183;334678;247505
"….Cholera";9;3;6
"….Diarrhea and gastroenteritis of presumed infectious origin";4801;2660;2141
"….Other intestinal infectious diseases";583;341;242
"….Respiratory tuberculosis";24462;17288;7174
"….Other tuberculosis";1381;860;521
"….Plague";12;7;5
"….Tetanus";592;458;134
"….Diphtheria";31;17;14
"….Whooping cough";7;3;4
"….Meningococcal infection";85;51;34
"….Septicaemia";7021;3719;3302
"….Infections with a predominantly sexual mode of transmission";11;5;6
"….Acute poliomyelitis";22;17;5
"….Rabies";229;168;61
"….Yellow fever";..;..;..
"….Other arthropod-borne viral fevers and viral haemorrhagic fevers";1942;873;1069
"….Measles";5;4;1
"….Viral hepatitis";888;615;273
"….Human immunodeficiency virus [HIV]";349;327;22
"….Malaria";11;9;2
"….Leishmaniasis";1;1;..
"….Trypanosomiasis";3;1;2
"….Schistosomiasis [bilharziasis]";318;212;106
"….Remainder of certain infectious and parasitic diseases";1577;1099;478
"….Neoplasms";60470;29516;30954
"….Remainder of Neoplasms";4124;2123;2001
"….Anaemias";2858;1322;1536
"….Remainder of diseases of the blood and blood forming organs and ceratin disorders involving the immune mechanism";1031;533;498
"….Diabetes Mellitus";33295;16384;16911
"….Malnutrition";3218;1365;1853
"….Remainder endocrine, nutritional and metabolic diseases";6058;2439;3619
"….Mental and behavioral disorder due to psychoactive substance use";257;243;14
"….Remainder of mental and behavioral disorders";397;193;204
"….Meningitis";1572;887;685
"….Alzheimer's disease";411;139;272
"….Remainder diseases of the nervous sytem";5758;3328;2430
"….Diseases of the eye and adnexa";5;3;2
"….Diseases of the ear and mastoid process";10;7;3
"….Acute rheumatic fever and chronic rheumatic heart diseases";2003;799;1204
"….Hypertensive diseases";33452;17901;15551
"….Ischaemic heart diseases";74134;44472;29662
"….Other heart diseases";28641;14992;13649
"….Cerebrosvascular diseases";56938;31675;25263
"….Atherosclerosis";1315;463;852
"….Remainder of diseases of the circulatory system";2024;1209;815
"….Influenza";56;20;36
"….Pneumonia";57809;28993;28816
"….Other acute lower respiratory infections";94;59;35
"….Chronic lower respiratory infections";24365;17049;7316
"….Remainder of diseases of the respiratory system";5815;3234;2581
"….Gastric and duodenal ulcer";5537;3611;1926
"….Diseases of the liver";8990;6554;2436
"….Remainder of diseases of the digestive system";8276;5444;2832
"….Diseases of the skin and subcutaneous tissue";2191;945;1246
"….Diseases of the muscuskeletal system and connective tissue";2580;1170;1410
"….Glomerular and renal tubulo-interstitial diseases";3767;2216;1551
"….Remainder of diseases of the genitourinary system";19759;11778;7981
"….Pregnancy with abortive outcome";147;..;147
"….Other direct obstetric deaths";1251;..;1251
"….Indirect obstetric deaths";82;..;82
"….Remainder of pregnancy, chilbirth and the puerperium";3;..;3
"….Certain conditions originating in the perinatal period";9785;5793;3992
"….Congenital malformations, deformations and chromosonal abnormalities";5100;2656;2444
"….Symptoms, signs and abnormal clinical and laboratory findings, NEC";19839;9851;9988
"….Transport Accidents";11292;9181;2111
"….Falls";2780;1815;965
"….Accidental drowning and submersion";3202;2409;793
"….Exposure to smoke, fire and flames";469;275;194
"….Accidental poisoning by and exposure to noxious substances";151;99;52
"….Intentional self-harm";2413;1928;485
"….Assault";14869;13662;1207
"….All other external causes";9250;7205;2045
