"Number and Percent Distribution of Unionized Workers in Establishments Employing 20 or More Workers by Major Industry Group and Sex, Philippines: June 2014 to August 2022"

"Major Industry Group";"2014 Both Sexes";"2014 ..Male";"2014 ..Female";"2016 Both Sexes";"2016 ..Male";"2016 ..Female";"2018 Both Sexes";"2018 ..Male";"2018 ..Female";"2020 Both Sexes";"2020 ..Male";"2020 ..Female";"2022 Both Sexes";"2022 ..Male";"2022 ..Female"
"ALL INDUSTRIES";340370;65.3;34.7;283081;65.0;35.0;353625;61.5;38.5;316458;54.6;45.4;345754;59.7;40.3
"..Agriculture, Forestry and Fishing";31539;74.2;25.8;29951;79.4;20.6;31276;81.0;19.0;8404;82.4;17.6;28789;76.9;23.1
"..Mining and Quarrying";5066;92.7;7.3;7349;91.5;8.5;10107;91.7;8.3;10099;95.0;5.0;10614;92.0;8.0
"..Manufacturing";116862;69.5;30.5;90696;70.4;29.6;116424;71.4;28.6;114046;62.4;37.6;119804;66.7;33.3
"..Electricity, Gas, Steam and Air Conditioning Supply";18357;79.7;20.3;11544;79.3;20.7;15637;82.3;17.7;11239;77.6;22.4;10340;78.8;21.2
"..Water Supply; Sewerage, Waste Management and Remediation Activities";7291;78.4;21.6;7056;74.1;25.9;8937;77.6;22.3;6825;79.1;20.9;8675;78.7;21.3
"..Construction";1850;82.8;17.1;2088;89.6;10.4;3697;84.1;15.9;3019;96.1;3.9;6857;92.7;7.3
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";17837;51.3;48.7;22181;51.4;48.6;27704;46.1;53.9;39476;32.6;67.4;16139;53.8;46.2
"..Transportation and Storage";29956;88.8;11.2;24850;87.9;12.1;17722;89.8;10.2;15536;90.2;9.8;21278;85.6;14.4
"..Accommodation and Food Service Activities";5481;70.6;29.4;5539;70.3;29.7;8168;64.3;35.7;7191;68.2;31.8;2394;65.6;34.4
"..Information and Communication";17152;72.9;27.1;8051;74.2;25.8;13225;69.9;30.1;2787;67.1;32.9;11579;78.3;21.7
"..Financial and Insurance Activities";43303;38.4;61.6;33037;35.6;64.4;59625;28.3;71.7;51283;29.9;70.1;62433;26.1;73.9
"..Real Estate Activities";411;75.4;24.6;1147;54.7;45.3;1464;38.9;61.1;525;71.8;28.2;2437;70.4;29.6
"..Professional, Scientific and Technical Activities";2841;63.9;36.1;1265;53.4;46.6;695;64.7;35.1;486;73.7;26.3;1523;52.8;47.2
"..Administrative and Support Service Activities";3987;94.1;5.9;1105;82.4;17.6;1048;90.9;9.1;556;47.3;52.7;264;67.9;32.1
"..Education Except Public Education";17098;39.8;60.2;15418;42.5;57.5;15385;41.4;58.6;15599;42.7;57.3;16753;45.9;54.1
"..Human Health and Social Work Activities Except Public Health Activities";15799;43.4;56.6;17429;41.8;58.2;20061;34.1;65.9;20291;34.3;65.7;23944;33.0;67.0
"..Arts, Entertainment and Recreation";4438;61.8;38.2;4193;52.3;47.7;2410;57.7;42.3;9096;50.1;49.9;1932;52.0;48.0
"..Other Service Activities Except Activities of Membership Organizations";1102;15.9;84.0;182;89.6;10.4;41;48.8;51.2;0;0.0;0.0;..;..;..
