"Number and Percent Distribution of Unionized Workers in Establishments Employing 20 or More Workers by Type of Ownership and Sex, Philippines: June 2014 to June 2016"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__UCB/5251B3GU062.px/table/tableViewLayout1/?rxid=2e73dce7-6537-444e-a85a-4413f7d69373"
"Type of Ownership";"Sex";"2014";"2016"
"Filipino";"Both Sexes";258869;213171
"Filipino";"..Male";66.8;64.9
"Filipino";"..Female";33.2;35.1
"Foreign";"Both Sexes";31148;24837
"Foreign";"..Male";52.9;62.4
"Foreign";"..Female";47.1;37.6
"Joint Venture";"Both Sexes";27530;22354
"Joint Venture";"..Male";59.3;62.1
"Joint Venture";"..Female";40.7;37.9
"Multinational";"Both Sexes";22823;22719
"Multinational";"..Male";72.4;71.1
"Multinational";"..Female";27.6;28.9
