"Easy-to-Fill Occupations by Number of Vacancies and Applicants in Establishments with 20 or More Workers, Philippines: January 2013 - June 2014 to January 2015 - June 2016"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSS/4501B3GS050.px/table/tableViewLayout1/?rxid=8a8a8c67-d058-4943-a972-f0ab3d83f510"
"Major Occupation Group";"2014 Number of Vacancies";"2014 Number of Applicants";"2016 Number of Vacancies";"2016 Number of Applicants"
"ALL OCCUPATIONS";549814;3041552;549814;3041552
"..Corporate Executives, Managers, Managing Proprietors and Supervisors";6281;66732;6281;66732
"..Professionals";50362;294331;50362;294331
"..Technicians and Associate Professionals";61523;831367;61523;831367
"..Clerks";193637;1267997;193637;1267997
"..Service Workers and Shop and Market Sales Workers";99427;248942;99427;248942
"..Farmers, Forestry Workers and Fishermen";2010;4243;2010;4243
"..Craft and Related Trades Workers";38572;99574;38572;99574
"..Plant and Machine Operators and Assemblers";50868;103593;50868;103593
"..Laborers and Unskilled Workers";47134;124774;47134;124774
