"Easy-to-Fill Occupations by Number of Vacancies and Applicants in Establishments with 20 or More Workers, Philippines: July 2017 - June 2018 to September 2021 - August 2022"

"Major Occupation Group";"2018 Number of Vacancies";"2018 Number of Applicants";"2020 Number of Vacancies";"2020 Number of Applicants";"2022 Number of Vacancies";"2022 Number of Applicants"
"ALL OCCUPATIONS";590543;2070122;218680;1082388;225339;1184766
"..Managers";13367;65822;698;5942;4058;66109
"..Professionals";48205;262614;26242;229303;35566;287916
"..Technicians and associate professionals";89555;581907;30046;125088;30399;189525
"..Clerical support workers";196536;790764;56349;502735;67417;482592
"..Service and sales workers";90688;209171;33730;119539;29488;78864
"..Skilled agricultural, forestry and fishery workers";1196;2501;195;477;465;664
"..Craft and related trades workers";30555;43245;12726;22372;7997;19636
"..Plant and machine operators and assemblers";23440;62490;40076;34148;39229;37524
"..Elementary occupations";97000;51609;18619;42784;10721;21936
