"Economic Activity Rate of Children by Sex and Age Group"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E6/0543K3E6010.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Sex";"Age";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Percent Share of Working Children (Economic Activity Rate)";"TOTAL";"TOTAL";..;..;..;..;..;..;..;..;..;9.5;9.0;8.6;8.3;7.6;7.7;7.2;8.5;7.7;6.9;7.2;6.0;5.2;4.6;4.6
"Percent Share of Working Children (Economic Activity Rate)";"TOTAL";"..5-9 years old";..;..;..;..;..;..;..;..;..;1.7;1.5;1.2;1.1;0.8;0.8;1.1;1.3;0.9;0.8;0.9;0.8;0.8;0.5;0.7
"Percent Share of Working Children (Economic Activity Rate)";"TOTAL";"..10-14";11.3;11.6;10.9;9.7;10.2;7.5;9.5;9.5;7.8;8.7;7.8;7.3;6.7;5.7;5.9;5.3;7.2;5.8;5.0;5.6;4.4;3.5;3.5;3.6
"Percent Share of Working Children (Economic Activity Rate)";"TOTAL";"..15-17";27.7;29.6;27.5;25.6;26.5;22.3;24.4;24.4;22.8;24.1;23.6;23.4;22.9;21.8;21.9;20.8;22.9;22.1;20.3;20.9;17.8;15.6;13.4;13.0
"Percent Share of Working Children (Economic Activity Rate)";"Boys";"TOTAL";..;..;..;..;..;..;..;..;..;12.0;11.2;10.7;10.3;9.4;9.5;9.0;10.6;9.6;8.7;9.0;7.5;6.5;6.0;6.0
"Percent Share of Working Children (Economic Activity Rate)";"Boys";"..5-9 years old";..;..;..;..;..;..;..;..;..;2.0;1.7;1.4;1.3;0.9;0.9;1.2;1.5;1.0;0.9;1.0;0.8;0.8;0.5;0.7
"Percent Share of Working Children (Economic Activity Rate)";"Boys";"..10-14";14.4;14.5;13.3;12.2;13.1;9.6;12.0;11.9;9.7;11.1;9.8;9.1;8.3;7.0;7.3;6.5;8.7;7.2;6.1;6.8;5.1;4.1;4.1;4.3
"Percent Share of Working Children (Economic Activity Rate)";"Boys";"..15-17";36.1;37.2;34.8;32.7;34.0;28.5;31.0;30.6;28.9;31.2;30.0;29.4;29.1;28.0;27.6;26.6;29.2;28.2;26.5;26.9;23.0;20.3;18.4;17.7
"Percent Share of Working Children (Economic Activity Rate)";"Girls";"TOTAL";..;..;..;..;..;..;..;..;..;6.8;6.6;6.4;6.2;5.6;5.8;5.4;6.4;5.7;5.0;5.4;4.5;3.7;3.1;3.2
"Percent Share of Working Children (Economic Activity Rate)";"Girls";"..5-9 years old";..;..;..;..;..;..;..;..;..;1.4;1.2;1.0;1.0;0.7;0.7;0.9;1.1;0.8;0.8;0.8;0.7;0.6;0.5;0.7
"Percent Share of Working Children (Economic Activity Rate)";"Girls";"..10-14";8.2;8.6;8.4;7.1;7.2;5.2;6.8;6.9;5.8;6.3;5.7;5.4;5.1;4.3;4.5;4.2;5.5;4.4;3.8;4.4;3.6;2.9;2.8;2.9
"Percent Share of Working Children (Economic Activity Rate)";"Girls";"..15-17";18.8;21.3;19.7;18.1;18.4;15.5;17.2;17.6;16.3;16.9;17.0;17.2;16.7;15.7;16.2;14.9;16.4;15.9;14.0;14.7;12.5;10.5;8.1;8.0
"Total Working Children (000)";"TOTAL";"TOTAL";..;..;..;..;..;..;..;..;..;2356;2290;2354;2316;2153;2199;2095;2482;2273;2076;2170;1839;1509;1344;1389
"Total Working Children (000)";"TOTAL";"..5-9 years old";..;..;..;..;..;..;..;..;..;162;143;123;120;85;90;112;138;99;92;103;86;84;57;84
"Total Working Children (000)";"TOTAL";"..10-14";874;932;951;874;953;740;971;986;798;849;776;783;742;642;682;630;861;704;616;695;547;394;393;422
"Total Working Children (000)";"TOTAL";"..15-17";1418;1558;1363;1280;1333;1165;1281;1320;1269;1346;1370;1447;1454;1425;1427;1353;1483;1471;1368;1372;1205;1031;894;884
"Total Working Children (000)";"Boys";"TOTAL";..;..;..;..;..;..;..;..;..;1527;1466;1487;1462;1365;1383;1323;1567;1448;1336;1374;1163;978;907;926
"Total Working Children (000)";"Boys";"..5-9 years old";..;..;..;..;..;..;..;..;..;98;86;73;70;49;51;65;79;54;51;59;49;48;30;44
"Total Working Children (000)";"Boys";"..10-14";567;589;591;563;622;492;634;635;509;550;497;496;467;401;432;390;535;446;385;425;325;234;241;259
"Total Working Children (000)";"Boys";"..15-17";954;1027;891;836;888;779;852;866;834;880;884;919;926;915;899;869;954;949;901;890;789;696;636;622
"Total Working Children (000)";"Girls";"TOTAL";..;..;..;..;..;..;..;..;..;829;824;866;854;788;816;772;914;825;740;796;676;531;436;464
"Total Working Children (000)";"Girls";"..5-9 years old";..;..;..;..;..;..;..;..;..;64;57;51;50;36;39;47;58;45;42;44;37;35;27;39
"Total Working Children (000)";"Girls";"..10-14";307;342;360;312;331;249;337;351;289;299;280;287;275;242;250;240;326;258;232;270;223;160;152;163
"Total Working Children (000)";"Girls";"..15-17";464;532;472;444;445;386;429;454;434;467;487;529;529;510;528;484;529;522;467;482;416;336;258;261
"Total Household Population of Children (000)";"TOTAL";"TOTAL";21300;21877;23195;23659;24194;24991;25349;25696;25493;24906;25564;27449;28013;28459;28701;28934;29118;29541;30078;30059;30593;29103;29398;30119
"Total Household Population of Children (000)";"TOTAL";"..5-9 years old";8485;8592;9502;9679;9832;9852;9833;9853;9716;9602;9784;10491;10584;10608;10671;10633;10623;10784;11022;11108;11331;11181;11448;11597
"Total Household Population of Children (000)";"TOTAL";"..10-14";7702;8021;8736;8971;9330;9919;10271;10433;10221;9710;9977;10767;11072;11328;11502;11798;12011;12115;12325;12371;12502;11294;11289;11726
"Total Household Population of Children (000)";"TOTAL";"..15-17";5113;5264;4958;5009;5032;5220;5245;5410;5556;5594;5803;6191;6357;6523;6528;6503;6484;6642;6732;6579;6760;6628;6661;6796
"Total Household Population of Children (000)";"Boys";"TOTAL";10943;11233;11866;12130;12498;12954;13149;13204;13052;12691;13061;13954;14220;14464;14598;14734;14822;15040;15300;15274;15545;14933;15153;15485
