"Economically Inactive Persons Due to Household/Family Duties"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E5/0513K3F5010.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Share of economically inactive persons  total working age population (%)";"TOTAL";18.0;..;..;..;17.1;..;16.3;15.7;16.7;17.3;16.9;17.1;17.3;17.7;17.2;17.0;16.9;16.9;16.7;16.4;16.2;16.3;17.2;16.4
"Share of economically inactive persons  total working age population (%)";"..Men";1.0;..;..;..;1.2;..;1.2;1.2;1.3;1.5;1.9;2.5;3.0;2.9;2.8;2.9;2.9;3.1;3.1;2.8;3.1;2.8;2.4;2.6
"Share of economically inactive persons  total working age population (%)";"..Women";35.0;..;..;..;32.9;..;31.3;30.1;31.9;33.1;31.8;31.5;31.6;32.3;31.4;31.0;30.8;30.7;30.3;29.8;29.2;29.8;32.0;30.3
"Share of economically inactive persons  total working age population (%)";"..15-24 years old";9.9;..;..;..;10.5;..;9.1;9.0;9.8;11.4;11.1;12.0;12.5;12.7;12.2;12.2;12.2;12.6;12.1;11.7;11.3;11.5;11.1;9.7
"Share of economically inactive persons  total working age population (%)";"..25-54";22.2;..;..;..;20.2;..;19.9;19.1;20.1;20.5;20.5;20.4;20.5;20.8;20.3;20.2;19.9;19.9;19.8;19.3;19.3;19.4;20.8;20.3
"Share of economically inactive persons  total working age population (%)";"..55+";20.1;..;..;..;19.2;..;18.1;17.1;18.3;17.5;15.7;15.2;15.8;16.1;15.8;15.0;15.3;15.1;14.8;15.0;14.8;14.5;15.8;15.1
"Percent distribution of economically inactive persons due to household/family duties";"TOTAL";100.0;..;..;..;100.0;..;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Percent distribution of economically inactive persons due to household/family duties";"..Men";2.8;..;..;..;3.6;..;3.8;3.8;3.8;4.2;5.7;7.4;8.7;8.1;8.1;8.4;8.5;9.0;9.1;8.6;9.6;8.5;7.1;7.9
"Percent distribution of economically inactive persons due to household/family duties";"..Women";97.2;..;..;..;96.4;..;96.2;96.2;96.2;95.8;94.3;92.6;91.3;91.9;91.9;91.6;91.5;91.0;90.9;91.4;90.4;91.5;92.9;92.1
"Percent distribution of economically inactive persons due to household/family duties";"..15-24 years old";17.1;..;..;..;18.3;..;17.0;17.3;17.8;19.9;19.7;21.6;22.1;21.9;21.5;21.5;21.7;22.3;21.8;21.5;20.9;20.4;18.3;16.5
"Percent distribution of economically inactive persons due to household/family duties";"..25-54";64.7;..;..;..;63.7;..;64.5;64.3;64.5;65.1;66.3;65.6;64.7;64.5;64.7;64.9;64.4;64.1;64.6;64.5;65.0;64.3;65.5;67.1
"Percent distribution of economically inactive persons due to household/family duties";"..55+";18.2;..;..;..;18.0;..;18.5;18.5;17.7;15.1;14.0;12.8;13.3;13.5;13.9;13.6;13.9;13.6;13.6;14.1;14.0;15.3;16.2;16.4
"Total Economically Inactive Persons Due to Household/Family Duties (000)";"TOTAL";7765.0;..;..;..;8102.0;..;7985.0;7900.0;8627.0;9202.0;9197.0;9437.0;9814.0;10222.0;10177.0;10314.0;10449.0;10670.0;10718.0;10493.0;10501.8;11125.9;12009.4;11721.5
"Total Economically Inactive Persons Due to Household/Family Duties (000)";"..Men";215.0;..;..;..;293.0;..;304.0;298.0;328.0;386.0;525.0;701.0;857.0;824.0;826.0;870.0;884.0;962.0;977.0;907.0;1003.2;943.9;850.9;930.7
"Total Economically Inactive Persons Due to Household/Family Duties (000)";"..Women";7549.0;..;..;..;7810.0;..;7681.0;7602.0;8299.0;8816.0;8673.0;8735.0;8958.0;9398.0;9352.0;9445.0;9565.0;9708.0;9741.0;9587.0;9498.6;10182.0;11158.5;10790.8
"Total Economically Inactive Persons Due to Household/Family Duties (000)";"..15-24 years old";1328.0;..;..;..;1481.0;..;1359.0;1365.0;1536.0;1830.0;1810.0;2034.0;2166.0;2241.0;2184.0;2220.0;2268.0;2377.0;2340.0;2252.0;2198.9;2269.2;2197.2;1929.3
"Total Economically Inactive Persons Due to Household/Family Duties (000)";"..25-54";5025.0;..;..;..;5165.0;..;5151.0;5076.0;5565.0;5986.0;6098.0;6195.0;6345.0;6596.0;6584.0;6696.0;6730.0;6839.0;6924.0;6764.0;6828.7;7157.3;7871.1;7867.5
"Total Economically Inactive Persons Due to Household/Family Duties (000)";"..55+";1411.0;..;..;..;1457.0;..;1476.0;1459.0;1526.0;1387.0;1290.0;1208.0;1303.0;1385.0;1410.0;1398.0;1451.0;1454.0;1454.0;1477.0;1474.2;1699.4;1941.0;1924.7
"Total Working Age Population (000)";"TOTAL";43156.0;44599.0;44658.0;45964.0;47270.0;48587.0;48929.0;50344.0;51793.0;53144.0;54388.0;55230.0;56565.0;57848.0;59237.0;60717.0;61882.0;62985.0;64173.0;64033.0;64936.2;68310.6;69890.7;71339.4
"Total Working Age Population (000)";"..Men";21565.0;22307.0;22232.0;22818.0;23568.0;24245.0;24396.0;25108.0;25799.0;26485.0;27111.0;27521.0;28184.0;28784.0;29464.0;30223.0;30805.0;31369.0;31974.0;31905.0;32416.9;34184.1;35003.8;35781.9
"Total Working Age Population (000)";"..Women";21591.0;22292.0;22426.0;23147.0;23704.0;24342.0;24532.0;25237.0;25994.0;26660.0;27277.0;27708.0;28381.0;29064.0;29773.0;30493.0;31076.0;31616.0;32199.0;32128.0;32519.3;34126.6;34886.9;35557.5
"Total Working Age Population (000)";"..15-24 years old";13473.0;13969.0;13663.0;13927.0;14084.0;14687.0;14908.0;15203.0;15738.0;16088.0;16344.0;16967.0;17275.0;17594.0;17910.0;18220.0;18576.0;18928.0;19285.0;19223.0;19521.8;19669.4;19733.8;19858.8
"Total Working Age Population (000)";"..25-54";22680.0;23712.0;24291.0;24855.0;25600.0;26078.0;25861.0;26597.0;27706.0;29129.0;29814.0;30303.0;31023.0;31664.0;32393.0;33201.0;33820.0;34403.0;35048.0;34991.0;35452.9;36940.2;37907.3;38731.1
"Total Working Age Population (000)";"..55+";7003.0;6918.0;6704.0;7184.0;7586.0;7822.0;8160.0;8545.0;8350.0;7926.0;8230.0;7960.0;8268.0;8590.0;8935.0;9295.0;9486.0;9655.0;9840.0;9819.0;9961.5;11701.0;12249.6;12749.4
