"Employed by Hours Actually Worked per Week in All Jobs by Sex"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E4/0433K3E4030.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Sexes";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"TOTAL";"TOTAL";..;..;..;..;..;..;..;..;..;..;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"TOTAL";"..Less Than 20 Hours";..;..;..;..;..;..;..;..;..;..;11.9;12.5;11.5;11.1;11.9;11.1;12.1;12.5;11.7;12.9;12.7;11.6;12.6;11.8
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"TOTAL";"..20-29";..;..;..;..;..;..;..;..;..;..;10.5;11.0;10.9;10.2;10.8;10.3;10.4;10.7;10.0;10.7;10.5;9.3;9.8;8.7
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"TOTAL";"..30-39";..;..;..;..;..;..;..;..;..;..;11.3;11.3;11.6;11.3;11.7;11.3;11.0;11.4;10.9;11.0;10.5;9.6;9.9;8.7
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"TOTAL";"..40-48";..;..;..;..;..;..;..;..;..;..;39.0;38.4;39.8;41.0;39.5;41.7;41.3;39.6;41.8;41.0;42.4;43.7;44.0;46.5
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"TOTAL";"..49+";..;..;..;..;..;..;..;..;..;..;26.0;25.3;25.0;25.2;24.7;24.6;24.0;24.7;24.7;23.2;22.8;25.0;22.8;23.5
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"TOTAL";"..Not Reported";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"TOTAL";"..Did Not Work";..;..;..;..;..;..;..;..;..;..;1.3;1.4;1.2;1.3;1.5;1.1;1.1;1.1;1.0;1.2;1.0;0.8;0.8;0.8
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"Men";"TOTAL";..;..;..;..;..;..;..;..;..;..;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"Men";"..Less Than 20 Hours";..;..;..;..;..;..;..;..;..;..;9.8;10.5;9.6;9.1;9.9;9.1;10.1;10.5;9.6;10.8;10.5;9.3;10.8;9.6
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"Men";"..20-29";..;..;..;..;..;..;..;..;..;..;10.1;10.7;10.5;9.8;10.6;9.9;10.1;10.4;9.9;10.6;10.3;9.2;10.0;8.7
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"Men";"..30-39";..;..;..;..;..;..;..;..;..;..;12.5;12.6;12.7;12.4;12.9;12.5;12.3;12.6;12.0;12.1;11.8;10.6;11.1;9.5
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"Men";"..40-48";..;..;..;..;..;..;..;..;..;..;41.8;41.3;42.8;44.1;42.4;44.7;44.3;42.4;44.4;44.1;45.3;46.5;46.5;49.4
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"Men";"..49+";..;..;..;..;..;..;..;..;..;..;24.6;23.6;23.3;23.4;22.8;22.7;22.1;23.0;23.2;21.4;21.2;23.6;20.9;22.0
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"Men";"..Not Reported";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"Men";"..Did Not Work";..;..;..;..;..;..;..;..;..;..;1.2;1.3;1.1;1.2;1.4;1.1;1.1;1.0;0.9;1.1;0.9;0.7;0.8;0.7
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"Women";"TOTAL";..;..;..;..;..;..;..;..;..;..;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"Women";"..Less Than 20 Hours";..;..;..;..;..;..;..;..;..;..;15.2;15.7;14.6;14.1;14.9;14.0;15.2;15.7;14.9;16.2;16.0;15.1;15.7;15.3
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"Women";"..20-29";..;..;..;..;..;..;..;..;..;..;11.0;11.5;11.5;10.8;11.2;10.8;10.9;11.1;10.2;10.9;10.7;9.6;9.4;8.5
"Percentage distribution of employed by hours actually worked per week in all jobs - Both Sexes";"Women";"..30-39";..;..;..;..;..;..;..;..;..;..;9.4;9.4;9.9;9.5;9.8;9.4;9.1;9.4;9.0;9.3;8.6;8.2;7.8;7.4
