"Employed by Hours Actually Worked per Week in Primary Job by Sex"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E4/0423K3E4020.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Sexes";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Percentage distribution of employed by hours actually worked per week in primary job - Both Sexes";"TOTAL";"TOTAL";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Percentage distribution of employed by hours actually worked per week in primary job - Both Sexes";"TOTAL";"..Less Than 20 Hours";9.4;10.9;9.9;10.4;10.4;10.1;12.7;13.5;13.1;13.8;13.2;14.0;12.9;12.4;13.3;12.4;13.7;14.0;13.1;14.4;14.1;12.9;13.8;12.9
"Percentage distribution of employed by hours actually worked per week in primary job - Both Sexes";"TOTAL";"..20-29";11.4;12.0;10.4;11.2;11.2;10.8;12.3;12.1;11.9;11.7;11.4;11.9;11.8;11.1;11.8;11.2;11.3;11.5;10.8;11.4;11.2;10.0;10.3;9.1
"Percentage distribution of employed by hours actually worked per week in primary job - Both Sexes";"TOTAL";"..30-39";13.2;13.4;12.2;12.4;12.9;11.9;12.4;11.9;11.9;11.2;11.4;11.5;11.9;11.6;11.8;11.5;11.2;11.5;11.0;11.0;10.5;9.7;9.8;8.8
"Percentage distribution of employed by hours actually worked per week in primary job - Both Sexes";"TOTAL";"..40-48";42.4;41.1;43.1;42.1;42.5;41.9;39.3;38.2;38.9;38.0;38.9;38.0;39.5;40.6;39.0;41.2;40.8;39.2;41.5;40.6;42.1;43.7;43.9;46.7
"Percentage distribution of employed by hours actually worked per week in primary job - Both Sexes";"TOTAL";"..49+";22.4;21.5;23.2;22.1;21.6;24.0;21.5;22.2;22.6;23.2;23.6;23.0;22.6;23.0;22.5;22.3;21.7;22.5;22.5;21.3;20.9;22.7;21.3;21.7
"Percentage distribution of employed by hours actually worked per week in primary job - Both Sexes";"TOTAL";"..Not Reported";....;....;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Percentage distribution of employed by hours actually worked per week in primary job - Both Sexes";"TOTAL";"..Did Not Work";1.2;1.1;1.3;1.8;1.5;1.3;1.8;2.1;1.6;2.0;1.5;1.6;1.4;1.5;1.6;1.3;1.3;1.3;1.1;1.3;1.2;1.0;0.9;0.9
"Percentage distribution of employed by hours actually worked per week in primary job - Both Sexes";"Men";"TOTAL";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Percentage distribution of employed by hours actually worked per week in primary job - Both Sexes";"Men";"..Less Than 20 Hours";7.3;8.3;7.5;8.6;8.2;8.3;10.7;11.6;11.2;12.1;11.3;12.1;11.1;10.6;11.5;10.6;11.8;12.2;11.3;12.5;12.2;10.9;12.1;10.9
"Percentage distribution of employed by hours actually worked per week in primary job - Both Sexes";"Men";"..20-29";10.2;11.1;9.4;10.4;10.5;10.4;12.3;12.2;11.9;11.9;11.5;12.0;11.8;11.0;11.9;11.2;11.4;11.7;11.1;11.7;11.4;10.1;10.7;9.4
"Percentage distribution of employed by hours actually worked per week in primary job - Both Sexes";"Men";"..30-39";14.1;14.5;13.1;13.6;14.0;13.1;14.0;13.4;13.3;12.6;12.9;13.0;13.3;13.0;13.4;13.0;12.7;12.9;12.4;12.3;11.9;10.8;11.1;9.7
"Percentage distribution of employed by hours actually worked per week in primary job - Both Sexes";"Men";"..40-48";46.6;45.4;47.2;45.9;46.4;45.1;42.7;41.3;41.9;40.9;41.5;40.8;42.4;43.6;41.8;44.2;43.7;41.9;44.0;43.5;44.8;46.6;46.3;49.6
"Percentage distribution of employed by hours actually worked per week in primary job - Both Sexes";"Men";"..49+";20.8;19.8;21.7;20.0;19.5;21.9;18.6;19.5;20.1;20.6;21.3;20.5;20.1;20.3;19.8;19.7;19.1;20.1;20.2;18.8;18.6;20.7;18.9;19.6
