"Employed Persons Who are Household Heads"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Employed Who are Household Heads, % of Employed";"TOTAL";43.9;43.9;44.8;44.4;43.7;43.9;42.4;41.6;44.0;45.0;43.5;42.4;41.8;41.4;40.6;40.2;39.7;39.5;39.5;38.7;38.7;43.8;45.0;44.0
"Employed Who are Household Heads, % of Employed";"..Men";62.2;63.0;64.0;63.3;62.6;62.3;61.1;60.6;63.3;64.3;62.9;61.5;60.4;59.5;58.4;57.8;57.0;56.5;56.3;55.4;55.4;61.6;61.8;60.6
"Employed Who are Household Heads, % of Employed";"..Women";11.9;11.2;12.2;12.5;12.6;13.0;12.4;11.9;13.1;13.2;12.4;12.2;12.5;12.5;12.6;13.0;13.0;13.1;13.6;13.2;13.2;15.9;17.3;17.1
"Employed Who are Household Heads, % of Employed";"..15-24 years old";2.7;4.9;5.4;4.1;3.7;3.2;2.5;2.3;5.8;7.0;5.4;4.3;3.7;3.5;3.5;3.5;3.7;3.8;4.1;3.9;4.0;8.6;9.0;7.0
"Employed Who are Household Heads, % of Employed";"..25-54";51.5;51.6;52.5;51.5;50.2;50.0;48.5;47.0;49.9;51.3;49.5;48.5;47.6;46.6;45.4;44.6;44.1;43.9;43.7;42.8;42.2;47.6;48.7;47.1
"Employed Who are Household Heads, % of Employed";"..55+";72.9;72.1;71.9;71.7;71.5;72.1;70.7;69.9;70.7;70.8;70.2;69.9;69.7;69.8;69.3;69.5;69.3;69.1;69.1;68.5;69.0;68.5;68.4;68.8
"% Distribution";"TOTAL";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"% Distribution";"..Men";90.1;90.6;89.9;89.5;89.1;88.9;88.7;88.8;88.6;88.9;89.1;88.9;88.4;88.4;87.9;87.4;87.1;87.0;86.5;86.5;86.5;85.9;85.4;85.2
"% Distribution";"..Women";9.9;9.4;10.1;10.5;10.9;11.1;11.3;11.2;11.4;11.1;10.9;11.1;11.6;11.6;12.1;12.6;12.9;13.0;13.5;13.5;13.5;14.1;14.6;14.8
"% Distribution";"..15-24 years old";1.4;2.5;2.6;2.0;1.8;1.5;1.2;1.1;2.6;3.1;2.5;2.0;1.7;1.6;1.7;1.6;1.8;1.9;2.0;2.0;1.9;3.5;3.4;2.6
"% Distribution";"..25-54";74.2;74.6;75.6;75.0;74.4;74.3;73.7;73.1;74.0;75.7;75.5;76.7;76.3;75.9;75.1;74.5;74.2;74.4;74.2;74.1;73.7;72.8;73.8;73.4
"% Distribution";"..55+";24.5;22.9;21.8;23.0;23.8;24.2;25.1;25.8;23.4;21.2;22.0;21.3;22.0;22.5;23.2;23.9;24.0;23.8;23.8;24.0;24.4;23.7;22.9;24.0
"Total Employed Who are Household Heads (000)";"TOTAL";11267.0;11938.0;11820.0;11827.0;12125.0;12039.0;12354.0;12493.0;13491.0;14211.0;14071.0;13838.0;14030.0;14102.0;14227.0;14504.0;14765.0;14849.0;15064.0;14965.0;15001.1;17974.0;18146.0;18101.4
"Total Employed Who are Household Heads (000)";"..Men";10153.0;10813.0;10626.0;10583.0;10804.0;10706.0;10957.0;11090.0;11953.0;12637.0;12531.0;12298.0;12405.0;12463.0;12504.0;12675.0;12864.0;12919.0;13026.0;12951.0;12974.5;15433.6;15498.1;15418.2
"Total Employed Who are Household Heads (000)";"..Women";1113.0;1125.0;1194.0;1243.0;1322.0;1333.0;1396.0;1403.0;1538.0;1574.0;1540.0;1540.0;1625.0;1638.0;1723.0;1829.0;1902.0;1930.0;2038.0;2014.0;2026.5;2540.3;2647.9;2683.1
"Total Employed Who are Household Heads (000)";"..15-24 years old";154.0;298.0;310.0;232.0;214.0;178.0;150.0;139.0;355.0;446.0;349.0;280.0;244.0;228.0;235.0;236.0;269.0;278.0;298.0;294.0;288.2;623.2;612.1;464.8
"Total Employed Who are Household Heads (000)";"..25-54";8358.0;8906.0;8937.0;8874.0;9026.0;8950.0;9105.0;9132.0;9984.0;10751.0;10627.0;10614.0;10706.0;10700.0;10690.0;10802.0;10958.0;11041.0;11185.0;11082.0;11052.7;13084.2;13385.2;13285.6
"Total Employed Who are Household Heads (000)";"..55+";2755.0;2733.0;2573.0;2721.0;2885.0;2912.0;3099.0;3223.0;3152.0;3013.0;3095.0;2945.0;3080.0;3173.0;3302.0;3466.0;3538.0;3530.0;3581.0;3589.0;3660.2;4266.6;4148.7;4350.9
"Total Employed (000)";"TOTAL";25677.0;27186.0;26365.0;26631.0;27742.0;27452.0;29156.0;30062.0;30635.0;31613.0;32313.0;32636.0;33560.0;34089.0;35061.0;36035.0;37192.0;37600.0;38118.0;38651.0;38740.8;40998.0;40334.0;41156.5
"Total Employed (000)";"..Men";16322.0;17170.0;16610.0;16714.0;17253.0;17193.0;17923.0;18306.0;18873.0;19646.0;19910.0;20013.0;20542.0;20959.0;21404.0;21921.0;22573.0;22849.0;23150.0;23365.0;23405.8;25034.8;25066.9;25424.3
