"Employed Persons Who are Married by Sex and Age Group"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Share of Employed Persons Who are Married, to the Total Employment (%)";"TOTAL";63.7;64.0;65.0;64.9;64.7;64.7;64.0;64.3;65.4;66.2;65.6;65.4;64.9;64.7;64.7;64.4;63.8;63.8;63.6;63.3;63.2;65.7;66.1;65.9
"Share of Employed Persons Who are Married, to the Total Employment (%)";"..Men";66.2;66.6;68.1;68.0;67.2;67.6;66.5;66.4;67.9;68.8;67.9;67.5;66.9;66.5;66.3;66.0;65.4;65.5;65.1;64.6;64.7;67.7;68.5;68.0
"Share of Employed Persons Who are Married, to the Total Employment (%)";"..Women";59.5;59.6;59.7;59.9;60.4;59.8;60.0;60.9;61.3;61.9;61.9;62.2;61.9;61.8;62.1;61.8;61.4;61.3;61.3;61.3;60.9;62.5;62.2;62.5
"Share of Employed Persons Who are Married, to the Total Employment (%)";"..15-24 years old";10.3;13.4;14.4;13.2;12.8;12.5;11.7;11.9;15.1;17.3;15.5;15.0;14.5;14.1;14.6;14.8;15.2;16.0;16.4;16.5;16.7;20.9;21.1;19.9
"Share of Employed Persons Who are Married, to the Total Employment (%)";"..25-54";79.1;78.9;79.5;79.0;78.4;78.2;77.9;77.6;78.4;79.1;78.4;78.4;77.6;77.0;76.7;75.9;75.7;75.4;74.8;74.5;73.7;75.5;75.2;74.7
"Share of Employed Persons Who are Married, to the Total Employment (%)";"..55+";77.8;77.6;77.2;77.6;77.1;76.2;76.1;76.4;76.3;75.9;76.2;76.1;76.1;75.9;75.7;75.8;75.5;75.3;74.9;75.2;74.8;74.4;75.2;74.3
"Percent Distribution of Employed Persons Who are Married";"TOTAL";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Percent Distribution of Employed Persons Who are Married";"..Men";66.0;65.7;66.0;65.7;64.7;65.5;63.9;63.0;64.0;64.6;63.8;63.2;63.0;63.2;62.6;62.4;62.2;62.3;62.2;61.7;61.8;62.9;64.4;61.8
"Percent Distribution of Employed Persons Who are Married";"..Women";34.0;34.3;34.0;34.3;35.3;34.5;36.1;37.0;36.0;35.4;36.2;36.8;37.0;36.8;37.4;37.6;37.8;37.7;37.8;38.3;38.2;37.1;35.6;38.2
"Percent Distribution of Employed Persons Who are Married";"..15-24 years old";3.6;4.7;4.8;4.3;4.1;3.9;3.7;3.7;4.6;5.3;4.7;4.6;4.4;4.2;4.3;4.4;4.6;4.9;5.0;5.1;5.0;5.6;5.4;4.9
"Percent Distribution of Employed Persons Who are Married";"..25-54";78.4;78.4;79.0;78.7;78.6;78.8;78.4;78.1;78.4;79.3;79.5;80.4;80.2;80.1;79.8;79.3;79.1;79.1;79.0;78.8;78.8;77.1;77.5;77.8
"Percent Distribution of Employed Persons Who are Married";"..55+";18.0;16.9;16.1;17.0;17.4;17.3;17.9;18.2;17.0;15.4;15.9;15.0;15.4;15.7;15.9;16.3;16.2;16.0;16.0;16.1;16.2;17.2;17.1;17.3
"Total Employed Persons Who are Married (000)";"TOTAL";16359.0;17397.0;17129.0;17296.0;17940.0;17761.0;18654.0;19321.0;20037.0;20921.0;21196.0;21351.0;21797.0;22055.0;22671.0;23191.0;23747.0;23997.0;24231.0;24469.0;24481.4;26934.6;26654.1;27103.4
"Total Employed Persons Who are Married (000)";"..Men";10798.0;11431.0;11306.0;11359.0;11600.0;11630.0;11919.0;12164.0;12824.0;13508.0;13513.0;13501.0;13743.0;13947.0;14184.0;14464.0;14770.0;14956.0;15061.0;15097.0;15140.7;16950.4;17165.6;17275.9
"Total Employed Persons Who are Married (000)";"..Women";5562.0;5965.0;5823.0;5937.0;6340.0;6131.0;6735.0;7157.0;7214.0;7414.0;7683.0;7850.0;8054.0;8108.0;8487.0;8727.0;8977.0;9041.0;9171.0;9372.0;9340.7;9984.2;9488.5;9827.5
"Total Employed Persons Who are Married (000)";"..15-24 years old";586.0;824.0;828.0;740.0;730.0;693.0;699.0;719.0;929.0;1102.0;994.0;982.0;959.0;926.0;985.0;1010.0;1102.0;1173.0;1203.0;1239.0;1212.9;1521.4;1431.6;1320.1
"Total Employed Persons Who are Married (000)";"..25-54";12832.0;13632.0;13538.0;13612.0;14097.0;13989.0;14623.0;15081.0;15706.0;16587.0;16842.0;17164.0;17475.0;17676.0;18081.0;18401.0;18790.0;18979.0;19147.0;19292.0;19302.1;20774.1;20663.3;21090.2
"Total Employed Persons Who are Married (000)";"..55+";2941.0;2941.0;2763.0;2944.0;3113.0;3078.0;3333.0;3521.0;3401.0;3232.0;3360.0;3206.0;3361.0;3452.0;3605.0;3780.0;3855.0;3845.0;3881.0;3938.0;3966.4;4639.2;4559.3;4693.1
"Total Employment (000)";"TOTAL";25677.0;27186.0;26365.0;26631.0;27742.0;27452.0;29156.0;30062.0;30635.0;31613.0;32313.0;32636.0;33560.0;34089.0;35061.0;36035.0;37192.0;37600.0;38118.0;38651.0;38740.8;40998.0;40334.0;41156.5
"Total Employment (000)";"..Men";16322.0;17170.0;16610.0;16714.0;17253.0;17193.0;17923.0;18306.0;18873.0;19646.0;19910.0;20013.0;20542.0;20959.0;21404.0;21921.0;22573.0;22849.0;23150.0;23365.0;23405.8;25034.8;25066.9;25424.3
"Total Employment (000)";"..Women";9354.0;10016.0;9754.0;9917.0;10489.0;10259.0;11232.0;11756.0;11762.0;11968.0;12403.0;12622.0;13018.0;13129.0;13657.0;14114.0;14619.0;14751.0;14968.0;15286.0;15335.0;15963.2;15267.1;15732.2
"Total Employment (000)";"..15-24 years old";5679.0;6129.0;5760.0;5602.0;5714.0;5524.0;5992.0;6027.0;6154.0;6387.0;6430.0;6532.0;6628.0;6579.0;6731.0;6816.0;7258.0;7322.0;7335.0;7508.0;7254.6;7265.5;6779.5;6619.7
"Total Employment (000)";"..25-54";16218.0;17269.0;17027.0;17234.0;17991.0;17887.0;18782.0;19424.0;20025.0;20970.0;21472.0;21889.0;22515.0;22962.0;23568.0;24233.0;24829.0;25174.0;25602.0;25905.0;26181.6;27500.1;27492.0;28217.2
"Total Employment (000)";"..55+";3779.0;3789.0;3577.0;3795.0;4036.0;4040.0;4382.0;4611.0;4456.0;4257.0;4411.0;4215.0;4418.0;4547.0;4762.0;4985.0;5106.0;5105.0;5180.0;5238.0;5304.7;6232.4;6062.4;6319.6
