"Employed with Excessive Hours (More Than 48 Hours Actually Worked per Week) in Primary Job by Sex, Branch of Economic Activity and Class of Worker"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Percentage share of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"TOTAL";22.4;21.5;23.2;22.1;21.6;24.0;21.5;22.2;22.6;23.2;23.6;23.0;22.6;23.0;22.5;22.3;21.7;22.5;22.5;21.3;20.9;22.7;21.3;21.7
"Percentage share of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"..Men";20.8;19.8;21.7;20.0;19.5;21.9;18.6;19.5;20.1;20.6;21.3;20.5;20.1;20.3;19.8;19.7;19.1;20.1;20.2;18.8;18.6;20.7;18.9;19.6
"Percentage share of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"..Women";25.1;24.4;25.8;25.6;25.0;27.5;26.0;26.5;26.5;27.5;27.3;26.9;26.6;27.1;26.6;26.4;25.8;26.3;25.9;25.1;24.4;26.0;25.3;25.0
"Percentage share of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"..Agriculture";12.3;11.1;12.6;10.6;10.2;13.0;8.9;9.4;10.2;10.2;10.6;9.5;9.2;9.1;8.3;8.2;7.8;8.7;8.6;7.2;7.2;9.5;8.6;10.1
"Percentage share of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"..Industry";13.8;13.1;14.6;12.5;11.4;14.9;12.0;13.4;13.2;14.9;15.9;15.6;14.5;13.9;13.4;13.9;13.1;14.4;14.8;13.5;12.9;14.8;13.2;14.3
"Percentage share of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"..Services";36.6;35.6;36.4;35.3;35.1;35.9;34.8;35.2;35.3;35.7;35.7;35.2;34.6;35.4;34.6;33.8;33.0;33.3;32.8;31.7;30.6;31.6;29.7;29.2
"Percentage share of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"..Wage and Salary Workers";21.0;20.6;22.3;20.7;20.2;22.1;19.7;20.7;21.3;22.1;22.9;22.3;21.5;21.5;21.3;20.5;19.9;20.7;20.4;19.2;18.6;20.1;18.4;18.5
"Percentage share of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"..Employers";26.1;22.1;27.0;25.7;21.0;23.5;18.9;19.5;19.0;19.5;22.0;22.1;22.9;22.4;22.7;22.2;23.4;22.9;22.0;19.8;20.6;23.6;22.2;21.9
"Percentage share of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"..Self-Employed";28.2;27.3;28.6;27.7;28.0;30.6;28.6;28.8;29.0;29.4;28.6;27.9;28.4;29.6;28.8;29.5;28.8;29.8;30.5;29.5;29.1;31.1;29.8;30.9
"Percentage share of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"..Unpaid Family Workers";11.6;11.1;12.3;12.0;11.5;14.9;11.4;12.8;12.3;12.8;13.7;13.0;12.6;12.5;11.8;12.5;11.7;12.8;12.7;11.5;12.2;14.2;12.4;13.3
"Number of employed with excessive hours in primary job by sex, branch of economic activity and class of worker (000)";"TOTAL";5742;5836;6114;5876;5981;6589;6261;6683;6921;7348;7629;7495;7601;7824;7883;8048;8081;8461;8561;8233;8105;9323;8607;8928
"Number of employed with excessive hours in primary job by sex, branch of economic activity and class of worker (000)";"..Men";3394;3392;3602;3336;3359;3772;3335;3573;3802;4054;4242;4105;4136;4263;4245;4318;4311;4586;4679;4401;4358;5177;4744;4989
"Number of employed with excessive hours in primary job by sex, branch of economic activity and class of worker (000)";"..Women";2348;2444;2512;2540;2621;2817;2925;3110;3119;3294;3387;3390;3465;3562;3638;3730;3770;3875;3882;3832;3747;4146;3863;3939
