"Employed with Excessive Hours (More Than 48 Hours Actually Worked per Week) in Primary Job by Sex, Branch of Economic Activity and Class of Worker"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E4/0453K3E4050.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Percentage distribution of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"TOTAL";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Percentage distribution of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"..Men";59.1;58.1;58.9;56.8;56.2;57.2;53.3;53.5;54.9;55.2;55.6;54.8;54.4;54.5;53.9;53.7;53.3;54.2;54.7;53.5;53.8;55.5;55.1;55.9
"Percentage distribution of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"..Women";40.9;41.9;41.1;43.2;43.8;42.8;46.7;46.5;45.1;44.8;44.4;45.2;45.6;45.5;46.1;46.3;46.7;45.8;45.3;46.5;46.2;44.5;44.9;44.1
"Percentage distribution of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";".. Agriculture";23.9;22.2;21.4;18.2;18.4;20.1;15.4;15.6;16.5;15.8;16.2;14.8;14.3;14.0;12.6;12.2;11.8;12.5;11.8;10.3;10.1;11.3;10.2;11.3
"Percentage distribution of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"..Industry";9.9;10.0;11.0;9.6;8.6;10.1;9.0;9.4;9.2;10.1;10.5;10.4;9.8;9.0;8.7;9.3;9.0;9.8;10.2;10.1;10.0;11.4;11.3;12.5
"Percentage distribution of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"..Services";66.1;67.9;67.6;72.1;73.0;69.9;75.5;75.0;74.3;74.1;73.3;74.8;75.9;77.0;78.7;78.5;79.3;77.8;77.9;79.6;80.0;77.3;78.5;76.2
"Percentage distribution of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"..Wage and Salary Workers";43.5;44.6;47.5;46.8;46.5;46.6;45.5;45.5;47.3;49.5;49.0;49.6;49.5;49.0;50.4;50.0;50.6;52.7;53.0;52.3;52.6;54.5;53.8;54.5
"Percentage distribution of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"..Employers";4.1;3.8;4.2;4.2;4.7;4.7;4.7;4.8;4.4;4.3;4.4;4.2;4.3;4.1;4.1;3.8;3.9;3.6;3.3;2.9;3.1;3.5;3.8;3.7
"Percentage distribution of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"..Self-Employed";44.8;43.6;41.1;41.8;41.5;41.1;42.9;42.0;41.6;40.1;39.6;39.2;39.5;40.3;39.1;39.8;39.2;37.4;38.0;38.9;38.5;37.0;38.8;38.4
"Percentage distribution of employed with excessive hours in primary job by sex, branch of economic activity and class of worker";"..Unpaid Family Workers";7.7;8.0;7.2;7.1;7.3;7.6;6.9;7.7;6.7;6.2;7.0;6.9;6.7;6.7;6.3;6.4;6.2;6.3;5.8;5.8;5.8;5.0;3.5;3.5
"Number of employed with excessive hours in primary job by sex, branch of economic activity and class of worker (000)";"TOTAL";5742;5836;6114;5876;5981;6589;6261;6683;6921;7348;7629;7495;7601;7824;7883;8048;8081;8461;8561;8233;8105;9323;8607;8928
"Number of employed with excessive hours in primary job by sex, branch of economic activity and class of worker (000)";"..Men";3394;3392;3602;3336;3359;3772;3335;3573;3802;4054;4242;4105;4136;4263;4245;4318;4311;4586;4679;4401;4358;5177;4744;4989
"Number of employed with excessive hours in primary job by sex, branch of economic activity and class of worker (000)";"..Women";2348;2444;2512;2540;2621;2817;2925;3110;3119;3294;3387;3390;3465;3562;3638;3730;3770;3875;3882;3832;3747;4146;3863;3939
"Number of employed with excessive hours in primary job by sex, branch of economic activity and class of worker (000)";".. Agriculture";1374;1294;1309;1071;1099;1322;967;1041;1142;1163;1234;1107;1090;1093;997;979;952;1054;1012;850;815;1054;881;1007
"Number of employed with excessive hours in primary job by sex, branch of economic activity and class of worker (000)";"..Industry";570;582;671;567;515;664;564;628;638;743;800;779;742;704;683;752;724;827;877;833;807;1063;972;1119
"Number of employed with excessive hours in primary job by sex, branch of economic activity and class of worker (000)";"..Services";3798;3960;4134;4238;4367;4604;4729;5014;5140;5442;5595;5610;5770;6027;6203;6317;6405;6579;6672;6550;6484;7206;6753;6802
"Number of employed with excessive hours in primary job by sex, branch of economic activity and class of worker (000)";"..Wage and Salary Workers";2498;2605;2903;2751;2782;3071;2850;3039;3276;3639;3738;3720;3759;3832;3973;4022;4092;4456;4534;4309;4264;5080;4633;4865
"Number of employed with excessive hours in primary job by sex, branch of economic activity and class of worker (000)";"..Employers";233;220;256;248;282;309;293;324;305;313;335;315;328;319;327;309;317;306;280;240;250;325;331;326
"Number of employed with excessive hours in primary job by sex, branch of economic activity and class of worker (000)";"..Self-Employed";2570;2544;2512;2459;2482;2710;2684;2807;2877;2943;3023;2940;3005;3153;3085;3200;3171;3168;3249;3205;3118;3451;3342;3428
"Number of employed with excessive hours in primary job by sex, branch of economic activity and class of worker (000)";"..Unpaid Family Workers";441;467;443;419;434;499;433;513;463;453;532;520;509;521;498;518;502;531;498;479;472;467;301;309
