"Employed with Excessive Hours (More Than 48 Hours Actually Worked per Week) in All Jobs by Sex, Branch of Economic Activity and Class of Worker"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E4/0413K3E4010.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Percentage share of employed with excessive hours in all jobs by sex,  branch of economic activity and class of worker";"TOTAL";..;..;..;..;..;..;..;..;..;..;26.0;25.3;25.0;25.2;24.7;24.6;24.0;24.7;24.7;23.2;22.8;25.0;22.8;23.5
"Percentage share of employed with excessive hours in all jobs by sex,  branch of economic activity and class of worker";"..Men";..;..;..;..;..;..;..;..;..;..;24.6;23.6;23.3;23.4;22.8;22.7;22.1;23.0;23.2;21.4;21.2;23.6;20.9;22.0
"Percentage share of employed with excessive hours in all jobs by sex,  branch of economic activity and class of worker";"..Women";..;..;..;..;..;..;..;..;..;..;28.3;28.0;27.8;28.1;27.6;27.5;26.9;27.4;27.0;26.0;25.4;27.1;26.1;26.0
"Percentage share of employed with excessive hours in all jobs by sex,  branch of economic activity and class of worker";"..Agriculture";..;..;..;..;..;..;..;..;..;..;14.2;13.1;13.0;12.7;11.7;11.7;11.3;12.3;12.1;10.3;10.2;13.3;11.1;13.2
"Percentage share of employed with excessive hours in all jobs by sex,  branch of economic activity and class of worker";"..Industry";..;..;..;..;..;..;..;..;..;..;18.3;17.4;16.3;15.7;15.4;15.8;15.0;16.5;16.7;15.3;14.8;17.0;14.6;16.1
"Percentage share of employed with excessive hours in all jobs by sex,  branch of economic activity and class of worker";"..Services";..;..;..;..;..;..;..;..;..;..;37.3;36.7;36.2;36.9;36.1;35.3;34.6;34.8;34.3;33.0;32.0;33.1;30.8;30.5
"Percentage share of employed with excessive hours in all jobs by sex,  branch of economic activity and class of worker";"..Wage and Salary Workers";..;..;..;..;..;..;..;..;..;..;25.0;24.2;23.4;23.2;23.0;22.3;21.7;22.7;22.2;20.9;20.2;22.0;19.6;20.1
"Percentage share of employed with excessive hours in all jobs by sex,  branch of economic activity and class of worker";"..Employers";..;..;..;..;..;..;..;..;..;..;27.0;26.3;27.2;26.3;26.7;25.9;26.9;26.4;25.9;22.5;23.7;27.2;24.4;24.8
"Percentage share of employed with excessive hours in all jobs by sex,  branch of economic activity and class of worker";"..Self-Employed";..;..;..;..;..;..;..;..;..;..;31.4;31.1;31.7;32.7;31.9;32.6;32.1;32.8;33.7;32.3;31.9;34.3;31.9;33.5
"Percentage share of employed with excessive hours in all jobs by sex,  branch of economic activity and class of worker";"..Unpaid Family Workers";..;..;..;..;..;..;..;..;..;..;15.2;14.4;14.0;14.1;13.3;14.0;13.1;14.2;14.0;12.5;13.2;15.5;13.2;14.1
"Number of employed with excessive hours in all jobs by sex,  branch of economic activity and  class of worker (000)";"TOTAL";..;..;..;..;..;..;..;..;..;..;8467;8264;8395;8595;8660;8848;8923;9304;9413;8980;8845;10231;9213;9692
"Number of employed with excessive hours in all jobs by sex,  branch of economic activity and  class of worker (000)";"..Men";..;..;..;..;..;..;..;..;..;..;4902;4725;4781;4901;4884;4969;4989;5264;5371;5005;4952;5912;5227;5595
"Number of employed with excessive hours in all jobs by sex,  branch of economic activity and  class of worker (000)";"..Women";..;..;..;..;..;..;..;..;..;..;3564;3539;3614;3694;3776;3880;3934;4040;4042;3976;3893;4319;3986;4096
"Number of employed with excessive hours in all jobs by sex,  branch of economic activity and  class of worker (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;1666;1533;1534;1526;1415;1404;1390;1482;1437;1213;1152;1477;1136;1322
"Number of employed with excessive hours in all jobs by sex,  branch of economic activity and  class of worker (000)";"..Industry";..;..;..;..;..;..;..;..;..;..;920;867;834;792;783;853;831;946;992;942;926;1215;1079;1265
"Number of employed with excessive hours in all jobs by sex,  branch of economic activity and  class of worker (000)";"..Services";..;..;..;..;..;..;..;..;..;..;5881;5864;6027;6277;6462;6592;6703;6876;6984;6825;6767;7540;6998;7105
"Number of employed with excessive hours in all jobs by sex,  branch of economic activity and  class of worker (000)";"..Wage and Salary Workers";..;..;..;..;..;..;..;..;..;..;4099;4039;4092;4149;4299;4368;4464;4872;4939;4672;4636;5543;4951;5276
"Number of employed with excessive hours in all jobs by sex,  branch of economic activity and  class of worker (000)";"..Employers";..;..;..;..;..;..;..;..;..;..;413;375;389;375;384;361;364;353;330;272;287;374;364;370
"Number of employed with excessive hours in all jobs by sex,  branch of economic activity and  class of worker (000)";"..Self-Employed";..;..;..;..;..;..;..;..;..;..;3353;3275;3348;3487;3416;3537;3529;3489;3592;3515;3411;3807;3577;3718
"Number of employed with excessive hours in all jobs by sex,  branch of economic activity and  class of worker (000)";"..Unpaid Family Workers";..;..;..;..;..;..;..;..;..;..;602;576;566;585;561;582;566;590;552;521;510;508;321;328
"Total employed  sex, branch of economic activity and class of worker (000)";"TOTAL";25677;27186;26365;26631;27742;27452;29156;30062;30635;31613;32539;32636;33560;34089;35061;36035;37192;37600;38118;38651;38741;40998;40334;41157
"Total employed  sex, branch of economic activity and class of worker (000)";"..Men";16322;17170;16610;16714;17253;17193;17923;18306;18873;19646;19961;20013;20542;20959;21404;21921;22573;22849;23150;23365;23406;25035;25067;25424
"Total employed  sex, branch of economic activity and class of worker (000)";"..Women";9354;10016;9754;9917;10489;10259;11232;11756;11762;11968;12579;12622;13018;13129;13657;14114;14619;14751;14968;15286;15335;15963;15267;15732
"Total employed  sex, branch of economic activity and class of worker (000)";"..Agriculture";11147;11645;10416;10091;10774;10181;10850;11122;11220;11381;11718;11682;11786;12030;12044;11956;12267;12093;11835;11801;11294;11064;10261;9998
"Total employed  sex, branch of economic activity and class of worker (000)";"..Industry";4140;4431;4582;4542;4515;4454;4713;4695;4840;4999;5040;4997;5121;5048;5092;5399;5530;5743;5937;6167;6275;7159;7370;7846
"Total employed  sex, branch of economic activity and class of worker (000)";"..Services";10391;11112;11367;11998;12452;12817;13593;14246;14577;15237;15782;15957;16654;17012;17924;18682;19394;19764;20345;20683;21172;22775;22703;23312
"Total employed  sex, branch of economic activity and class of worker (000)";"..Wage and Salary Workers";11870;12649;13043;13285;13761;13925;14438;14653;15354;16472;16384;16673;17508;17846;18681;19626;20538;21492;22247;22407;22960;25240;25209;26257
"Total employed  sex, branch of economic activity and class of worker (000)";"..Employers";894;996;949;966;1341;1315;1552;1662;1605;1604;1528;1425;1430;1426;1438;1394;1354;1335;1272;1210;1212;1376;1491;1489
"Total employed  sex, branch of economic activity and class of worker (000)";"..Self-Employed";9111;9330;8774;8891;8864;8869;9375;9737;9912;10011;10669;10525;10570;10654;10724;10858;10994;10626;10668;10869;10705;11097;11198;11090
"Total employed  sex, branch of economic activity and class of worker (000)";"..Unpaid Family Workers";3801;4211;3600;3490;3775;3344;3792;4009;3765;3527;3958;4012;4052;4161;4218;4157;4306;4147;3930;4166;3863;3285;2437;2320
