"Number of Employees Provided Job-Related Trainings in Establishments with 20 or More Workers by Major Industry Group and Training Provider, Philippines: 2013"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__TOW/3001B3GT050.px/table/tableViewLayout1/?rxid=bf208a80-4eb4-45cb-9794-9ef632eaea18"
"Major Industry Group";"2013 Total";"2013 Local Private Training Institution";"2013 Government Training Institution";"2013 In-house";"2013 Foreign Training Institution";"2013 Others"
"ALL INDUSTRIES";1378849;215977;74567;1073261;11416;3628
"..Agriculture, Forestry and Fishing";66630;5757;6667;53795;402;9
"..Mining and Quarrying";7210;2464;920;3785;16;25
"..Manufacturing";304878;43274;17625;241974;1826;178
"..Electricity, Gas, Steam and Air Conditioning Supply";47497;10023;6762;29903;809;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";16461;2957;4239;9191;67;8
"..Construction";14913;3348;3300;7288;757;220
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";158144;25827;2833;126157;1608;1720
"..Transportation and Storage";33254;3815;3949;25211;278;0
"..Accommodation and Food Service Activities";70265;7142;3433;59309;282;98
"..Information and Communication";58252;9041;481;46205;1721;804
"..Financial and Insurance Activities";106822;23874;3489;77838;1471;149
"..Real Estate Activities";9437;2279;1025;6126;7;0
"..Professional, Scientific and Technical Activities";28138;9970;549;17280;200;137
"..Administrative and Support Services Activities";294989;22912;2721;268459;656;240
"..Education except Public Education";108658;33141;10073;64179;1239;25
"..Human Health and Social Work Activities except Public Health Activities";42992;8731;5075;29100;77;9
"..Arts, Entertainment and Recreation";5482;836;709;3937;0;0
"..Repair of Computer and Personal and Household Good; Other Personal Service Activities";4830;584;717;3523;0;5
