"Employees in Precarious Work  by Branch of Economic Activity (Establishment survey data)"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Share of employees in precarious work to the total employed (%)";"TOTAL";..;..;..;..;..;..;..;..;19.2;19.6;..;..;..;18.0;..;21.2;..;22.8;..;22.0;..;18.5;..;..
"Share of employees in precarious work to the total employed (%)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;26.5;..;40.6;..;32.9;..;..
"Share of employees in precarious work to the total employed (%)";"..Industry";..;..;..;..;..;..;..;..;19.6;20.6;..;..;..;19.6;..;23.2;..;28.1;..;26.0;..;27.2;..;..
"Share of employees in precarious work to the total employed (%)";"..Services";..;..;..;..;..;..;..;..;18.9;18.9;..;..;..;17.0;..;20.1;..;19.8;..;18.6;..;13.7;..;..
"Total employees in precarious work (000)";"TOTAL";..;..;..;..;..;..;..;..;501;473;..;..;..;541;..;645;..;859;..;982;..;812;..;..
"Total employees in precarious work (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;45;..;97;..;51;..;..
"Total employees in precarious work (000)";"..Industry";..;..;..;..;..;..;..;..;230;216;..;..;..;222;..;247;..;349;..;347;..;365;..;..
"Total employees in precarious work (000)";"..Services";..;..;..;..;..;..;..;..;271;258;..;..;..;319;..;398;..;466;..;538;..;396;..;..
"Total employed (000)";"TOTAL";..;..;..;..;..;..;..;..;2603;2413;..;..;..;3012;..;3043;..;3769;..;4472;..;4385;..;..
"Total employed (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;170;..;239;..;155;..;..
"Total employed (000)";"..Industry";..;..;..;..;..;..;..;..;1172;1050;..;..;..;1131;..;1065;..;1241;..;1335;..;1341;..;..
"Total employed (000)";"..Services";..;..;..;..;..;..;..;..;1431;1364;..;..;..;1881;..;1978;..;2358;..;2898;..;2889;..;..
