"Number of Employees Provided with Job-Related Trainings in Establishments with 20 or More Workers by Type of Workers and Major Industry Group, Philippines: 2013 to 2021"

"Major Industry Group";"2013 Total Employment";"2013 Total Employees Trained";"2013 Managers/Executives";"2013 Supervisors/Foremen";"2013 Rank and File";"2015 Total Employment";"2015 Total Employees Trained";"2015 Managers/Executives";"2015 Supervisors/Foremen";"2015 Rank and File";"2017 Total Employment";"2017 Total Employees Trained";"2017 Managers/Executives";"2017 Supervisors/Foremen";"2017 Rank and File";"2019 Total Employment";"2019 Total Employees Trained";"2019 Managers/Executives";"2019 Supervisors/Foremen";"2019 Rank and File";"2021 Total Employment";"2021 Total Employees Trained";"2021 Managers/Executives";"2021 Supervisors/Foremen";"2021 Rank and File"
"ALL INDUSTRIES";.;1378849;104881;202659;1071309;4117989;1340747;95870;172335;1072542;4870129;1414366;110808;194168;1109391;5794794;2466661;718473;276898;1471290;5370453;1559377;132393;247606;1179377
"..Agriculture, Forestry and Fishing";.;66630;2082;7301;57247;150315;40032;632;3423;35977;145043;18809;639;2984;15186;145847;11955;739;1281;9935;139190;35535;1423;4789;29324
"..Mining and Quarrying";.;7210;621;2388;4201;38505;6662;738;1326;4598;37976;9268;820;2337;6111;44976;9854;609;2833;6412;35338;7760;541;2310;4909
"..Manufacturing";.;304878;18335;49221;237322;1080116;321767;13873;37410;270484;1038125;309431;13652;43313;252466;1131964;856183;579632;52299;224252;1058420;260587;13022;36695;210870
"..Electricity, Gas, Steam and Air Conditioning Supply";.;47497;5167;11215;31115;45122;24735;1953;4247;18536;59294;35262;3295;6213;25754;52668;31832;4194;5736;21902;53131;29570;2313;6046;21212
"..Water Supply; Sewerage, Waste Management and Remediation Activities";.;16461;3165;1890;11407;27780;13539;2181;1286;10072;30493;13353;1521;2646;9187;33919;12175;1838;1536;8800;35093;15305;1324;2234;11747
"..Construction";.;14913;1149;2513;11251;192176;24194;1699;5678;16817;273998;25714;1994;6103;17618;345527;30139;2221;4652;23266;267103;35756;2497;4004;29255
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";.;158144;10483;20590;127072;470857;152808;11729;17512;123568;586867;140711;11581;21514;107616;794369;400178;34070;45638;320470;649376;307976;35811;21907;250258
"..Transportation and Storage";.;33254;2335;3840;27079;162150;35265;2228;4081;28956;152052;41091;2696;4896;33499;183904;38692;2169;5422;31101;176204;35701;2533;6778;26390
"..Accommodation and Food Service Activities";.;70265;5950;7553;56761;200754;52043;6554;6548;38942;234797;65669;7207;7954;50509;280151;64788;9278;7903;47606;211260;38474;3411;4285;30778
"..Information and Communication";.;58252;5696;25146;27410;116828;42617;5606;10892;26119;139106;37540;3696;14204;19639;163029;44784;5104;4426;35254;140312;33973;2944;9012;22016
"..Financial and Insurance Activities";.;106822;19024;23841;63956;171006;129965;21001;30213;78750;286311;164465;33953;31677;98835;389054;221875;40298;36626;144951;382575;291082;39392;63624;188066
"..Real Estate Activities";.;9437;1545;1916;5976;45623;10711;1999;2399;6313;51276;13277;1810;2114;9353;64212;21842;4581;6682;10579;65619;10986;1731;2962;6293
"..Professional, Scientific and Technical Activities";.;28138;4366;4623;19149;100026;32706;4724;4266;23715;99654;32698;4159;7042;21498;116619;41441;6978;13939;20524;97775;36559;4050;4974;27535
"..Administrative and Support Services Activities";.;294989;11861;22592;260536;891376;292711;10744;28484;253482;1249824;332469;11822;22118;298529;1489099;495792;13302;69319;413171;1554358;254263;10210;41523;202531
"..Education except Public Education";.;108658;9068;12049;87541;250623;98859;6761;8116;83983;274714;102728;7107;8940;86681;310617;115199;10040;10287;94872;269272;87397;6184;8857;72356
"..Human Health and Social Work Activities except Public Health Activities";.;42992;3564;5024;34405;120215;48192;2317;4743;41133;148526;49966;2925;6325;40717;180785;54856;2330;6524;46002;184786;72457;4355;26516;41586
"..Arts, Entertainment and Recreation";.;5482;206;290;4986;40510;8807;847;1395;6566;47080;17370;1649;3033;12688;53315;11192;825;1418;8949;38419;4919;548;963;3409
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";.;4830;265;668;3897;14008;5132;285;316;4532;14994;4546;284;755;3506;14740;3885;265;375;3245;.;.;.;.;.
"..Other Service Activities except Activities of Membership Organizations";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;12221;1076;105;128;843
