"Employees with Recent Job Training (Past 12 Months)"

"Indicator";"Branch of Economic Activity";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Percent share of employees with recent job training (past 12 months) to the total employed";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;33.7;..;32.7;..;32.6;..;..;..
"Percent share of employees with recent job training (past 12 months) to the total employed";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;24.2;..;32.1;..;26.7;..;..;..
"Percent share of employees with recent job training (past 12 months) to the total employed";" ..Industry";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;32.8;..;30.2;..;28.3;..;..;..
"Percent share of employees with recent job training (past 12 months) to the total employed";"..Services";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;34.8;..;34.0;..;35.2;..;..;..
"Total employees trained (000)";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1221;..;1379;..;1341;..;..;..
"Total employees trained (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;39;..;67;..;40;..;..;..
"Total employees trained (000)";" ..Industry";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;382;..;391;..;391;..;..;..
"Total employees trained (000)";"..Services";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;800;..;921;..;910;..;..;..
"Total employed (000)";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3624;..;4218;..;4118;..;..;..
"Total employed (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;161;..;209;..;150;..;..;..
"Total employed (000)";" ..Industry";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1164;..;1296;..;1384;..;..;..
"Total employed (000)";"..Services";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2299;..;2712;..;2584;..;..;..
