"Employment by Class of Worker and Sex"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E2/0253K3F2080.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Sex";"Class of Worker";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Employment by Class of Worker, % Distribution";"TOTAL";"ALL CLASS OF WORKER";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Employment by Class of Worker, % Distribution";"TOTAL";"..Wage and Salary Workers";46.2;46.5;49.5;49.9;49.6;50.7;49.5;48.7;50.1;52.1;50.5;51.1;52.2;52.4;53.3;54.5;55.2;57.2;58.4;58.0;59.3;61.6;62.5;63.8
"Employment by Class of Worker, % Distribution";"TOTAL";"..Employers";3.5;3.7;3.6;3.6;4.8;4.8;5.3;5.5;5.2;5.1;4.7;4.4;4.3;4.2;4.1;3.9;3.6;3.6;3.3;3.1;3.1;3.4;3.7;3.6
"Employment by Class of Worker, % Distribution";"TOTAL";"..Self-Employed";35.5;34.3;33.3;33.4;32.0;32.3;32.2;32.4;32.4;31.7;32.8;32.2;31.5;31.3;30.6;30.1;29.6;28.3;28.0;28.1;27.6;27.1;27.8;26.9
"Employment by Class of Worker, % Distribution";"TOTAL";"..Unpaid Family Workers";14.8;15.5;13.7;13.1;13.6;12.2;13.0;13.3;12.3;11.2;12.0;12.3;12.1;12.2;12.0;11.5;11.6;11.0;10.3;10.8;10.0;10.0;6.0;5.6
"Employment by Class of Worker, % Distribution";"Men";"ALL CLASS OF WORKER";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Employment by Class of Worker, % Distribution";"Men";"..Wage and Salary Workers";46.7;47.1;50.1;50.5;50.1;50.7;50.1;49.3;50.6;52.8;50.9;51.5;52.7;52.9;54.1;55.4;56.5;58.8;60.0;59.7;60.8;63.9;64.3;66.0
"Employment by Class of Worker, % Distribution";"Men";"..Employers";4.2;4.5;4.3;4.3;6.1;6.1;6.9;7.3;6.8;6.6;6.0;5.6;5.4;5.3;5.2;4.9;4.5;4.4;4.2;4.0;3.9;4.1;4.4;4.3
"Employment by Class of Worker, % Distribution";"Men";"..Self-Employed";37.8;37.2;35.8;35.3;33.6;33.8;33.0;33.3;33.4;32.5;34.4;33.8;33.0;32.8;32.0;31.4;30.7;28.9;28.5;28.7;28.0;26.6;27.3;26.0
"Employment by Class of Worker, % Distribution";"Men";"..Unpaid Family Workers";11.3;11.2;9.8;9.8;10.2;9.4;10.0;10.1;9.2;8.1;8.7;9.1;8.9;9.0;8.8;8.4;8.3;7.9;7.4;7.7;7.2;5.4;4.0;3.8
"Employment by Class of Worker, % Distribution";"Women";"ALL CLASS OF WORKER";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Employment by Class of Worker, % Distribution";"Women";"..Wage and Salary Workers";45.4;45.5;48.4;48.8;48.8;50.8;48.6;47.9;49.3;51.0;49.9;50.4;51.3;51.4;52.0;53.1;53.3;54.6;55.8;55.3;56.9;58.0;59.6;60.3
"Employment by Class of Worker, % Distribution";"Women";"..Employers";2.3;2.2;2.4;2.4;2.7;2.6;2.8;2.8;2.7;2.6;2.5;2.5;2.5;2.4;2.5;2.3;2.2;2.3;2.0;1.9;1.9;2.1;2.5;2.5
"Employment by Class of Worker, % Distribution";"Women";"..Self-Employed";31.4;29.5;28.9;30.1;29.2;29.9;30.9;31.0;30.7;30.2;30.1;29.8;29.1;28.8;28.4;28.2;27.8;27.2;27.3;27.3;27.0;27.9;28.6;28.5
"Employment by Class of Worker, % Distribution";"Women";"..Unpaid Family Workers";20.9;22.8;20.3;18.7;19.2;16.8;17.7;18.3;17.3;16.1;17.5;17.4;17.0;17.4;17.2;16.4;16.7;15.9;14.9;15.5;14.2;12.0;9.4;8.6
"Total Employed (000)";"TOTAL";"ALL CLASS OF WORKER";25677;27186;26365;26631;27742;27452;29156;30062;30635;31613;32313;32636;33560;34089;35061;36035;37192;37600;38118;38651;38741;40998;40334;41157
"Total Employed (000)";"TOTAL";"..Wage and Salary Workers";11870;12649;13043;13285;13761;13925;14438;14653;15354;16472;16316;16673;17508;17846;18681;19626;20538;21492;22247;22407;22960;25240;25209;26257
"Total Employed (000)";"TOTAL";"..Employers";894;996;949;966;1341;1315;1552;1662;1605;1604;1520;1425;1430;1426;1438;1394;1354;1335;1272;1210;1212;1376;1491;1489
"Total Employed (000)";"TOTAL";"..Self-Employed";9111;9330;8774;8891;8864;8869;9375;9737;9912;10011;10584;10525;10570;10654;10724;10858;10994;10626;10668;10869;10705;11097;11198;11090
"Total Employed (000)";"TOTAL";"..Unpaid Family Workers";3801;4211;3600;3490;3775;3344;3792;4009;3765;3527;3893;4012;4052;4161;4218;4157;4306;4147;3930;4166;3863;3285;2437;2320
"Total Employed (000)";"Men";"ALL CLASS OF WORKER";16322;17170;16610;16714;17253;17193;17923;18306;18873;19646;19910;20013;20542;20959;21404;21921;22573;22849;23150;23365;23406;25035;25067;25424
"Total Employed (000)";"Men";"..Wage and Salary Workers";7625;8091;8319;8446;8645;8717;8978;9022;9554;10368;10130;10316;10827;11093;11581;12137;12750;13440;13892;13955;14238;15986;16117;16769
"Total Employed (000)";"Men";"..Employers";680;777;718;726;1054;1053;1238;1338;1287;1291;1203;1114;1100;1107;1103;1065;1026;999;966;924;922;1037;1113;1092
"Total Employed (000)";"Men";"..Self-Employed";6171;6380;5953;5905;5799;5805;5907;6091;6296;6391;6854;6766;6784;6877;6846;6881;6929;6609;6589;6696;6560;6648;6834;6601
"Total Employed (000)";"Men";"..Unpaid Family Workers";1846;1922;1620;1637;1756;1618;1800;1854;1736;1597;1723;1818;1832;1882;1873;1838;1868;1801;1703;1790;1687;1364;1004;962
"Total Employed (000)";"Women";"ALL CLASS OF WORKER";9354;10016;9754;9917;10489;10259;11232;11756;11762;11968;12403;12622;13018;13129;13657;14114;14619;14751;14968;15286;15335;15963;15267;15732
"Total Employed (000)";"Women";"..Wage and Salary Workers";4246;4558;4723;4839;5116;5208;5459;5631;5800;6105;6187;6357;6682;6754;7099;7489;7787;8052;8355;8452;8722;9254;9092;9488
"Total Employed (000)";"Women";"..Employers";214;219;231;240;288;262;313;324;318;313;316;311;330;320;335;328;328;336;306;286;291;339;378;397
"Total Employed (000)";"Women";"..Self-Employed";2939;2950;2820;2986;3066;3063;3468;3646;3616;3620;3730;3759;3787;3777;3878;3977;4065;4017;4080;4173;4145;4449;4364;4489
"Total Employed (000)";"Women";"..Unpaid Family Workers";1955;2288;1980;1853;2019;1726;1992;2155;2029;1931;2170;2195;2219;2279;2345;2319;2438;2346;2227;2375;2177;1922;1433;1358
