"Employment by Branch of Economic Activity and Sex, % Distribution"

"Indicator";"Sex";"Sector";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Employment by Branch of Economic Activity, % Distribution";"TOTAL";"TOTAL";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Employment by Branch of Economic Activity, % Distribution";"TOTAL";"..Agriculture";43.4;42.8;39.5;37.9;38.8;37.1;37.2;37.0;36.6;36.0;36.0;35.8;35.1;35.3;34.4;33.2;33.0;32.2;31.0;30.5;29.2;27.0;25.4;24.3
"Employment by Branch of Economic Activity, % Distribution";"TOTAL";"..Industry";16.1;16.3;17.4;17.1;16.3;16.2;16.2;15.6;15.8;15.8;15.6;15.3;15.3;14.8;14.5;15.0;14.9;15.3;15.6;16.0;16.2;17.5;18.3;19.1
"Employment by Branch of Economic Activity, % Distribution";"TOTAL";"..Services";40.5;40.9;43.1;45.1;44.9;46.7;46.6;47.4;47.6;48.2;48.5;48.9;49.6;49.9;51.1;51.8;52.1;52.6;53.4;53.5;54.7;55.6;56.3;56.6
"Employment by Branch of Economic Activity, % Distribution";"Men";"TOTAL";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Employment by Branch of Economic Activity, % Distribution";"Men";"..Agriculture";51.1;49.8;46.3;45.0;46.0;45.0;45.1;44.8;44.3;43.7;43.6;43.5;42.7;42.9;41.9;40.5;40.3;39.4;38.1;37.2;35.8;33.2;31.6;30.5
"Employment by Branch of Economic Activity, % Distribution";"Men";"..Industry";17.6;18.4;19.8;19.5;18.3;18.0;18.4;18.1;18.2;18.2;17.8;17.6;17.9;17.5;17.5;18.2;18.1;18.6;19.1;19.7;20.2;22.2;23.4;24.8
"Employment by Branch of Economic Activity, % Distribution";"Men";"..Services";31.3;31.8;33.9;35.5;35.7;37.1;36.5;37.1;37.6;38.1;38.6;38.8;39.5;39.6;40.6;41.2;41.7;42.0;42.8;43.0;43.9;44.6;45.0;44.7
"Employment by Branch of Economic Activity, % Distribution";"Women";"TOTAL";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Employment by Branch of Economic Activity, % Distribution";"Women";"..Agriculture";29.9;31.0;27.9;25.9;27.1;23.9;24.6;24.8;24.3;23.3;23.7;23.6;23.2;23.2;22.5;21.8;21.7;21.0;20.1;20.3;19.0;17.3;15.3;14.3
"Employment by Branch of Economic Activity, % Distribution";"Women";"..Industry";13.6;12.7;13.2;12.9;12.9;13.3;12.6;11.8;12.0;12.0;12.0;11.6;11.1;10.5;9.9;9.9;10.0;10.1;10.1;10.2;10.0;10.0;9.9;9.8
"Employment by Branch of Economic Activity, % Distribution";"Women";"..Services";56.5;56.4;58.9;61.2;60.0;62.8;62.8;63.4;63.7;64.7;64.3;64.8;65.7;66.3;67.6;68.3;68.3;69.0;69.7;69.5;71.0;72.8;74.8;75.9
"Employment by Branch of Economic Activity (000)";"TOTAL";"TOTAL";25677;27186;26365;26631;27742;27452;29156;30062;30635;31613;32313;32636;33560;34089;35061;36035;37192;37600;38118;38651;38741;40998;40334;41157
"Employment by Branch of Economic Activity (000)";"TOTAL";"..Agriculture";11147;11645;10416;10091;10774;10181;10850;11122;11220;11381;11628;11682;11786;12030;12044;11956;12267;12093;11835;11801;11294;11064;10261;9998
"Employment by Branch of Economic Activity (000)";"TOTAL";"..Industry";4140;4431;4582;4542;4515;4454;4713;4695;4840;4999;5025;4997;5121;5048;5092;5399;5530;5743;5937;6167;6275;7159;7370;7846
