"Number of Establishments Employing 20 or More Workers by Productivity Improvement Programs (PIPs) and Major Industry Group, Philippines: 2013 - 2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/1001B3GP010.px/table/tableViewLayout1/?rxid=f46464c9-6e01-4f80-a79a-affc44d5471b"
"Major Industry Group";"Productivity Improvement Program";"2013";"2015";"2017";"2019"
"ALL INDUSTRIES";"Total Establishments";34579;30682;32288;38305
"ALL INDUSTRIES";"..Total Establishments with PIPs";20299;2448;17563;15234
"ALL INDUSTRIES";"..None";.;.;.;23072
"ALL INDUSTRIES";"Establishments with Productivity Program - Employment";.;477258;.;.
"ALL INDUSTRIES";"Total Productivity Programs Implemented";50050;3339;.;.
"ALL INDUSTRIES";"....5S of Good Housekeeping";13340;.;10936;.
"ALL INDUSTRIES";"....7S of Good Housekeeping";.;.;.;8364
"ALL INDUSTRIES";"....Client Satisfaction Measurement (CSM)";8477;.;7241;6858
"ALL INDUSTRIES";"....Total Quality Management (TQM)";8715;.;6751;6668
"ALL INDUSTRIES";"....Lean Management/Lean Production";1529;.;2822;2756
"ALL INDUSTRIES";"....Suggestion/Feedback Scheme";8274;.;5304;6849
"ALL INDUSTRIES";"....Six Sigma";636;.;1004;1570
"ALL INDUSTRIES";"....Just-In-Time";1941;.;2380;2837
"ALL INDUSTRIES";"....Continuous Process Improvement";6294;.;7357;6721
"ALL INDUSTRIES";"....Others";844;.;643;1015
"..Agriculture, Forestry and Fishing";"Total Establishments";1258;1090;1124;1070
"..Agriculture, Forestry and Fishing";"..Total Establishments with PIPs";595;35;442;205
"..Agriculture, Forestry and Fishing";"..None";.;.;.;865
"..Agriculture, Forestry and Fishing";"Establishments with Productivity Program - Employment";.;8720;.;.
"..Agriculture, Forestry and Fishing";"Total Productivity Programs Implemented";1445;49;.;.
"..Agriculture, Forestry and Fishing";"....5S of Good Housekeeping";493;.;288;.
"..Agriculture, Forestry and Fishing";"....7S of Good Housekeeping";.;.;.;83
"..Agriculture, Forestry and Fishing";"....Client Satisfaction Measurement (CSM)";188;.;86;62
"..Agriculture, Forestry and Fishing";"....Total Quality Management (TQM)";329;.;180;126
"..Agriculture, Forestry and Fishing";"....Lean Management/Lean Production";77;.;102;20
"..Agriculture, Forestry and Fishing";"....Suggestion/Feedback Scheme";296;.;95;55
"..Agriculture, Forestry and Fishing";"....Six Sigma";1;.;28;11
"..Agriculture, Forestry and Fishing";"....Just-In-Time";5;.;61;18
"..Agriculture, Forestry and Fishing";"....Continuous Process Improvement";50;.;193;77
"..Agriculture, Forestry and Fishing";"....Others";6;.;24;4
"..Mining and Quarrying";"Total Establishments";189;141;156;168
"..Mining and Quarrying";"..Total Establishments with PIPs";110;11;66;65
"..Mining and Quarrying";"..None";.;.;.;103
"..Mining and Quarrying";"Establishments with Productivity Program - Employment";.;3022;.;.
"..Mining and Quarrying";"Total Productivity Programs Implemented";237;13;.;.
"..Mining and Quarrying";"....5S of Good Housekeeping";72;.;51;.
"..Mining and Quarrying";"....7S of Good Housekeeping";.;.;.;52
"..Mining and Quarrying";"....Client Satisfaction Measurement (CSM)";16;.;14;34
"..Mining and Quarrying";"....Total Quality Management (TQM)";42;.;29;21
"..Mining and Quarrying";"....Lean Management/Lean Production";10;.;4;10
"..Mining and Quarrying";"....Suggestion/Feedback Scheme";21;.;19;18
"..Mining and Quarrying";"....Six Sigma";4;.;1;2
"..Mining and Quarrying";"....Just-In-Time";16;.;3;11
"..Mining and Quarrying";"....Continuous Process Improvement";49;.;24;35
"..Mining and Quarrying";"....Others";8;.;7;0
"..Manufacturing";"Total Establishments";6555;5936;5925;6406
"..Manufacturing";"..Total Establishments with PIPs";4760;698;3677;3134
"..Manufacturing";"..None";.;.;.;3273
"..Manufacturing";"Establishments with Productivity Program - Employment";.;207505;.;.
"..Manufacturing";"Total Productivity Programs Implemented";12222;1039;.;.
"..Manufacturing";"....5S of Good Housekeeping";3364;.;2761;.
"..Manufacturing";"....7S of Good Housekeeping";.;.;.;1884
"..Manufacturing";"....Client Satisfaction Measurement (CSM)";1547;.;1171;1184
"..Manufacturing";"....Total Quality Management (TQM)";2339;.;1519;1409
"..Manufacturing";"....Lean Management/Lean Production";696;.;761;721
"..Manufacturing";"....Suggestion/Feedback Scheme";1539;.;975;1005
"..Manufacturing";"....Six Sigma";231;.;265;402
"..Manufacturing";"....Just-In-Time";556;.;661;776
"..Manufacturing";"....Continuous Process Improvement";1742;.;1705;1627
"..Manufacturing";"....Others";210;.;163;130
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments";422;249;285;301
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Total Establishments with PIPs";323;42;188;172
"..Electricity, Gas, Steam and Air Conditioning Supply";"..None";.;.;.;128
"..Electricity, Gas, Steam and Air Conditioning Supply";"Establishments with Productivity Program - Employment";.;4557;.;.
