"Number of Establishments with 20 or More Workers that Provided Job-Related Trainings by Region: 2021"

"REGION";"2021 Total Establishments";"2021 Establishments Providing Job-Related Trainings"
"PHILIPPINES";36342;11526
"..National Capital Region";9728;2934
"..Cordillera Administrative Region";880;396
"..Region I - Ilocos Region";1362;381
"..Region II - Cagayan Valley";960;239
"..Region III - Central Luzon";3400;1208
"..Region IV-A - CALABARZON";3885;1467
"..MIMAROPA Region";861;244
"..Region V - Bicol Region";1352;426
"..Region VI - Western Visayas";2111;604
"..Region VII - Central Visayas";3173;691
"..Region VIII - Eastern Visayas";1137;488
"..Region IX - Zamboanga Peninsula";1171;272
"..Region X - Northern Mindanao";1725;577
"..Region XI - Davao Region";2029;890
"..Region XII - SOCCSKSARGEN";1443;365
"..Region XIII - CARAGA";867;293
"..Bangsamoro Autonomous Region in Muslim Mindanao";256;51
