"Number of Establishments with Productivity Improvement Program (PIP) by Size of Employment, Productivity Improvement Program and Major Industry Group, Philippines:  2017 - 2019"

"Size of Employment";"Major Industry Group";"Productivity Improvement Program";"2017";"2019"
"Employing 20-99 Workers";"ALL INDUSTRIES";"Establishments with Productivity Improvement Program (PIP)";12709;11078
"Employing 20-99 Workers";"ALL INDUSTRIES";"..5S of Good Housekeeping";7613;.
"Employing 20-99 Workers";"ALL INDUSTRIES";"..7S of Good Housekeeping";.;5966
"Employing 20-99 Workers";"ALL INDUSTRIES";"..Client Satisfaction Measurement (CSM)";5265;4790
"Employing 20-99 Workers";"ALL INDUSTRIES";"..Total Quality Management (TQM)";4827;4604
"Employing 20-99 Workers";"ALL INDUSTRIES";"..Lean Management/Lean Production";1979;1779
"Employing 20-99 Workers";"ALL INDUSTRIES";"..Suggestion/Feedback Scheme";3619;4953
"Employing 20-99 Workers";"ALL INDUSTRIES";"..Six Sigma";590;930
"Employing 20-99 Workers";"ALL INDUSTRIES";"..Just-In-Time";1763;2054
"Employing 20-99 Workers";"ALL INDUSTRIES";"..Continuous Process Improvement";5128;4626
"Employing 20-99 Workers";"ALL INDUSTRIES";"..Others";372;702
"Employing 20-99 Workers";"ALL INDUSTRIES";"None";.;17593
"Employing 20-99 Workers";"..Agriculture, Forestry and Fishing";"Establishments with Productivity Improvement Program (PIP)";288;136
"Employing 20-99 Workers";"..Agriculture, Forestry and Fishing";"..5S of Good Housekeeping";172;.
"Employing 20-99 Workers";"..Agriculture, Forestry and Fishing";"..7S of Good Housekeeping";.;56
"Employing 20-99 Workers";"..Agriculture, Forestry and Fishing";"..Client Satisfaction Measurement (CSM)";55;37
"Employing 20-99 Workers";"..Agriculture, Forestry and Fishing";"..Total Quality Management (TQM)";122;83
"Employing 20-99 Workers";"..Agriculture, Forestry and Fishing";"..Lean Management/Lean Production";72;3
"Employing 20-99 Workers";"..Agriculture, Forestry and Fishing";"..Suggestion/Feedback Scheme";54;36
"Employing 20-99 Workers";"..Agriculture, Forestry and Fishing";"..Six Sigma";18;1
"Employing 20-99 Workers";"..Agriculture, Forestry and Fishing";"..Just-In-Time";41;1
"Employing 20-99 Workers";"..Agriculture, Forestry and Fishing";"..Continuous Process Improvement";136;37
"Employing 20-99 Workers";"..Agriculture, Forestry and Fishing";"..Others";17;1
"Employing 20-99 Workers";"..Agriculture, Forestry and Fishing";"None";.;638
"Employing 20-99 Workers";"..Mining and Quarrying";"Establishments with Productivity Improvement Program (PIP)";47;43
"Employing 20-99 Workers";"..Mining and Quarrying";"..5S of Good Housekeeping";37;.
