"Number of Establishments Employing 20 or More Workers by Type of Non-Cash Productivity-Based Incentives Provided and Major Industry Group, Philippines: 2015"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/6251B3GP100.px/table/tableViewLayout1/?rxid=ed11a92c-d045-4915-9f5c-39179ded88fd"
"Major Industry Group";"Non-Cash Productivity-Based Incentives";"2015"
"ALL INDUSTRIES";"Establishments with Non-Cash Productivity-Based Incentives";1115
"ALL INDUSTRIES";"Plaque/trophy/certificate of recognition";756
"ALL INDUSTRIES";"Food";465
"ALL INDUSTRIES";"Non-Food";230
"ALL INDUSTRIES";"Free/subsidized travel/leisure";251
"ALL INDUSTRIES";"Scholarship";102
"ALL INDUSTRIES";"Others";33
"..Agriculture, Forestry and Fishing";"Establishments with Non-Cash Productivity-Based Incentives";17
"..Agriculture, Forestry and Fishing";"Plaque/trophy/certificate of recognition";14
"..Agriculture, Forestry and Fishing";"Food";8
"..Agriculture, Forestry and Fishing";"Non-Food";10
"..Agriculture, Forestry and Fishing";"Free/subsidized travel/leisure";0
"..Agriculture, Forestry and Fishing";"Scholarship";8
"..Agriculture, Forestry and Fishing";"Others";0
"..Mining and Quarrying";"Establishments with Non-Cash Productivity-Based Incentives";1
"..Mining and Quarrying";"Plaque/trophy/certificate of recognition";1
"..Mining and Quarrying";"Food";0
"..Mining and Quarrying";"Non-Food";1
"..Mining and Quarrying";"Free/subsidized travel/leisure";0
"..Mining and Quarrying";"Scholarship";0
"..Mining and Quarrying";"Others";0
"..Manufacturing";"Establishments with Non-Cash Productivity-Based Incentives";301
"..Manufacturing";"Plaque/trophy/certificate of recognition";200
"..Manufacturing";"Food";178
"..Manufacturing";"Non-Food";54
"..Manufacturing";"Free/subsidized travel/leisure";30
"..Manufacturing";"Scholarship";20
"..Manufacturing";"Others";6
"..Electricity, Gas, Steam and Air Conditioning Supply";"Establishments with Non-Cash Productivity-Based Incentives";10
"..Electricity, Gas, Steam and Air Conditioning Supply";"Plaque/trophy/certificate of recognition";8
"..Electricity, Gas, Steam and Air Conditioning Supply";"Food";0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Non-Food";8
"..Electricity, Gas, Steam and Air Conditioning Supply";"Free/subsidized travel/leisure";0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Scholarship";1
"..Electricity, Gas, Steam and Air Conditioning Supply";"Others";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Establishments with Non-Cash Productivity-Based Incentives";2
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Plaque/trophy/certificate of recognition";2
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Food";1
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Non-Food";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Free/subsidized travel/leisure";0
