"Number and Proportion of Establishments Employing 20 or More Workers With CBA and With Union by Major Industry Group, Philippines: June 2014 to August 2022"

"Major Industry Group";"2014 Establishments With Union";"2014 Establishments With CBA";"2014 Percent";"2016 Establishments With Union";"2016 Establishments With CBA";"2016 Percent";"2018 Establishments With Union";"2018 Establishments With CBA";"2018 Percent";"2020 Establishments With Union";"2020 Establishments With CBA";"2020 Percent";"2022 Establishments With Union";"2022 Establishments With CBA";"2022 Percent"
"ALL INDUSTRIES";2059;1946;94.5;2099;2038;97.1;2039;2001;98.1;1464;1451;99.1;1626;1444;88.8
"..Agriculture, Forestry and Fishing";139;134;96.4;143;141;98.6;141;136;96.5;51;44;86.0;126;115;91.5
"..Mining and Quarrying";11;10;90.9;23;23;100.0;27;24;88.9;15;15;100.0;18;15;84.9
"..Manufacturing";799;780;97.6;755;739;97.9;761;758;99.6;664;663;99.8;592;565;95.5
"..Electricity, Gas, Steam and Air Conditioning Supply";139;134;96.4;85;80;94.1;84;81;96.4;71;71;100.0;66;54;81.9
"..Water Supply; Sewerage, Waste Management and Remediation Activities";64;51;79.7;77;75;97.4;69;62;89.9;49;49;100.0;90;67;74.5
"..Construction";16;16;100.0;12;11;91.7;17;17;100.0;3;3;100.0;26;25;95.8
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";246;244;99.2;291;282;96.9;335;330;98.5;162;162;100.0;231;182;78.8
"..Transportation and Storage";94;88;93.6;91;88;96.7;84;84;100.0;53;53;100.0;68;60;88.0
"..Accommodation and Food Service Activities";126;91;72.2;180;173;96.1;164;159;97.0;194;194;100.0;75;67;90.0
"..Information and Communication";57;57;100.0;17;17;100.0;18;18;100.0;19;15;78.1;11;8;76.5
"..Financial and Insurance Activities";94;94;100.0;185;175;94.6;113;110;97.3;42;42;100.0;144;142;98.3
"..Real Estate Activities";2;2;100.0;10;10;100.0;4;4;100.0;5;5;100.0;12;7;55.0
"..Professional, Scientific and Technical Activities";46;46;100.0;20;20;100.0;8;8;100.0;4;4;100.0;3;2;67.3
"..Administrative and Support Service Activities";37;14;37.8;11;11;100.0;10;9;90.0;3;3;100.0;6;6;100.0
"..Education Except Public Education";111;110;99.1;117;116;99.1;128;125;97.5;69;69;100.0;85;66;77.8
"..Human Health and Social Work Activities Except Public Health Activities";37;37;100.0;43;38;88.4;47;47;100.0;38;38;100.0;57;48;85.5
"..Arts, Entertainment and Recreation";32;29;90.6;33;33;100.0;26;26;100.0;21;21;100.0;18;14;80.3
"..Other Service Activities Except Activities of Membership Organizations";10;10;100.0;9;9;100.0;1;1;100.0;0;0;0.0;0;0;..
