"Number of Establishments with 20 or More Workers that Provided Job-Related Trainings by Major Industry Group, Philippines: 2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__TOW/1001B3GT010.px/table/tableViewLayout1/?rxid=4fbc51cc-87ce-435d-b8c3-344a80418f75"
"Major Industry Group";"2013 Total Establishments";"2013 Establishments Providing Job-Related Trainings";"2015 Total Establishments";"2015 Establishments Providing Job-Related Trainings";"2017 Total Establishments";"2017 Establishments Providing Job-Related Trainings";"2019 Total Establishments";"2019 Establishments Providing Job-Related Trainings";"2021 Total Establishments";"2021 Establishments Providing Job-Related Trainings"
"ALL INDUSTRIES";34579;15759;30682;16271;32288;18019;38305;18357;36342;11526
"..Agriculture, Forestry and Fishing";1258;537;1090;344;1124;379;1070;136;1125;295
"..Mining and Quarrying";189;82;141;92;156;90;168;74;165;64
"..Manufacturing";6555;2316;5936;2811;5925;2906;6406;2625;6213;1770
"..Electricity, Gas, Steam and Air Conditioning Supply";422;226;249;193;285;254;301;161;296;182
"..Water Supply; Sewerage, Waste Management and Remediation Activities";314;209;335;266;326;249;338;227;376;192
"..Construction";1042;609;973;470;991;539;1223;589;1238;430
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";7562;3151;7040;3271;7820;4058;9560;4047;10198;2519
"..Transportation and Storage";1140;472;996;347;1045;519;1152;514;1302;295
"..Accommodation and Food Service Activities";4670;2153;4077;2238;4183;2261;4716;2460;3620;1143
"..Information and Communication";895;499;804;439;772;428;1052;542;865;241
"..Financial and Insurance Activities";1510;889;1350;1049;1339;1014;1696;1360;1855;870
"..Real Estate Activities";498;208;393;187;454;199;652;185;676;202
"..Professional, Scientific and Technical Activities";739;242;653;298;745;425;963;585;752;265
"..Administrative and Support Services Activities";2130;958;1800;990;1925;1138;2729;1181;2530;755
"..Education except Public Education";4002;2377;3327;2346;3574;2474;4156;2516;3234;1555
"..Human Health and Social Work Activities except Public Health Activities";917;481;960;622;1048;771;1447;801;1365;644
"..Arts, Entertainment and Recreation";248;108;237;96;234;133;313;128;251;55
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";488;244;321;212;343;181;363;226;.;.
"..Other Service Activities except Activities of Membership Organizations";.;.;.;.;.;.;.;.;280;50
