"Establishments Employing 20 or More Workers With or Without Commuting Accidents, Number of Commuting Accidents and Number of Workers Injured by Industry Group, Philippines:  2013-2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OID/6001B3GI110.px/table/tableViewLayout1/?rxid=6c884b7d-8541-43da-b80e-9f99195fb610"
"Major Industry Group";"2013 TOTAL ESTABLISHMENTS";"2013 ..Without Commuting Accidents";"2013 ..With Commuting Accidents";"2013 Number of Commuting Accidents";"2013 Number of Workers Injured";"2015 TOTAL ESTABLISHMENTS";"2015 ..Without Commuting Accidents";"2015 ..With Commuting Accidents";"2015 Number of Commuting Accidents";"2015 Number of Workers Injured";"2017 TOTAL ESTABLISHMENTS";"2017 ..Without Commuting Accidents";"2017 ..With Commuting Accidents";"2017 Number of Commuting Accidents";"2017 Number of Workers Injured";"2019 TOTAL ESTABLISHMENTS";"2019 ..Without Commuting Accidents";"2019 ..With Commuting Accidents";"2019 Number of Commuting Accidents";"2019 Number of Workers Injured";"2021 TOTAL ESTABLISHMENTS";"2021 ..Without Commuting Accidents";"2021 ..With Commuting Accidents";"2021 Number of Commuting Accidents";"2021 Number of Workers Injured"
"ALL INDUSTRIES";34579;33075;1504;3145;3455;30682;29086;1596;4205;4423;32288;30602;1687;4141;4537;38305;36950;1356;5899;6170;36342;35350;991;2784;3134
"..Agriculture, Forestry and Fishing";1259;1230;29;125;173;1090;1029;61;369;394;1124;1078;46;95;109;1070;1045;25;44;50;1125;1089;36;55;60
"..Mining and Quarrying";188;181;7;34;34;141;137;4;14;14;156;149;7;7;7;168;157;11;31;34;165;160;5;19;19
"..Manufacturing";6554;6075;479;1155;1334;5936;5532;403;1392;1494;5925;5514;410;979;1082;6406;6086;320;1269;1544;6213;5946;267;1003;1093
"..Electricity, Gas, Steam and Air Conditioning Supply";422;396;26;45;45;249;215;34;81;83;285;228;56;156;162;301;258;43;127;169;296;262;34;121;124
"..Water Supply; Sewerage, Waste Management and Remediation Activities";314;297;17;18;19;335;302;32;41;41;326;310;16;26;26;338;312;26;49;49;376;351;25;30;32
"..Construction";1043;1023;20;56;56;973;935;38;91;88;991;944;48;101;117;1223;1179;44;1446;1447;1238;1194;44;95;119
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";7561;7201;360;594;634;7040;6765;275;473;488;7820;7449;371;667;736;9560;9382;178;428;343;10198;10046;152;278;318
"..Transportation and Storage";1141;1106;35;78;102;996;927;69;339;327;1045;965;80;237;286;1152;1121;31;867;857;1302;1251;51;80;80
"..Accommodation and Food Service Activities";4670;4570;100;170;170;4077;3924;153;242;262;4183;4082;101;207;210;4716;4558;158;246;246;3620;3551;69;299;305
"..Information and Communication";895;863;32;51;57;804;774;30;110;119;772;745;27;51;51;1052;984;68;114;114;865;847;18;66;66
"..Financial and Insurance Activities";1510;1450;60;143;144;1350;1253;98;172;192;1339;1258;81;240;273;1696;1588;107;320;327;1855;1808;48;107;249
"..Real Estate Activities";498;477;21;21;21;393;368;24;32;32;454;432;22;24;24;652;648;4;8;8;676;669;7;7;7
"..Professional, Scientific and Technical Activities";738;713;25;29;32;653;635;18;24;27;745;720;25;39;39;963;955;8;8;11;752;740;13;19;19
"..Administrative and Support Service Activities";2130;1998;132;417;428;1800;1654;146;480;486;1925;1719;207;1029;1104;2729;2593;136;443;426;2530;2427;103;346;373
"..Education Except Public Education";4002;3932;70;87;90;3327;3187;140;188;204;3574;3471;104;134;138;4156;4027;130;147;147;3234;3188;45;97;99
"..Human Health and Social Work Activities Except Public Health Activities";917;845;73;82;82;960;916;45;69;70;1048;982;66;118;134;1447;1411;36;212;235;1365;1305;60;95;101
"..Arts, Entertainment and Recreation";248;232;16;38;38;237;228;9;72;77;234;226;8;15;15;313;299;14;87;110;251;241;10;57;60
"..Other Service Activities except Activities of Membership Organizations";488;486;2;2;2;321;304;17;17;24;343;331;12;18;22;363;346;18;53;53;280;276;4;10;10
