"Number of Establishments Employing 20 or More Workers With PIPs by Employment Size and Major Industry Group, Philippines: 2017 - 2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/1501B3GP020.px/table/tableViewLayout1/?rxid=159136c6-7169-401d-a91c-8c6ecc7b757e"
"Major Industry Group";"Employment Size";"2017";"2019"
"ALL INDUSTRIES";"Total Establishments with PIPs";17563;15234
"ALL INDUSTRIES";"..Establishments with 20-99 Workers";12709;11078
"ALL INDUSTRIES";"..Establishments with 100-199 Workers";2356;2001
"ALL INDUSTRIES";"..Establishments with 200 and Over Workers";2498;2155
"..Agriculture, Forestry and Fishing";"Total Establishments with PIPs";442;205
"..Agriculture, Forestry and Fishing";"..Establishments with 20-99 Workers";288;136
"..Agriculture, Forestry and Fishing";"..Establishments with 100-199 Workers";75;32
"..Agriculture, Forestry and Fishing";"..Establishments with 200 and Over Workers";79;36
"..Mining and Quarrying";"Total Establishments with PIPs";66;65
"..Mining and Quarrying";"..Establishments with 20-99 Workers";47;43
"..Mining and Quarrying";"..Establishments with 100-199 Workers";8;12
"..Mining and Quarrying";"..Establishments with 200 and Over Workers";11;10
"..Manufacturing";"Total Establishments with PIPs";3677;3134
"..Manufacturing";"..Establishments with 20-99 Workers";2280;2098
"..Manufacturing";"..Establishments with 100-199 Workers";646;482
"..Manufacturing";"..Establishments with 200 and Over Workers";751;554
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments with PIPs";188;172
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Establishments with 20-99 Workers";77;84
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Establishments with 100-199 Workers";55;48
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Establishments with 200 and Over Workers";57;40
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments with PIPs";192;126
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Establishments with 20-99 Workers";144;95
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Establishments with 100-199 Workers";31;15
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Establishments with 200 and Over Workers";17;16
"..Construction";"Total Establishments with PIPs";487;440
"..Construction";"..Establishments with 20-99 Workers";266;76
"..Construction";"..Establishments with 100-199 Workers";94;208
"..Construction";"..Establishments with 200 and Over Workers";127;156
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments with PIPs";4126;3526
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Establishments with 20-99 Workers";3313;2832
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Establishments with 100-199 Workers";490;428
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Establishments with 200 and Over Workers";323;267
"..Transportation and Storage";"Total Establishments with PIPs";499;425
"..Transportation and Storage";"..Establishments with 20-99 Workers";332;286
"..Transportation and Storage";"..Establishments with 100-199 Workers";86;68
"..Transportation and Storage";"..Establishments with 200 and Over Workers";81;71
"..Accommodation and Food Service Activities";"Total Establishments with PIPs";2531;2261
"..Accommodation and Food Service Activities";"..Establishments with 20-99 Workers";2282;2055
"..Accommodation and Food Service Activities";"..Establishments with 100-199 Workers";181;114
"..Accommodation and Food Service Activities";"..Establishments with 200 and Over Workers";68;93
"..Information and Communication";"Total Establishments with PIPs";338;190
"..Information and Communication";"..Establishments with 20-99 Workers";226;77
"..Information and Communication";"..Establishments with 100-199 Workers";52;62
"..Information and Communication";"..Establishments with 200 and Over Workers";61;51
"..Financial and Insurance Activities";"Total Establishments with PIPs";731;580
"..Financial and Insurance Activities";"..Establishments with 20-99 Workers";555;411
"..Financial and Insurance Activities";"..Establishments with 100-199 Workers";77;56
"..Financial and Insurance Activities";"..Establishments with 200 and Over Workers";100;113
"..Real Estate Activities";"Total Establishments with PIPs";173;123
"..Real Estate Activities";"..Establishments with 20-99 Workers";114;98
"..Real Estate Activities";"..Establishments with 100-199 Workers";37;11
"..Real Estate Activities";"..Establishments with 200 and Over Workers";22;14
"..Professional, Scientific and Technical Activities";"Total Establishments with PIPs";314;365
"..Professional, Scientific and Technical Activities";"..Establishments with 20-99 Workers";209;283
"..Professional, Scientific and Technical Activities";"..Establishments with 100-199 Workers";60;25
"..Professional, Scientific and Technical Activities";"..Establishments with 200 and Over Workers";45;58
"..Administrative and Support Service Activities";"Total Establishments with PIPs";929;1033
"..Administrative and Support Service Activities";"..Establishments with 20-99 Workers";354;445
"..Administrative and Support Service Activities";"..Establishments with 100-199 Workers";122;193
"..Administrative and Support Service Activities";"..Establishments with 200 and Over Workers";453;395
"..Education Except Public Education";"Total Establishments with PIPs";1901;1611
"..Education Except Public Education";"..Establishments with 20-99 Workers";1568;1348
"..Education Except Public Education";"..Establishments with 100-199 Workers";190;138
"..Education Except Public Education";"..Establishments with 200 and Over Workers";142;125
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments with PIPs";656;722
"..Human Health and Social Work Activities Except Public Health Activities";"..Establishments with 20-99 Workers";399;499
"..Human Health and Social Work Activities Except Public Health Activities";"..Establishments with 100-199 Workers";119;81
"..Human Health and Social Work Activities Except Public Health Activities";"..Establishments with 200 and Over Workers";138;142
"..Arts, Entertainment and  Recreation";"Total Establishments with PIPs";140;152
"..Arts, Entertainment and  Recreation";"..Establishments with 20-99 Workers";100;126
"..Arts, Entertainment and  Recreation";"..Establishments with 100-199 Workers";20;12
"..Arts, Entertainment and  Recreation";"..Establishments with 200 and Over Workers";19;14
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments with PIPs";171;103
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Establishments with 20-99 Workers";153;88
