"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Legal Organization and Major Industry Group, Philippines:  2017 - 2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/1751B3GP030.px/table/tableViewLayout1/?rxid=159136c6-7169-401d-a91c-8c6ecc7b757e"
"Major Industry Group";"Legal Organization";"2017";"2019"
"ALL INDUSTRIES";"Total Establishments with PIPs";17563;15234
"ALL INDUSTRIES";"..Single Proprietorship";2070;2309
"ALL INDUSTRIES";"..Partnership";175;297
"ALL INDUSTRIES";"..Government-Owned and Controlled Corporation";296;213
"ALL INDUSTRIES";"..Stock Corporation";13028;10351
"ALL INDUSTRIES";"..Non-Stock, Non-Profit Corporation";1613;1455
"ALL INDUSTRIES";"..Cooperative";361;549
"ALL INDUSTRIES";"..Others";20;58
"..Agriculture, Forestry and Fishing";"Total Establishments with PIPs";442;205
"..Agriculture, Forestry and Fishing";"..Single Proprietorship";71;39
"..Agriculture, Forestry and Fishing";"..Partnership";11;0
"..Agriculture, Forestry and Fishing";"..Government-Owned and Controlled Corporation";48;1
"..Agriculture, Forestry and Fishing";"..Stock Corporation";266;118
"..Agriculture, Forestry and Fishing";"..Non-Stock, Non-Profit Corporation";5;36
"..Agriculture, Forestry and Fishing";"..Cooperative";34;11
"..Agriculture, Forestry and Fishing";"..Others";7;0
"..Mining and Quarrying";"Total Establishments with PIPs";66;65
"..Mining and Quarrying";"..Single Proprietorship";6;15
"..Mining and Quarrying";"..Partnership";0;0
"..Mining and Quarrying";"..Government-Owned and Controlled Corporation";2;3
"..Mining and Quarrying";"..Stock Corporation";59;47
"..Mining and Quarrying";"..Non-Stock, Non-Profit Corporation";0;0
"..Mining and Quarrying";"..Cooperative";0;0
"..Mining and Quarrying";"..Others";0;0
"..Manufacturing";"Total Establishments with PIPs";3677;3134
"..Manufacturing";"..Single Proprietorship";385;339
"..Manufacturing";"..Partnership";47;68
"..Manufacturing";"..Government-Owned and Controlled Corporation";6;1
"..Manufacturing";"..Stock Corporation";3202;2708
"..Manufacturing";"..Non-Stock, Non-Profit Corporation";6;12
"..Manufacturing";"..Cooperative";27;5
"..Manufacturing";"..Others";4;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments with PIPs";188;172
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Single Proprietorship";0;16
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Partnership";0;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Government-Owned and Controlled Corporation";8;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Stock Corporation";146;90
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Non-Stock, Non-Profit Corporation";20;23
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Cooperative";15;44
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Others";0;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments with PIPs";192;126
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Single Proprietorship";0;3
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Partnership";0;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Government-Owned and Controlled Corporation";166;96
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Stock Corporation";23;27
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Non-Stock, Non-Profit Corporation";0;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Cooperative";3;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Others";0;0
"..Construction";"Total Establishments with PIPs";487;440
"..Construction";"..Single Proprietorship";115;71
"..Construction";"..Partnership";7;6
"..Construction";"..Government-Owned and Controlled Corporation";0;0
"..Construction";"..Stock Corporation";363;360
"..Construction";"..Non-Stock, Non-Profit Corporation";1;2
"..Construction";"..Cooperative";1;2
"..Construction";"..Others";0;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments with PIPs";4126;3526
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Single Proprietorship";656;895
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Partnership";5;71
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Government-Owned and Controlled Corporation";16;3
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Stock Corporation";3438;2431
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Non-Stock, Non-Profit Corporation";0;76
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Cooperative";12;9
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Others";0;41
"..Transportation and Storage";"Total Establishments with PIPs";499;425
"..Transportation and Storage";"..Single Proprietorship";48;63
"..Transportation and Storage";"..Partnership";2;2
"..Transportation and Storage";"..Government-Owned and Controlled Corporation";3;2
"..Transportation and Storage";"..Stock Corporation";439;358
"..Transportation and Storage";"..Non-Stock, Non-Profit Corporation";0;0
"..Transportation and Storage";"..Cooperative";7;1
"..Transportation and Storage";"..Others";0;0
"..Accommodation and Food Service Activities";"Total Establishments with PIPs";2531;2261
"..Accommodation and Food Service Activities";"..Single Proprietorship";429;236
"..Accommodation and Food Service Activities";"..Partnership";15;8
"..Accommodation and Food Service Activities";"..Government-Owned and Controlled Corporation";0;69
"..Accommodation and Food Service Activities";"..Stock Corporation";2066;1878
"..Accommodation and Food Service Activities";"..Non-Stock, Non-Profit Corporation";16;71
"..Accommodation and Food Service Activities";"..Cooperative";5;0
"..Accommodation and Food Service Activities";"..Others";0;0
"..Information and Communication";"Total Establishments with PIPs";338;190
"..Information and Communication";"..Single Proprietorship";10;2
"..Information and Communication";"..Partnership";0;3
"..Information and Communication";"..Government-Owned and Controlled Corporation";2;0
"..Information and Communication";"..Stock Corporation";327;184
"..Information and Communication";"..Non-Stock, Non-Profit Corporation";0;0
"..Information and Communication";"..Cooperative";0;0
"..Information and Communication";"..Others";0;0
"..Financial and Insurance Activities";"Total Establishments with PIPs";731;580
"..Financial and Insurance Activities";"..Single Proprietorship";4;5
"..Financial and Insurance Activities";"..Partnership";0;10
"..Financial and Insurance Activities";"..Government-Owned and Controlled Corporation";30;1
"..Financial and Insurance Activities";"..Stock Corporation";453;168
"..Financial and Insurance Activities";"..Non-Stock, Non-Profit Corporation";46;16
"..Financial and Insurance Activities";"..Cooperative";199;379
"..Financial and Insurance Activities";"..Others";0;0
"..Real Estate Activities";"Total Establishments with PIPs";173;123
"..Real Estate Activities";"..Single Proprietorship";4;0
"..Real Estate Activities";"..Partnership";0;0
"..Real Estate Activities";"..Government-Owned and Controlled Corporation";1;0
"..Real Estate Activities";"..Stock Corporation";159;119
"..Real Estate Activities";"..Non-Stock, Non-Profit Corporation";9;3
"..Real Estate Activities";"..Cooperative";0;0
"..Real Estate Activities";"..Others";0;0
"..Professional, Scientific and Technical Activities";"Total Establishments with PIPs";314;365
"..Professional, Scientific and Technical Activities";"..Single Proprietorship";20;20
"..Professional, Scientific and Technical Activities";"..Partnership";54;94
"..Professional, Scientific and Technical Activities";"..Government-Owned and Controlled Corporation";4;0
"..Professional, Scientific and Technical Activities";"..Stock Corporation";227;236
"..Professional, Scientific and Technical Activities";"..Non-Stock, Non-Profit Corporation";9;15
"..Professional, Scientific and Technical Activities";"..Cooperative";0;0
"..Professional, Scientific and Technical Activities";"..Others";0;0
"..Administrative and Support Service Activities";"Total Establishments with PIPs";929;1033
"..Administrative and Support Service Activities";"..Single Proprietorship";109;144
"..Administrative and Support Service Activities";"..Partnership";7;14
"..Administrative and Support Service Activities";"..Government-Owned and Controlled Corporation";0;16
"..Administrative and Support Service Activities";"..Stock Corporation";775;739
"..Administrative and Support Service Activities";"..Non-Stock, Non-Profit Corporation";7;15
"..Administrative and Support Service Activities";"..Cooperative";32;88
"..Administrative and Support Service Activities";"..Others";0;17
"..Education Except Public Education";"Total Establishments with PIPs";1901;1611
"..Education Except Public Education";"..Single Proprietorship";34;56
"..Education Except Public Education";"..Partnership";28;0
"..Education Except Public Education";"..Government-Owned and Controlled Corporation";1;0
"..Education Except Public Education";"..Stock Corporation";473;473
"..Education Except Public Education";"..Non-Stock, Non-Profit Corporation";1359;1081
"..Education Except Public Education";"..Cooperative";0;0
"..Education Except Public Education";"..Others";6;0
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments with PIPs";656;722
"..Human Health and Social Work Activities Except Public Health Activities";"..Single Proprietorship";122;290
"..Human Health and Social Work Activities Except Public Health Activities";"..Partnership";0;4
"..Human Health and Social Work Activities Except Public Health Activities";"..Government-Owned and Controlled Corporation";0;3
"..Human Health and Social Work Activities Except Public Health Activities";"..Stock Corporation";384;329
"..Human Health and Social Work Activities Except Public Health Activities";"..Non-Stock, Non-Profit Corporation";120;86
"..Human Health and Social Work Activities Except Public Health Activities";"..Cooperative";28;11
"..Human Health and Social Work Activities Except Public Health Activities";"..Others";3;0
"..Arts, Entertainment and  Recreation";"Total Establishments with PIPs";140;152
"..Arts, Entertainment and  Recreation";"..Single Proprietorship";16;59
"..Arts, Entertainment and  Recreation";"..Partnership";0;0
"..Arts, Entertainment and  Recreation";"..Government-Owned and Controlled Corporation";9;20
"..Arts, Entertainment and  Recreation";"..Stock Corporation";98;54
"..Arts, Entertainment and  Recreation";"..Non-Stock, Non-Profit Corporation";16;20
"..Arts, Entertainment and  Recreation";"..Cooperative";0;0
"..Arts, Entertainment and  Recreation";"..Others";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments with PIPs";171;103
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Single Proprietorship";40;53
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Partnership";0;18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Government-Owned and Controlled Corporation";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Stock Corporation";130;32
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Non-Stock, Non-Profit Corporation";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Cooperative";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Others";0;0
