"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Program Developer and Major Industry Group, Philippines:  2017 - 2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/2751B3GP052.px/table/tableViewLayout1/?rxid=159136c6-7169-401d-a91c-8c6ecc7b757e"
"Major Industry Group";"Program Developer";"2017";"2019"
"ALL INDUSTRIES";"Total Establishments with PIPs";17563;15234
"ALL INDUSTRIES";"Labor-Management Committee";1264;2026
"ALL INDUSTRIES";"Management";14573;12235
"ALL INDUSTRIES";"Union";86;384
"ALL INDUSTRIES";"Supervisors/Line Leaders";3623;2919
"ALL INDUSTRIES";"Rank-and-File/Production Workers";1635;1197
"ALL INDUSTRIES";"Productivity Consultants";551;370
"ALL INDUSTRIES";"Others";199;27
"..Agriculture, Forestry and Fishing";"Total Establishments with PIPs";442;205
"..Agriculture, Forestry and Fishing";"Labor-Management Committee";32;47
"..Agriculture, Forestry and Fishing";"Management";374;150
"..Agriculture, Forestry and Fishing";"Union";11;37
"..Agriculture, Forestry and Fishing";"Supervisors/Line Leaders";74;10
"..Agriculture, Forestry and Fishing";"Rank-and-File/Production Workers";24;3
"..Agriculture, Forestry and Fishing";"Productivity Consultants";20;9
"..Agriculture, Forestry and Fishing";"Others";13;0
"..Mining and Quarrying";"Total Establishments with PIPs";66;65
"..Mining and Quarrying";"Labor-Management Committee";4;13
"..Mining and Quarrying";"Management";54;41
"..Mining and Quarrying";"Union";0;2
"..Mining and Quarrying";"Supervisors/Line Leaders";13;15
"..Mining and Quarrying";"Rank-and-File/Production Workers";7;16
"..Mining and Quarrying";"Productivity Consultants";3;0
"..Mining and Quarrying";"Others";1;0
"..Manufacturing";"Total Establishments with PIPs";3677;3134
"..Manufacturing";"Labor-Management Committee";298;532
"..Manufacturing";"Management";3015;2561
"..Manufacturing";"Union";22;39
"..Manufacturing";"Supervisors/Line Leaders";886;528
"..Manufacturing";"Rank-and-File/Production Workers";411;260
"..Manufacturing";"Productivity Consultants";139;92
"..Manufacturing";"Others";48;11
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments with PIPs";188;172
"..Electricity, Gas, Steam and Air Conditioning Supply";"Labor-Management Committee";29;13
"..Electricity, Gas, Steam and Air Conditioning Supply";"Management";156;135
"..Electricity, Gas, Steam and Air Conditioning Supply";"Union";0;8
"..Electricity, Gas, Steam and Air Conditioning Supply";"Supervisors/Line Leaders";26;13
"..Electricity, Gas, Steam and Air Conditioning Supply";"Rank-and-File/Production Workers";5;22
"..Electricity, Gas, Steam and Air Conditioning Supply";"Productivity Consultants";5;3
"..Electricity, Gas, Steam and Air Conditioning Supply";"Others";7;10
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments with PIPs";192;126
