"Number of Establishments with 20 or More Workers Providing Job-Related Trainings by Training Provider and Major Industry Group, Philippines: 2015 to 2021"

"Major Industry Group";"2015 Total";"2015 Local Private Training Institution";"2015 Government Training Institution";"2015 In-house";"2015 Foreign Training Institution";"2015 Others";"2017 Total";"2017 Local Private Training Institution";"2017 Government Training Institution";"2017 In-house";"2017 Foreign Training Institution";"2017 Others";"2019 Total";"2019 Local Private Training Institution";"2019 Government Training Institution";"2019 In-house";"2019 Foreign Training Institution";"2019 Others";"2021 Total";"2021 Local Private Training Institution";"2021 Government Training Institution";"2021 In-house";"2021 Foreign Training Institution";"2021 Others"
"ALL INDUSTRIES";16271;7394;4645;10702;794;1492;18019;8409;4809;11913;883;1703;18357;7982;4386;11184;584;2094;11526;5020;3837;6412;403;77
"..Agriculture, Forestry and Fishing";344;143;151;213;7;48;379;127;145;192;9;65;136;69;50;66;2;3;295;88;139;163;6;0
"..Mining and Quarrying";92;52;43;53;15;2;90;55;54;46;11;8;74;42;23;52;2;0;64;48;20;29;2;1
"..Manufacturing";2811;1451;1044;1827;130;189;2906;1636;994;1845;130;177;2625;1239;676;1550;74;122;1770;832;769;1016;78;2
"..Electricity, Gas, Steam and Air Conditioning Supply";193;141;105;159;35;20;254;177;157;216;44;17;161;113;89;122;47;16;182;112;68;115;11;5
"..Water Supply; Sewerage, Waste Management and Remediation Activities";266;74;218;104;18;21;249;62;205;106;8;17;227;101;138;60;4;4;192;70;136;72;9;3
"..Construction";470;313;170;176;13;33;539;337;147;217;19;31;589;318;134;296;2;18;430;272;180;162;15;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3271;1205;516;2343;170;258;4058;1641;795;2915;184;351;4047;1120;635;2765;89;494;2519;871;756;1436;40;26
"..Transportation and Storage";347;182;86;199;29;27;519;253;140;294;21;43;514;324;189;185;14;37;295;159;122;127;7;5
"..Accommodation and Food Service Activities";2238;438;327;1751;30;286;2261;475;346;1777;48;204;2460;787;517;1778;2;334;1143;291;264;763;8;0
"..Information and Communication";439;240;63;256;48;28;428;208;48;269;47;38;542;272;94;290;93;59;241;101;37;154;11;0
"..Financial and Insurance Activities";1049;650;250;781;56;88;1014;530;203;732;81;147;1360;659;263;1120;62;282;870;464;260;471;50;0
"..Real Estate Activities";187;128;63;99;10;16;199;128;37;96;6;6;185;114;18;114;3;1;202;95;73;83;8;0
"..Professional, Scientific and Technical Activities";298;176;66;179;24;13;425;254;67;215;50;41;585;352;58;217;35;51;265;129;68;126;16;2
"..Administrative and Support Services Activities";990;388;197;655;54;65;1138;461;193;741;43;92;1181;437;204;748;49;65;755;312;172;431;27;2
"..Education except Public Education";2346;1356;949;1363;109;283;2474;1435;884;1602;110;379;2516;1407;922;1349;93;509;1555;751;481;958;73;19
"..Human Health and Social Work Activities except Public Health Activities";622;378;349;315;29;46;771;516;344;414;45;57;801;423;310;321;14;78;644;402;253;245;32;6
"..Arts, Entertainment and Recreation";96;32;34;67;10;16;133;49;39;98;4;10;128;80;31;52;2;4;55;11;20;35;4;0
"..Repair of Computer and Personal and Household Good; Other Personal Service Activities";212;48;16;160;9;54;181;67;13;137;20;21;226;126;35;97;0;18;.;.;.;.;.;.
"..Other Service Activities except Activities of Membership Organizations";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;50;13;19;24;4;5
